Time; Target; Sensor Body
07/11/2025 12:25; 48.6433; 33.1299
07/11/2025 12:25; 48.7055; 33.1308
07/11/2025 12:32; 23.6338; 33.1192
07/11/2025 12:32; 23.1715; 33.1016
07/11/2025 12:32; 23.1169; 33.0942
07/11/2025 12:32; 22.9749; 33.0850
07/11/2025 12:32; 23.0105; 33.0811
07/11/2025 12:32; 23.2402; 33.0613
07/11/2025 12:32; 23.1805; 33.0589
07/11/2025 12:34; 22.8639; 32.9502
07/11/2025 12:34; 23.0805; 32.9403
07/11/2025 12:34; 23.0548; 32.9365
07/11/2025 12:34; 23.0372; 32.9339
07/11/2025 12:35; 23.0049; 32.9308
