#,well_id,date,why_bad,bad_resolution,source,start_depth_cm,stop_depth_cm,start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil_texture_code,gravel size,gravel amount,gravel_amount_percent
,"E6S, failed",7/16/21,,,yellow p77,128,151,,,,,"sandy clay, VGR",sandy clay,VGR,SC,"(2, 76)","(0.35, 0.6)",moist,F/VF-F,"10 YR, 4/2",,"gravel subangular, coarsening further",
,"E6S, failed",7/16/21,,,yellow p77,151,152,,,,,GR,gr,,,,,,,,,"hit rock, seemed big",
,,,,,,,,,,,,,,,,,,,,,,,
33,E5S,7/16/21,partial; no other data on E5S,skip/ignore; consider survey of 0-100 cm,yellow p77,100,108,,,,,"sandy clay, VFGR",sandy clay,VFGR,SC,,,wet,C/VF-M,"10 YR, 4/4",,gravel sub-rounded; deepened original well,
,E5S,7/16/21,,,yellow p77,108,113,,,,,"sandy clay, GR",sandy clay,GR,SC,"(2, 76)","(0.15, 0.35)",wet,C/VF-M,"10 YR, 4/1; orange mottled, more gray",,gravel sub-rounded to 40 mm,
,E5S,7/16/21,,,yellow p77,113,120,,,,,"sandy clay, GR",sandy clay,GR,SC,"(2, 76)","(0.15, 0.35)",wet,F/VF-F,"10 YR, 4/3; orange mottled",,gravel sub-rounded to 40 mm,
,E5S,7/16/21,,,yellow p77,120,126,,,,,"sandy clay, GR",sandy clay,GR,SC,"(2, 76)","(0.15, 0.35)",wet,F/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,
,E5S,7/16/21,,,yellow p77,126,130,,,,,"sandy clay, GR",sandy clay,GR,SC,"(2, 76)","(0.15, 0.35)",saturated,C/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,
,E5S,7/16/21,,,yellow p77,130,138,,,,,"sandy clay, XGR",sandy clay,XGR,SC,"(2, 76)","(0.6, 0.9)",saturated,F/VF-F,"10 YR, 4/4",,gravel sub-rounded to 40 mm,
,E5S,7/16/21,,,yellow p77,138,150,,,,,"sandy clay, XFGR",sandy clay,XFGR,SC,,,saturated,F/VF-F,"10 YR, 4/4",,finer gravel,
,E5S,7/16/21,,,yellow p77,150,165,,,,,"sandy clay, XGR",sandy clay,XGR,SC,"(2, 76)","(0.6, 0.9)",saturated,,"10 YR, 3/6",,"gravel sub-angular, larger to 45 mm",
,E5S,7/16/21,,,yellow p77,165,179,,,,,FGR,fgr,,,,,saturated,,,,"gravel rounded, mostly 2-4 mm, a few to 16 mm",
,,,,,,,,,,,,,,,,,,,,,,,
34,EER-1,6/5/24,partial; starts at 70,add onto EER-1 from 05/30/2018,yellow p137,70,74,,,,,"clay, GR",clay,GR,C,"(2, 76)","(0.15, 0.35)",,,,,"transition from clay to rounded gravels; replaced well, seemed to be frost-heaved, unable to deepen",
,,,,,,,,,,,,,,,,,,,,,,,
36,"KWT-2, abandoned",6/14/25,"failed and abandoned, hit rock",skip/ignore; see other KWT-2 entry,2015-25 Or V3 p62,0,4,,,Oi,,thatch,thatch,,,,,,,,,,
,"KWT-2, abandoned",6/14/25,"failed and abandoned, hit rock",,2015-25 Or V3 p62,4,18,,,Oa,,loam,loam,,L,,,moist,"M/VF-F, F/M","5 YR, 2.5/1",,"crumbly, FGR + MGR 10-15%",
,"KWT-2, abandoned",6/14/25,"failed and abandoned, hit rock",,2015-25 Or V3 p62,18,38,,,A,,"clay loam, MGR",clay loam,MGR,CL,"(5, 20)","(0.15, 0.35)",moist,"C/M, M/VF-F","5 YR, 3/1",,gravel subangular to sub-rounded,
,"KWT-2, abandoned",6/14/25,"failed and abandoned, hit rock",,2015-25 Or V3 p62,38,60,,,A,,"sandy clay, MGR, CGR",sandy clay,"MGR, CGR",SC,"(5, 20)","(0.15, 0.35)",moist,"C/VF, M/F, F/M","5 YR, 4/1",,gravel subangular,
,"KWT-2, abandoned",6/14/25,"failed and abandoned, hit rock",,2015-25 Or V3 p62,60,68,,,A/B,,"sandy clay, FGR, CGR",sandy clay,"FGR, CGR",SC,"(2, 5)","(0.15, 0.35)",wet,C/VF-F,"5 YR, 4/1; multicolor mottle around FGR",,gravel subangular,
,"KWT-2, abandoned",6/14/25,"failed and abandoned, hit rock",,2015-25 Or V3 p62,68,69,,,,,VCB,vcb,,VCB,,,,,,,"stuck on cobble, could not auger beyond it",
