#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes
,KWF-2,6/11/2025,2015-25 Or V3 p60,7,14,,,Oa,,silty clay,moist,"M/VF, F/F, VF/C","10 YR, 2/1",,"loose, spongy"
,KWF-2,6/11/2025,2015-25 Or V3 p60,14,27,,,A,,clay,moist,"M/VF, C/F, F/M, VF/C","10 YR, 2/2",,cohesive
,KWF-2,6/11/2025,2015-25 Or V3 p60,27,40,,,A,,clay,moist,"M/VF, C/F","2.5 YR, 2.5/1","concentrations common, 2-5 mm",cohesive
,KWF-2,6/11/2025,2015-25 Or V3 p60,40,51,,,A/B,,"clay, MGR",wet,"M/VF, C/F","2.5 YR, 3/1","concentrations many, 2-5 mm",gravel subangular
,KWF-2,6/11/2025,2015-25 Or V3 p60,51,63,,,A/Bg,,"sandy clay, CB",saturated,"M/VF, C/F","2.5 YR, 4/1; gray mottle GLEY1 4/N + 2.5/N",,cobble subangular
,KWF-2,6/11/2025,2015-25 Or V3 p60,63,66,,,,,VCB,saturated,,,,cobble subangular
,,,,,,,,,,,,,,,
36,KWT-2,6/14/2025,2015-25 Or V3 p62,0,6,,,Oi,,thatch,,,,,
,KWT-2,6/14/2025,2015-25 Or V3 p62,6,10,,,Oa,,loam,moist,"F/M-C, M/VF-F","5 YR, 2.5/1",,crumbly
,KWT-2,6/14/2025,2015-25 Or V3 p62,10,38,,,A,,clay,moist,"M/VF-F, C/M","5 YR, 2.5/1",,
,KWT-2,6/14/2025,2015-25 Or V3 p62,38,60,,,A,fibrous,"sandy clay, VMGR",saturated,C/VF-F,"5 YR, 2.5/1",,gravel subangular
,KWT-2,6/14/2025,2015-25 Or V3 p62,60,75,,,A,many fibrous clumps,"clay, VMGR",saturated,"M/F, C/VF","5 YR, 2.5/1",,gravel sub-rounded
,KWT-2,6/14/2025,2015-25 Or V3 p62,75,91,,,A,many fibrous clumps,clay,saturated,M/VF-F,"5 YR, 2.5/1",,
,KWT-2,6/14/2025,2015-25 Or V3 p62,91,92,,,,,VCB,,,,,"hit rock, installed well on top"
,,,,,,,,,,,,,,,
37,EWT-2,6/12/2025,2015-25 Or V3 p64,0,2.5,,,O,thatch,,dry,,,,"bunchgrass at top, mislabeled as EWF-1 in field book but name changed to EWT-2"
,EWT-2,6/12/2025,2015-25 Or V3 p64,2.5,8,,,Oi,fibrous,,moist,"M/VF-F, VF/M","5 YR, 3/1",,
,EWT-2,6/12/2025,2015-25 Or V3 p64,8,16,,,Oe,fibrous,,moist,"M/VF-F, VF/M","5 YR, 3/1",,
,EWT-2,6/12/2025,2015-25 Or V3 p64,16,27,,,A,,"sandy clay, MGR",moist,"M/VF-F, F/M","10 YR, 2/1",,gravel subangular
,EWT-2,6/12/2025,2015-25 Or V3 p64,27,38,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 2/1",,"few coarse gravel, subangular"
,EWT-2,6/12/2025,2015-25 Or V3 p64,38,48,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 4/1",,"some fine gravel, subangular"
,EWT-2,6/12/2025,2015-25 Or V3 p64,48,69,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 4/2",,"gravel sub-rounded, more sand"
,EWT-2,6/12/2025,2015-25 Or V3 p64,69,80,,,B,,"sandy clay, VMGR",wet,C/VF-F,"10 YR, 5/3","concentrations common, 2-5 mm, 10 YR 4/4",gravel sub-rounded
,EWT-2,6/12/2025,2015-25 Or V3 p64,80,98,,,B,,"sandy clay, VFGR, MGR",wet,C/VF-F,"10 YR, 5/3","concentrations common, 2-5 mm, 10 YR 4/4 with some very light, broken down rock","one coarse gravel, all sub-rounded"
,EWT-2,6/12/2025,2015-25 Or V3 p64,98,107,,,B,,"sandy clay, FGR",wet,"M/VF, F/F","10 YR, 4/3","concentrations common, 2-20 mm, 7.5 YR 4/4","very coarse sand to FGR, a few MGR"
,EWT-2,6/12/2025,2015-25 Or V3 p64,107,123,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4; mottled 10 YR 7/6",,"MGR and CGR present, subangular to sub-rounded"
,,,,,,,,,,,,,,,
38,KER-2,6/15/2025,2015-25 Or V3 p66,0,3,,,Oi,thatch,,,,,,"augered 5 holes in same area, hit rounded gravel at 65 in all cases, deepest augered to 80 cm where well installed"
,KER-2,6/15/2025,2015-25 Or V3 p66,3,15,,,Oea,,sandy clay,moist,"M/VF, C/F","5 YR, 3/1",,
,KER-2,6/15/2025,2015-25 Or V3 p66,15,42,,,A,,sandy clay,moist,"M/VF-F, C/M","5 YR, 2.5/2",,
,KER-2,6/15/2025,2015-25 Or V3 p66,42,55,,,A,,silty clay,wet,M/VF-F,"5 YR, 2.5/2",,
,KER-2,6/15/2025,2015-25 Or V3 p66,55,64,,,A,,"sandy clay, MGR",saturated,"M/VF, C/F","7.5 YR, 4/1",,"gravel rounded, hit CGR or larger at 65 cm"
,KER-2,6/15/2025,2015-25 Or V3 p66,64,80,,,,,MGR,saturated,"M/VF-F, C/M",,,"10-20% coarse gravel, all enmeshed with coarse roots, interstices filled with fine gravel and coarse sand, all rounded"
