#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes
6,EWT-1,5/31/2018,black spiral p8,0,5.08,0,2,,"grassy, fibrous roots","HO, no mineral sediment",moist,M/VF-F,dark brown,,
,EWT-1,5/31/2018,black spiral p8,5.08,10.16,2,4,,,"clay, HO",moist,M/VF-F,dark brown,,crumbly
,EWT-1,5/31/2018,black spiral p8,10.16,30.48,4,12,,,"clay, HO, GR",moist,"M/F, F/C",dark brown,,"subangular GR, 6-12 mm"
,EWT-1,5/31/2018,black spiral p8,30.48,45.72,12,18,,,"clay loam, GR",saturated,"M/F, C/VF","brown, reddish",,"gritty, subangular gravel, 6-20 mm"
,EWT-1,5/31/2018,black spiral p8,45.72,69.85,18,27.5,,,"sandy clay to clay, GR",saturated,F/F,"brown, reddish",,"subangular gravel, 6-30 mm"
,EWT-1,5/31/2018,black spiral p8,69.85,80.01,27.5,31.5,,,"clay loam, GR",saturated,"C/M, F/C",brown,,
,EWT-1,5/31/2018,black spiral p8,80.01,83.82,31.5,33,,,clay,saturated,F/F,brown,,
,EWT-1,5/31/2018,black spiral p8,83.82,91.44,33,36,,,clay,saturated,F/VF,light brown,,"some grit, red-orange oxide"
,EWT-1,5/31/2018,black spiral p8,91.44,97.79,36,38.5,,,clay loam,saturated,F/F,"light brown, mottled",,"white-red mottling, red-orange oxide"
,EWT-1,5/31/2018,black spiral p8,97.79,109,38.5,43,,,clay loam,saturated,,light brown,,"backfill with sand to 39"" depth"
29,EWT-1,7/15/2021,yellow p77,109,120,,,,,sandy clay,moist,F/VF-F,"10 YR, 5/4; orange mottled",,"coarse sand, mottled"
,EWT-1,7/15/2021,yellow p77,120,148,,,,,sandy clay,moist,F/VF,"10 YR, 5/4; orange mottled",,"finer sand, mottled"
,EWT-1,7/15/2021,yellow p77,148,151,,,,,sandy clay,saturated,F/VF,"10 YR, 5/3",,
,EWT-1,7/15/2021,yellow p77,151,152,,,,,GR,,,,,"hit rock, could not auger beyond it"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8,KER-1,6/18/2018,black spiral p14,0,5.08,0,2,,HO,silty clay,very moist,"M/VF-F, C/C",dark brown,,
,KER-1,6/18/2018,black spiral p14,5.08,35.56,2,14,,HPM,clay,moist,M/C,dark brown,,"at 14"" found charcoal"
,KER-1,6/18/2018,black spiral p14,35.56,52.07,14,20.5,,,clay loam,saturated,"C/C, C/F-M/VF",dark brown,,
,KER-1,6/18/2018,black spiral p14,52.07,63.5,20.5,25,,fibers,clay loam,saturated,"F/C, C/F-VF",dark brown,,"interlayered with sandy clay loam, charcoal "
,KER-1,6/18/2018,black spiral p14,63.5,71.12,25,28,,,"clay, VGR",saturated,VF/F-VF,brown,,coarse sand; pebbles to 12 mm rounded
,KER-1,6/18/2018,black spiral p14,71.12,81.28,28,32,,fibers midway,"sandy loam, GR",saturated,"C/F, C/C",brown gray,,"roots especialy midway; pebbles to 22 mm, rounded"
,KER-1,6/18/2018,black spiral p14,81.28,83.82,32,33,,,GR,saturated,"C/C, C/F-M/VF",brown gray,,"bottom of hole, pebbles and gravel"
,,,,,,,,,,,,,,,
9,KWT-1,6/20/2018,black spiral p14,0,12.7,0,5,,fibrous,"hummus, clay, HO",moist,M/C-F,dark brown,,
