#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,data notes
,KWT-1,6/29/2021,yellow p55,121,125,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4; rose and orange-red mottled pebbles, 2-4 mm",,,
,KWT-1,6/29/2021,yellow p55,125,131,,,,,sandy clay loam,wet non-satiated,,"10 YR 3/4; rose and orange-red mottled pebbles, 2-8 mm",,,
,KWT-1,6/29/2021,yellow p55,131,136,,,,,sandy clay loam,wet,,"10 YR 3/4; rose, red-orange and blue mottled pebbles",,rock 4.5 cm,
,KWT-1,6/29/2021,yellow p55,136,147,,,,,"sandy clay, VGR",wet,,"10 YR 4/4; rose, red-orange and blue mottled pebbles",,"rock 5 cm, subangular",
,,,,,,,,,,,,,,,,
36,"KWT-2, abandoned",6/14/2025,2015-25 Or V3 p62,0,4,,,Oi,,thatch,,,,,,
,"KWT-2, abandoned",6/14/2025,2015-25 Or V3 p62,4,18,,,Oa,,loam,moist,"M/VF-F, F/M","5 YR, 2.5/1",,"crumbly, FGR + MGR 10-15%",
,"KWT-2, abandoned",6/14/2025,2015-25 Or V3 p62,18,38,,,A,,"clay loam, MGR",moist,"C/M, M/VF-F","5 YR, 3/1",,gravel subangular to sub-rounded,
,"KWT-2, abandoned",6/14/2025,2015-25 Or V3 p62,38,60,,,A,,"sandy clay, MGR, CGR",moist,"C/VF, M/F, F/M","5 YR, 4/1",,gravel subangular,
,"KWT-2, abandoned",6/14/2025,2015-25 Or V3 p62,60,68,,,A/B,,"sandy clay, FGR, CGR",wet,C/VF-F,"5 YR, 4/1; multicolor mottle around FGR",,gravel subangular,
,"KWT-2, abandoned",6/14/2025,2015-25 Or V3 p62,68,69,,,,,VCB,,,,,"stuck on cobble, could not auger beyond it",
,,,,,,,,,,,,,,,,
,East-AT-1,5/31/2018,black spiral p8,22.86,25.4,9,10,,,silty clay,increasing moisture,F/F,"light brown, reddish",,"few reddish oxides, crumbly",
