#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
,EWF-1,5/31/18,black spiral p8,,,18.0,27.5,,,"sandy clay to clay, GR",saturated,F/F,"brown, reddish",,"subangular gravel, 6-30 mm",EWT-1,East,Willow,Fan,sandy clay to clay,GR,,"(5, 20)","(0.15, 0.35)"
,EWF-1,5/31/18,black spiral p8,,,27.5,31.5,,,"clay loam, GR",saturated,"C/M, F/C",brown,,,EWT-1,East,Willow,Fan,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,EWF-1,5/31/18,black spiral p8,,,31.5,33.0,,,clay,saturated,F/F,brown,,,EWT-1,East,Willow,Fan,clay,,C,,0.0
,EWF-1,5/31/18,black spiral p8,,,33.0,36.0,,,clay,saturated,F/VF,light brown,,"some grit, red-orange oxide",EWT-1,East,Willow,Fan,clay,,C,,0.0
,EWF-1,5/31/18,black spiral p8,,,36.0,38.5,,,clay loam,saturated,F/F,"light brown, mottled",,"white-red mottling, red-orange oxide",EWT-1,East,Willow,Fan,clay loam,,CL,,0.0
,EWF-1,5/31/18,black spiral p8,,,38.5,43.0,,,clay loam,saturated,,light brown,,"backfill with sand to 39"" depth",EWT-1,East,Willow,Fan,clay loam,,CL,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
7.0,East-AT-1,5/31/18,black spiral p8,,,0.0,4.0,,,"silty clay, VGR",dry,M/F,light brown,,"angular gravel distributed over surface, crumbly texture",East-AT-1,East,a,s,silty clay,VGR,SIC,"(5, 20)","(0.35, 0.6)"
,East-AT-1,5/31/18,black spiral p8,,,4.0,7.0,,,"silty clay, GR",dry,F/F,"light brown, reddish",,few subangular gravels,East-AT-1,East,a,s,silty clay,GR,SIC,"(5, 20)","(0.15, 0.35)"
,East-AT-1,5/31/18,black spiral p8,,,7.0,9.0,,,silty clay,increasing moisture,F/F,"light brown, reddish",,"few reddish oxides, crumbly",East-AT-1,East,a,s,silty clay,,SIC,,0.0
,East-AT-1,5/31/18,black spiral p8,,,9.0,10.0,,,silty clay,increasing moisture,F/F,"light brown, reddish",,"few reddish oxides, crumbly",East-AT-1,East,a,s,silty clay,,SIC,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
8.0,KER-1,6/18/18,black spiral p14,,,0.0,2.0,,HO,silty clay,very moist,"M/VF-F, C/C",dark brown,,,KER-1,Kiln,Sedge,Riparian,silty clay,,SIC,,0.0
,KER-1,6/18/18,black spiral p14,,,2.0,14.0,,HPM,clay,moist,M/C,dark brown,,"at 14"" found charcoal",KER-1,Kiln,Sedge,Riparian,clay,,C,,0.0
,KER-1,6/18/18,black spiral p14,,,14.0,20.5,,,clay loam,saturated,"C/C, C/F-M/VF",dark brown,,,KER-1,Kiln,Sedge,Riparian,clay loam,,CL,,0.0
,KER-1,6/18/18,black spiral p14,,,20.5,25.0,,fibers,clay loam,saturated,"F/C, C/F-VF",dark brown,,"interlayered with sandy clay loam, charcoal ",KER-1,Kiln,Sedge,Riparian,clay loam,,CL,,0.0
,KER-1,6/18/18,black spiral p14,,,25.0,28.0,,,"clay, VGR",saturated,VF/F-VF,brown,,coarse sand; pebbles to 12 mm rounded,KER-1,Kiln,Sedge,Riparian,clay,VGR,C,"(5, 20)","(0.35, 0.6)"
,KER-1,6/18/18,black spiral p14,,,28.0,32.0,,fibers midway,"sandy loam, GR",saturated,"C/F, C/C",brown gray,,"roots especialy midway; pebbles to 22 mm, rounded",KER-1,Kiln,Sedge,Riparian,sandy loam,GR,SL,"(5, 20)","(0.15, 0.35)"
,KER-1,6/18/18,black spiral p14,,,32.0,33.0,,,GR,saturated,"C/C, C/F-M/VF",brown gray,,"bottom of hole, pebbles and gravel",KER-1,Kiln,Sedge,Riparian,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
9.0,KWF-2,6/20/18,black spiral p14,0.0,13.0,0.0,5.0,,fibrous,"hummus, clay, HO",moist,M/C-F,dark brown,,,KWT-1,Kiln,Willow,Fan,hummus,"clay, HO",,,0.0
,KWF-2,6/20/18,black spiral p14,13.0,19.0,5.0,7.5,,,XST,,,,,extracted big rock,KWT-1,Kiln,Willow,Fan,xst,,,,0.0
,KWF-2,6/20/18,black spiral p14,19.0,30.0,7.5,12.0,,,clay,moist,"M/C-VC, C/F",dark brown,,,KWT-1,Kiln,Willow,Fan,clay,,C,,0.0
,KWF-2,6/20/18,black spiral p14,30.0,44.0,12.0,17.5,,,silty clay,wet,"C/C, F/F",brown,,,KWT-1,Kiln,Willow,Fan,silty clay,,SIC,,0.0
,KWF-2,6/20/18,black spiral p14,44.0,71.0,17.5,28.0,,,sandy clay loam,wet-saturated,F/F-VF,tan brown,,"mottled at bottom, decomposed pebbles",KWT-1,Kiln,Willow,Fan,sandy clay loam,,SCL,,0.0
,KWF-2,6/20/18,black spiral p14,71.0,91.0,28.0,36.0,,,"sandy clay loam, VGR",saturated,"F/C, F/F",tan pink,,decomposed rock was pink; pebbles to 30 mm,KWT-1,Kiln,Willow,Fan,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)"
,KWF-2,6/20/18,black spiral p14,91.0,104.0,36.0,41.0,,,GR,saturated,F/F-VF,"tan, mottled",,"decomposed rock was red,orange and gray",KWT-1,Kiln,Willow,Fan,gr,,,,0.0
,"KWT-1, skip",6/29/21,yellow p55,78.0,98.0,,,,,loamy sand,wet,,,,"deepened well, prior depth of well = 78 cm","KWT-1, skip",Kiln,Willow,Terrace,loamy sand,,LS,,0.0
,KWF-2,6/29/21,yellow p55,104.0,113.0,,,,,loam,wet non-satiated,,"7.5 YR, 3/3",,,KWT-1,Kiln,Willow,Fan,loam,,L,,0.0
,KWF-2,6/29/21,yellow p55,113.0,121.0,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4",,,KWT-1,Kiln,Willow,Fan,sandy clay loam,,SCL,,0.0
,KWF-2,6/29/21,yellow p55,121.0,125.0,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4; rose and orange-red mottled pebbles, 2-4 mm",,,KWT-1,Kiln,Willow,Fan,sandy clay loam,,SCL,,0.0
,KWF-2,6/29/21,yellow p55,125.0,131.0,,,,,sandy clay loam,wet non-satiated,,"10 YR 3/4; rose and orange-red mottled pebbles, 2-8 mm",,,KWT-1,Kiln,Willow,Fan,sandy clay loam,,SCL,,0.0
,KWF-2,6/29/21,yellow p55,131.0,136.0,,,,,sandy clay loam,wet,,"10 YR 3/4; rose, red-orange and blue mottled pebbles",,rock 4.5 cm,KWT-1,Kiln,Willow,Fan,sandy clay loam,,SCL,,0.0
,KWF-2,6/29/21,yellow p55,136.0,147.0,,,,,"sandy clay, VGR",wet,,"10 YR 4/4; rose, red-orange and blue mottled pebbles",,"rock 5 cm, subangular",KWT-1,Kiln,Willow,Fan,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,,,,,,,,,,,,,,,,,,,,,,,,0.0
10.0,KHT-XE4S,6/20/18,black spiral p16,,,0.0,2.0,,HO,silty clay,moist,M/C-F,dark brown,,,E4S,Kiln,Mixed Herbaceous,Terrace,silty clay,,SIC,,0.0
,KHT-XE4S,6/20/18,black spiral p16,,,2.0,4.0,,,silty clay,moist,M/F,dark brown,,,E4S,Kiln,Mixed Herbaceous,Terrace,silty clay,,SIC,,0.0
,KHT-XE4S,6/20/18,black spiral p16,,,4.0,11.0,,,clay,moist,"F/C, C/F",dark brown,,,E4S,Kiln,Mixed Herbaceous,Terrace,clay,,C,,0.0
,KHT-XE4S,6/20/18,black spiral p16,,,11.0,16.0,,,clay,moist,"F/C-F, C/VF",dark brown,,water in hole,E4S,Kiln,Mixed Herbaceous,Terrace,clay,,C,,0.0
,KHT-XE4S,6/20/18,black spiral p16,,,16.0,20.0,,,"sandy clay, FGR",saturated,F/F,brown,,small pebbles,E4S,Kiln,Mixed Herbaceous,Terrace,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHT-XE4S,6/20/18,black spiral p16,,,20.0,23.0,,,clay,saturated,F/F,tan; mottled orange,,"slight grit, few gravels ~16 mm",E4S,Kiln,Mixed Herbaceous,Terrace,clay,,C,,0.0
,KHT-XE4S,6/20/18,black spiral p16,,,23.0,33.0,,few fibers,clay,saturated,F/F-VF,tan to gray-tan,,"angular gravels and decomposed pebbles, mottling",E4S,Kiln,Mixed Herbaceous,Terrace,clay,,C,,0.0
,KHT-XE4S,6/20/18,black spiral p16,,,33.0,33.5,,,GR,,,,,"gravels stopped auger, bottom of hole",E4S,Kiln,Mixed Herbaceous,Terrace,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
11.0,KWR-XE1N,6/20/18,black spiral p16,,,0.0,2.0,,fibrous,HO,dry-moist,M/C-F,dark brown,,,E1N,Kiln,Willow,Riparian,ho,,,,0.0
,KWR-XE1N,6/20/18,black spiral p16,,,2.0,6.0,,,sandy clay,moist,M/C-F,dark brown,,,E1N,Kiln,Willow,Riparian,sandy clay,,SC,,0.0
,KWR-XE1N,6/20/18,black spiral p16,,,6.0,13.0,,grassy,sandy clay,moist,M/C-F,dark brown,,,E1N,Kiln,Willow,Riparian,sandy clay,,SC,,0.0
,KWR-XE1N,6/20/18,black spiral p16,,,13.0,23.0,,,"sandy clay loam, VGR",saturated,"C/F-VF, F/C",dark brown,,,E1N,Kiln,Willow,Riparian,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)"
,KWR-XE1N,6/20/18,black spiral p16,,,23.0,24.0,,"fibrous, HO, HPM",silty clay,saturated,M/F-VF,dark brown,,,E1N,Kiln,Willow,Riparian,silty clay,,SIC,,0.0
,KWR-XE1N,6/20/18,black spiral p16,,,24.0,25.0,,,GR,,,,,22 mm gravels,E1N,Kiln,Willow,Riparian,gr,,,,0.0
,KWR-XE1N,6/20/18,black spiral p16,,,25.0,29.0,,,GR,,,,,"60 mm gravels, rounded to sub-angular",E1N,Kiln,Willow,Riparian,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
12.0,KWR-1,6/20/18,black spiral p17,,,0.0,4.0,,fibrous,clay loam,wet,"M/F-VF, C/C",dark brown,,,KWR-1,Kiln,Willow,Riparian,clay loam,,CL,,0.0
,KWR-1,6/20/18,black spiral p17,,,4.0,10.0,,,clay loam,wet,"M/C, M/F-F/F",dark brown,,,KWR-1,Kiln,Willow,Riparian,clay loam,,CL,,0.0
,KWR-1,6/20/18,black spiral p17,,,10.0,25.0,,,clay loam,saturated,"C/C, F/VC",brown,,,KWR-1,Kiln,Willow,Riparian,clay loam,,CL,,0.0
,KWR-1,6/20/18,black spiral p17,,,25.0,32.0,,,"sandy clay loam, GR",saturated,C/F-VF,brown,,"mostly pebbles, a few gravels > 11 mm",KWR-1,Kiln,Willow,Riparian,sandy clay loam,GR,SCL,"(5, 20)","(0.15, 0.35)"
,KWR-1,6/20/18,black spiral p17,,,32.0,33.0,,,GR,saturated,,,,bottom of well,KWR-1,Kiln,Willow,Riparian,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
