#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
,KET-1,7/5/19,orange p70,20.0,42.0,,,,"fibers with redox, 1 mm buffer","sandy clay, FGR",saturated,VF/M,"7.5 YR, 3/2",,,KET-1,Kiln,Sedge,Terrace,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KET-1,7/5/19,orange p70,42.0,59.0,,,,,sandy clay,saturated,"F/C, VF-F/M","7.5 YR, 4/1",,,KET-1,Kiln,Sedge,Terrace,sandy clay,,SC,,0.0
,KET-1,7/5/19,orange p70,59.0,80.0,,,,fibers with redox,"sandy clay, FGR",wet,F-VF/M,"10 YR, 4/2",,,KET-1,Kiln,Sedge,Terrace,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KET-1,7/5/19,orange p70,80.0,84.0,,,,,GR,wet,,,,"subangular gravels, medium to coarse",KET-1,Kiln,Sedge,Terrace,gr,,,,0.0
,KET-1,7/5/19,orange p70,84.0,110.0,,,,,"sandy clay, VGR",wet,F/F-VF,"7.5 YR, 4/3",,,KET-1,Kiln,Sedge,Terrace,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,,,,,,,,,,,,,,,,,,,,,,,,0.0
19.0,EEF-2,7/5/19,orange p71,0.0,4.0,,,O,,,moist,"F-VF/M, M/F","10 YR, 2.5/1",,color darker,EET-2,East,Sedge,Fan,,,,,0.0
,EEF-2,7/5/19,orange p71,4.0,10.0,,,,fibrous,silty clay,moist,"F/VF, M/C","2.5 YR, 2.5/1",,,EET-2,East,Sedge,Fan,silty clay,,SIC,,0.0
,EEF-2,7/5/19,orange p71,10.0,45.0,,,,,"silty clay, FGR",moist,"F/M, C/F","5 YR, 2/3",,pebbles 1-3 mm,EET-2,East,Sedge,Fan,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EEF-2,7/5/19,orange p71,45.0,70.0,,,,,"silty clay, FGR",moist,"F/M, F/F","7.5 YR, 3/2",,,EET-2,East,Sedge,Fan,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EEF-2,7/5/19,orange p71,70.0,89.0,,,,,"silty clay, FGR",saturated,"F/F, F/M","7.5 YR, 3/4",,,EET-2,East,Sedge,Fan,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EEF-2,7/5/19,orange p71,89.0,106.0,,,,fibrous,silty clay,saturated,F/M,"7.5 YR, 3/2",,"redox, mottled",EET-2,East,Sedge,Fan,silty clay,,SIC,,0.0
,EEF-2,7/5/19,orange p71,106.0,115.0,,,,,silty clay,saturated,F/F,"10 YR, 4/2",,"redox, mottled, gleying",EET-2,East,Sedge,Fan,silty clay,,SIC,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
20.0,LHT-1,7/6/19,orange p71,0.0,10.0,,,O,"peat, fibrous, crumbly",,moist,"F-VF/M, M/C","5 YR, 2.5/1",,"peat, fibrous, crumbly",LHT-1,Lower,Mixed Herbaceous,Terrace,,,,,0.0
,LHT-1,7/6/19,orange p71,10.0,31.0,,,A,,silty clay,moist,"VF/C, F/F","5 YR, 2.5/1",,,LHT-1,Lower,Mixed Herbaceous,Terrace,silty clay,,SIC,,0.0
,LHT-1,7/6/19,orange p71,31.0,48.0,,,A,,clay,moist,"F/F, F/VF, F/M","5 Y, 2.5/1; mottled red",,fine mottling,LHT-1,Lower,Mixed Herbaceous,Terrace,clay,,C,,0.0
,LHT-1,7/6/19,orange p71,48.0,54.0,,,A,,silty clay,saturated,F/F,"7.5 YR, 2.5/2",,,LHT-1,Lower,Mixed Herbaceous,Terrace,silty clay,,SIC,,0.0
,LHT-1,7/6/19,orange p71,54.0,76.0,,,E,,"clay, FGR, sticky",saturated,F/F,"10 YR, 4/2; mottled orange",,,LHT-1,Lower,Mixed Herbaceous,Terrace,clay,"FGR, sticky",C,"(2, 5)","(0.15, 0.35)"
,LHT-1,7/6/19,orange p71,76.0,95.0,,,,,"sandy clay, FGR, GR, sticky",saturated,F/F,"10 YR, 4/3; red-orange sand",,red-orange sand appeared to be breakdown of gravel,LHT-1,Lower,Mixed Herbaceous,Terrace,sandy clay,"FGR, GR, sticky",SC,"(2, 5)","(0.15, 0.35)"
,LHT-1,7/6/19,orange p71,95.0,109.0,,,,,sandy clay,saturated,F/F,"2.5 Y, 3/3; gley, mottled",,mottled color 5Y 4/1 and 5Y 4/N,LHT-1,Lower,Mixed Herbaceous,Terrace,sandy clay,,SC,,0.0
,LHT-1,7/6/19,orange p71,109.0,115.0,,,,fibrous,"sandy clay, GR",saturated,F/F,"5 Y 4/1, gley 1 N/3",,,LHT-1,Lower,Mixed Herbaceous,Terrace,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,,,,,0.0
21.0,LET-1,7/6/19,orange p73,0.0,7.5,,,O,crumbly humus,,moist,"M/V-VF, F/M","5 YR, 2.5/1",,,LET-1,Lower,Sedge,Terrace,,,,,0.0
,LET-1,7/6/19,orange p73,7.5,30.0,,,,,clay,moist,"C/F-VF, F/M","5 YR, 2.5/1",,,LET-1,Lower,Sedge,Terrace,clay,,C,,0.0
,LET-1,7/6/19,orange p73,30.0,48.0,,,,,silty clay,moist,"F/M, F/F","5 YR, 2.5/1; fine red-orange mottle",,,LET-1,Lower,Sedge,Terrace,silty clay,,SIC,,0.0
,LET-1,7/6/19,orange p73,48.0,58.0,,,,bits of charcoal at 58 cm,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,,LET-1,Lower,Sedge,Terrace,silty clay,,SIC,,0.0
,LET-1,7/6/19,orange p73,58.0,67.0,,,,,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,,LET-1,Lower,Sedge,Terrace,silty clay,,SIC,,0.0
,LET-1,7/6/19,orange p73,67.0,93.0,,,,layer of charcoal at 93 cm,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,,LET-1,Lower,Sedge,Terrace,silty clay,,SIC,,0.0
,LET-1,7/6/19,orange p73,93.0,100.0,,,,,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,,LET-1,Lower,Sedge,Terrace,silty clay,,SIC,,0.0
,LET-1,7/6/19,orange p73,100.0,110.0,,,,fibrous,silty clay,saturated,"F/C, M/F","7.5 YR, 3/1; bright red-orange mottle",,,LET-1,Lower,Sedge,Terrace,silty clay,,SIC,,0.0
,LET-1,7/6/19,orange p73,110.0,116.0,,,,"fibrous, charcoal bits at 116",sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,,LET-1,Lower,Sedge,Terrace,sandy clay,,SC,,0.0
,LET-1,7/6/19,orange p73,116.0,120.0,,,,fibrous,sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,,LET-1,Lower,Sedge,Terrace,sandy clay,,SC,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
22.0,LWT-1,7/6/19,orange p73,0.0,13.0,,,O,"earthworm, crumbly humus",,moist,M/VF-F,"5 YR, 2.5/1",,,LWT-1,Lower,Willow,Terrace,,,,,0.0
,LWT-1,7/6/19,orange p73,13.0,29.0,,,,,clay,moist,"C/F-VF, F/M ","5 YR, 2.5/1",,,LWT-1,Lower,Willow,Terrace,clay,,C,,0.0
,LWT-1,7/6/19,orange p73,29.0,55.0,,,,,silty clay,moist,C/F-VF,"2.5 YR, 3/1; fine mottled",,,LWT-1,Lower,Willow,Terrace,silty clay,,SIC,,0.0
,LWT-1,7/6/19,orange p73,55.0,82.0,,,,fibrous,clay,saturated,F/F-VF,"5 YR, 3/1; fine red-orange mottle, black streaks",,,LWT-1,Lower,Willow,Terrace,clay,,C,,0.0
,LWT-1,7/6/19,orange p73,82.0,100.0,,,,fibrous,sandy clay,saturated,C/VF-F,"7.5 YR, 2.5/1",,,LWT-1,Lower,Willow,Terrace,sandy clay,,SC,,0.0
,LWT-1,7/6/19,orange p73,100.0,108.0,,,,"fibrous, charcoal",sandy clay,saturated,VF/F-M,"10 YR, 2/1",,,LWT-1,Lower,Willow,Terrace,sandy clay,,SC,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
23.0,EFR-XB3S,8/12/19,orange p106,0.0,6.0,,,O,fibrous,,dry,"M/VF-M, F/C",,,"soil survey only, 1.5 m downstream of well, no well install",B3S,East,Lodgepole Pine,Riparian,,,,,0.0
,EFR-XB3S,8/12/19,orange p106,6.0,12.0,,,A,HO,clay,dry-moist,"F/M, M/VF-F",,,,B3S,East,Lodgepole Pine,Riparian,clay,,C,,0.0
,EFR-XB3S,8/12/19,orange p106,12.0,21.0,,,A,HO,clay,moist,"F/M, M/VF-F",,,,B3S,East,Lodgepole Pine,Riparian,clay,,C,,0.0
,EFR-XB3S,8/12/19,orange p106,21.0,36.0,,,A,HO,clay,moist,"C/VF, F/M, F/F",,,,B3S,East,Lodgepole Pine,Riparian,clay,,C,,0.0
,EFR-XB3S,8/12/19,orange p106,36.0,52.0,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",,,,B3S,East,Lodgepole Pine,Riparian,clay,,C,,0.0
,EFR-XB3S,8/12/19,orange p106,52.0,79.0,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",more organic material than mineral,,,B3S,East,Lodgepole Pine,Riparian,clay,,C,,0.0
,EFR-XB3S,8/12/19,orange p106,79.0,100.0,,,,"HO, woody chunks, roots > 2.5 cm",clay,saturated,"C/C, M/VF-M",,,,B3S,East,Lodgepole Pine,Riparian,clay,,C,,0.0
,EFR-XB3S,8/12/19,orange p106,100.0,112.0,,,,,"sandy clay, XFGR",saturated,"F/M, C/VF-F",,,,B3S,East,Lodgepole Pine,Riparian,sandy clay,XFGR,SC,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
24.0,KWF-XE8S,6/6/21,yellow p49,0.0,12.0,,,O,"HO, peat, grassy",,wet non-satiated,"M/VF-F, F/M, VF/C","10 YR, 2/1",,well replacement,E8S,Kiln,Willow,Fan,,,,,0.0
,KWF-XE8S,6/6/21,yellow p49,12.0,25.0,,,A,HO,clay,wet,"M/VF-F, F/M","5 YR, 2.5/1",,,E8S,Kiln,Willow,Fan,clay,,C,,0.0
,KWF-XE8S,6/6/21,yellow p49,25.0,41.0,,,A,,"clay, FGR",wet,"C/VF-F, F/M","7.5 YR, 2.5/1",,,E8S,Kiln,Willow,Fan,clay,FGR,C,"(2, 5)","(0.15, 0.35)"
,KWF-XE8S,6/6/21,yellow p49,41.0,55.0,,,B,,"clay, VFGR",saturated,"F/F, F/M","7.5 YR, 3/1",,,E8S,Kiln,Willow,Fan,clay,VFGR,C,,0.0
,KWF-XE8S,6/6/21,yellow p49,55.0,66.0,,,C,,"clay, VFGR",saturated,F/F,"10 YR, 5/3",,,E8S,Kiln,Willow,Fan,clay,VFGR,C,,0.0
,KWF-XE8S,6/6/21,yellow p49,66.0,80.0,,,C,,"sandy clay, XGR",saturated,VF/F,"10 YR, 5/3",,,E8S,Kiln,Willow,Fan,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,KWF-XE8S,6/6/21,yellow p49,80.0,90.0,,,C,,"sand, XGR",saturated,VF/F,"10 YR, 5/3",,,E8S,Kiln,Willow,Fan,sand,XGR,S,"(5, 20)","(0.6, 0.9)"
,KWF-XE8S,6/6/21,yellow p49,90.0,100.0,,,C,,"sandy clay, FGR",saturated,VF/VF,"10 YR, 4/3",,,E8S,Kiln,Willow,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KWF-XE8S,6/6/21,yellow p49,100.0,115.0,,,C,,"sandy clay, VGR",saturated,,"7.5 YR, 4/3",,,E8S,Kiln,Willow,Fan,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,KWF-XE8S,6/6/21,yellow p49,115.0,121.0,,,,,"sand, XGR",saturated,,"7.5 YR, 4/6",,,E8S,Kiln,Willow,Fan,sand,XGR,S,"(5, 20)","(0.6, 0.9)"
,,,,,,,,,,,,,,,,,,,,,,,,0.0
26.0,KHT-XD6N,6/29/21,yellow p55,99.0,116.0,,,,,silty clay,moist,"M/VF-F, C/M","7.5 YR, 2.5/3",,deepened well from 99 cm,D6N,Kiln,Mixed Herbaceous,Terrace,silty clay,,SIC,,0.0
,KHT-XD6N,6/29/21,yellow p55,116.0,136.0,,,,,"sandy clay, FGR",wet non-satiated,C/VF-F,"7.5 YR, 4/2",,,D6N,Kiln,Mixed Herbaceous,Terrace,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHT-XD6N,6/29/21,yellow p55,136.0,155.0,,,,,"clay, FGR",saturated,F/VF-C,"mottled rocks 5 Y, 5/1 + 10 YR 4/6 + 2.5 Y 6/8 (olive yellow)",,groundwater level measured at 3.73 ft from ground,D6N,Kiln,Mixed Herbaceous,Terrace,clay,FGR,C,"(2, 5)","(0.15, 0.35)"
,KHT-XD6N,6/29/21,yellow p55,155.0,161.0,,,,,"clay, CGR",saturated,F/VF-F,"10 YR, 5/4",,subangular gravel,D6N,Kiln,Mixed Herbaceous,Terrace,clay,CGR,C,"(20, 76)","(0.15, 0.35)"
,KHT-XD6N,6/29/21,yellow p55,161.0,177.0,,,,live root fibers,"sandy clay, VGR",saturated,"F/C, C/VF-F","10 YR, 5/1 (grayer); white, rose and orange mottled",,"subangular gravel, mottled",D6N,Kiln,Mixed Herbaceous,Terrace,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,KHT-XD6N,6/29/21,yellow p55,177.0,188.0,,,,,"sandy clay, VGR",saturated,C/VF-F,"7.5 YR, 5/1;  white, rose and orange mottled",,large sand and subangular gravel,D6N,Kiln,Mixed Herbaceous,Terrace,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,KHT-XD6N,6/29/21,yellow p55,188.0,196.0,,,,live root fibers,"sandy clay, VFGR",saturated,C/VF-F,"7.5 YR, 5/1;  white, rose and orange mottled",,fine gravels and pebbles,D6N,Kiln,Mixed Herbaceous,Terrace,sandy clay,VFGR,SC,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
28.0,EHF-XA5S,7/15/21,yellow p74,0.0,12.0,,,O,fibrous,,dry,M/VF-C,,,augured completely new well hole; previous well depth was 114.5 cm; this was deepest of 4 trial holes,EHT-XA5S,East,Mixed Herbaceous,Fan,,,,,0.0
,EHF-XA5S,7/15/21,yellow p74,12.0,32.0,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 3/1",,,EHT-XA5S,East,Mixed Herbaceous,Fan,silty clay,,SIC,,0.0
,EHF-XA5S,7/15/21,yellow p74,32.0,42.0,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 4/1",,,EHT-XA5S,East,Mixed Herbaceous,Fan,silty clay,,SIC,,0.0
,EHF-XA5S,7/15/21,yellow p74,42.0,63.0,,,,,silty clay,dry,"C/VF-F, F/M","7.5 YR, 4/1",,,EHT-XA5S,East,Mixed Herbaceous,Fan,silty clay,,SIC,,0.0
,EHF-XA5S,7/15/21,yellow p74,63.0,74.0,,,,,sandy clay,dry,F/VF-M,"7.5 YR, 4/1",,,EHT-XA5S,East,Mixed Herbaceous,Fan,sandy clay,,SC,,0.0
,EHF-XA5S,7/15/21,yellow p74,74.0,85.0,,,,,sandy clay,moist,VF/VF,"10 YR, 4/1; orange mottled",,,EHT-XA5S,East,Mixed Herbaceous,Fan,sandy clay,,SC,,0.0
,EHF-XA5S,7/15/21,yellow p74,85.0,103.0,,,,,sandy clay,moist,"VF/M, C/VF-F","10 YR, 3/1; orange mottled",,,EHT-XA5S,East,Mixed Herbaceous,Fan,sandy clay,,SC,,0.0
,EHF-XA5S,7/15/21,yellow p74,103.0,130.0,,,,fibrous,clay,moist,F/VF,"10 YR, 5/2; orange mottled",,coarse gravel <15%,EHT-XA5S,East,Mixed Herbaceous,Fan,clay,,C,,0.0
,EHF-XA5S,7/15/21,yellow p74,130.0,131.0,,,,,GR,,,,,unable to auger past rock and gravel,EHT-XA5S,East,Mixed Herbaceous,Fan,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
29.0,EWF-1,7/15/21,yellow p77,109.0,120.0,,,,,sandy clay,moist,F/VF-F,"10 YR, 5/4; orange mottled",,"coarse sand, mottled",EWT-1,East,Willow,Fan,sandy clay,,SC,,0.0
,EWF-1,7/15/21,yellow p77,120.0,148.0,,,,,sandy clay,moist,F/VF,"10 YR, 5/4; orange mottled",,"finer sand, mottled",EWT-1,East,Willow,Fan,sandy clay,,SC,,0.0
,EWF-1,7/15/21,yellow p77,148.0,151.0,,,,,sandy clay,saturated,F/VF,"10 YR, 5/3",,,EWT-1,East,Willow,Fan,sandy clay,,SC,,0.0
,EWF-1,7/15/21,yellow p77,151.0,152.0,,,,,GR,,,,,"hit rock, could not auger beyond it",EWT-1,East,Willow,Fan,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
30.0,EEF-2,7/15/21,yellow p77,115.0,128.0,,,,,sandy clay,moist,C/VF-F,"2.5 Y, 6/2; yellow-orange-green mottled",,,EET-2,East,Sedge,Fan,sandy clay,,SC,,0.0
,EEF-2,7/15/21,yellow p77,128.0,130.0,,,,,GR,moist,,,,thin layer of coarse gravel 28-40 mm,EET-2,East,Sedge,Fan,gr,,,,0.0
,EEF-2,7/15/21,yellow p77,130.0,135.0,,,,fibrous,sandy clay,moist,C/M,"2.5 Y, 5/2",,coarse sand,EET-2,East,Sedge,Fan,sandy clay,,SC,,0.0
,EEF-2,7/15/21,yellow p77,135.0,136.0,,,,,GR,,,,,"hit rock(s), cannot auger beyond",EET-2,East,Sedge,Fan,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
31.0,EET-XA3S,7/16/21,yellow p77,97.0,98.0,,,,,GR,,,,,"attempted to deepen well, could not auger deeper than 97 cm, hit rock",A3S,East,Sedge,Terrace,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
32.0,EFT-XA2S,7/16/21,yellow p77,0.0,17.0,,,O,,,dry,M/VF-C,,,"could not deepen existing well, tried to auger new well",A2S,East,Lodgepole Pine,Terrace,,,,,0.0
,EFT-XA2S,7/16/21,yellow p77,17.0,25.0,,,A,,"clay, VFGR",dry,M/VF-C,"7.5 YR, 2.5/1",,coarse sand to fine gravel; also slightly mucky,A2S,East,Lodgepole Pine,Terrace,clay,VFGR,C,,0.0
,EFT-XA2S,7/16/21,yellow p77,25.0,45.0,,,,,"clay, XGR",dry,M/VF-C,,,"hit rocks, could not auger deeper; unclear if abandoned this hole, the previous one was likely deeper",A2S,East,Lodgepole Pine,Terrace,clay,XGR,C,"(5, 20)","(0.6, 0.9)"
,,,,,,,,,,,,,,,,,,,,,,,,0.0
33.0,"E6S, failed",7/16/21,yellow p77,114.0,115.0,,,,,sandy clay,moist,C/VF-F,"7.5 YR, 3/3; orange mottled",,"10% pebbles; tried to deepen existing well, started at 115 cm but that layer may be mixed origins","E6S, failed",East,6,S,sandy clay,,SC,,0.0
,"E6S, failed",7/16/21,yellow p77,115.0,128.0,,,,,"sandy clay, FGR",moist,F/VF-F,"7.5 YR, 5/3",,gravel subangular,"E6S, failed",East,6,S,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,"E6S, failed",7/16/21,yellow p77,128.0,138.0,,,,,"sandy clay, VGR",moist,F/VF-F,"7.5 YR, 4/1",,"gravel subangular, coarsening","E6S, failed",East,6,S,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,"E6S, failed",7/16/21,yellow p77,128.0,151.0,,,,,"sandy clay, VGR",moist,F/VF-F,"10 YR, 4/2",,"gravel subangular, coarsening further","E6S, failed",East,6,S,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,"E6S, failed",7/16/21,yellow p77,151.0,152.0,,,,,GR,,,,,"hit rock, seemed big","E6S, failed",East,6,S,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
33.0,KHT-XE6S,7/16/21,yellow p78,0.0,13.0,,,O,humus,,dry,M/VF-M,"5 YR, 3/2",,deepened original,E6S,Kiln,Mixed Herbaceous,Terrace,,,,,0.0
,KHT-XE6S,7/16/21,yellow p78,13.0,32.0,,,,HO,"clay loam, FGR",dry-moist,"M/VF-F, C/M","5 YR, 2.5/1",,,E6S,Kiln,Mixed Herbaceous,Terrace,clay loam,FGR,CL,"(2, 5)","(0.15, 0.35)"
,KHT-XE6S,7/16/21,yellow p78,32.0,38.0,,,,,clay loam,dry,"C/VF, F/F","7.5 YR, 3/2",,fine gravel < 35%,E6S,Kiln,Mixed Herbaceous,Terrace,clay loam,,CL,,0.0
,KHT-XE6S,7/16/21,yellow p78,38.0,46.0,,,,,silty clay,dry,F/VF,"7.5 YR, 3/3",,fine gravel < 35%,E6S,Kiln,Mixed Herbaceous,Terrace,silty clay,,SIC,,0.0
,KHT-XE6S,7/16/21,yellow p78,46.0,60.0,,,,,"silty clay, FGR",dry,F/VF-F,"7.5 YR, 4/2",,gravel sub-rounded,E6S,Kiln,Mixed Herbaceous,Terrace,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,KHT-XE6S,7/16/21,yellow p78,60.0,68.0,,,,,"sandy clay, VFGR",dry-moist,F/VF-F,"7.5 YR, 5/3",,,E6S,Kiln,Mixed Herbaceous,Terrace,sandy clay,VFGR,SC,,0.0
,KHT-XE6S,7/16/21,yellow p78,68.0,80.0,,,,,"sandy clay, VFGR",moist,F/VF-F,"7.5 YR, 5/3",,,E6S,Kiln,Mixed Herbaceous,Terrace,sandy clay,VFGR,SC,,0.0
,KHT-XE6S,7/16/21,yellow p78,80.0,91.0,,,,,sandy clay,moist,F/VF-F,"7.5 YR, 5/4; orange mottled",,,E6S,Kiln,Mixed Herbaceous,Terrace,sandy clay,,SC,,0.0
,KHT-XE6S,7/16/21,yellow p78,91.0,116.0,,,C,,"clay, FGR",moist,F/VF-F,"7.5 YR, 5/4; orange mottled, purple fragments",,,E6S,Kiln,Mixed Herbaceous,Terrace,clay,FGR,C,"(2, 5)","(0.15, 0.35)"
,KHT-XE6S,7/16/21,yellow p78,116.0,128.0,,,C,,"clay, VFGR",moist,F/VF-F,"7.5 YR 4/3; red-orange, purple, gray fragments",,,E6S,Kiln,Mixed Herbaceous,Terrace,clay,VFGR,C,,0.0
,KHT-XE6S,7/16/21,yellow p78,128.0,131.0,,,C,,"clay, VFGR",moist,F/VF-F,"10 YR 4/2; red, red-orange, purple, gray fragments",,,E6S,Kiln,Mixed Herbaceous,Terrace,clay,VFGR,C,,0.0
,KHT-XE6S,7/16/21,yellow p78,131.0,147.0,,,C,fibrous,"clay, VFGR",moist,VF/VF,"10 YR 4/2; red, red-orange, purple, gray fragments",,"a few gravels, 30-40 mm",E6S,Kiln,Mixed Herbaceous,Terrace,clay,VFGR,C,,0.0
,KHT-XE6S,7/16/21,yellow p78,147.0,154.0,,,C,fibrous,"sandy clay, XGR",moist,VF/VF,10 YR 4/2; strong orange mottle direct from fragments,,,E6S,Kiln,Mixed Herbaceous,Terrace,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,KHT-XE6S,7/16/21,yellow p78,154.0,161.0,,,,,"sandy clay, VGR",wet,,"7.5 YR, 4/3",,gravel subangular to 40 mm,E6S,Kiln,Mixed Herbaceous,Terrace,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,KHT-XE6S,7/16/21,yellow p78,161.0,173.0,,,,,"sandy clay, VGR",wet,VF/VF,"7.5 YR, 4/4",,gravel subangular to 40 mm,E6S,Kiln,Mixed Herbaceous,Terrace,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,KHT-XE6S,7/16/21,yellow p78,173.0,182.0,,,,,"clay, XFGR",saturated,,10 YR 3/6,,iron-stained water,E6S,Kiln,Mixed Herbaceous,Terrace,clay,XFGR,C,,0.0
,KHT-XE6S,7/16/21,yellow p78,182.0,183.0,,,,,GR,saturated,,,,"hit rock(s), could not auger beyond them.",E6S,Kiln,Mixed Herbaceous,Terrace,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
33.0,KHT-XE5S,7/16/21,yellow p77,100.0,108.0,,,,,"sandy clay, VFGR",wet,C/VF-M,"10 YR, 4/4",,gravel sub-rounded; deepened original well,E5S,Kiln,Mixed Herbaceous,Terrace,sandy clay,VFGR,SC,,0.0
,KHT-XE5S,7/16/21,yellow p77,108.0,113.0,,,,,"sandy clay, GR",wet,C/VF-M,"10 YR, 4/1; orange mottled, more gray",,gravel sub-rounded to 40 mm,E5S,Kiln,Mixed Herbaceous,Terrace,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,KHT-XE5S,7/16/21,yellow p77,113.0,120.0,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 4/3; orange mottled",,gravel sub-rounded to 40 mm,E5S,Kiln,Mixed Herbaceous,Terrace,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,KHT-XE5S,7/16/21,yellow p77,120.0,126.0,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,E5S,Kiln,Mixed Herbaceous,Terrace,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,KHT-XE5S,7/16/21,yellow p77,126.0,130.0,,,,,"sandy clay, GR",saturated,C/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,E5S,Kiln,Mixed Herbaceous,Terrace,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,KHT-XE5S,7/16/21,yellow p77,130.0,138.0,,,,,"sandy clay, XGR",saturated,F/VF-F,"10 YR, 4/4",,gravel sub-rounded to 40 mm,E5S,Kiln,Mixed Herbaceous,Terrace,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,KHT-XE5S,7/16/21,yellow p77,138.0,150.0,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4",,finer gravel,E5S,Kiln,Mixed Herbaceous,Terrace,sandy clay,XFGR,SC,,0.0
,KHT-XE5S,7/16/21,yellow p77,150.0,165.0,,,,,"sandy clay, XGR",saturated,,"10 YR, 3/6",,"gravel sub-angular, larger to 45 mm",E5S,Kiln,Mixed Herbaceous,Terrace,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,KHT-XE5S,7/16/21,yellow p77,165.0,179.0,,,,,FGR,saturated,,,,"gravel rounded, mostly 2-4 mm, a few to 16 mm",E5S,Kiln,Mixed Herbaceous,Terrace,fgr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
35.0,KWF-2,6/11/25,2015-25 Or V3 p60,0.0,7.0,,,O,,,moist,"M/VF, C/F","2.5 YR, 2.5/1",,"augered at Kiln3 camera, but abandoned due to cobbles at 66 cm, which didn't seem deep enough to support a viable well",KWF-2,Kiln,Willow,Fan,,,,,0.0
,KWF-2,6/11/25,2015-25 Or V3 p60,7.0,14.0,,,Oa,,silty clay,moist,"M/VF, F/F, VF/C","10 YR, 2/1",,"loose, spongy",KWF-2,Kiln,Willow,Fan,silty clay,,SIC,,0.0
,KWF-2,6/11/25,2015-25 Or V3 p60,14.0,27.0,,,A,,clay,moist,"M/VF, C/F, F/M, VF/C","10 YR, 2/2",,cohesive,KWF-2,Kiln,Willow,Fan,clay,,C,,0.0
