#,well_id,date,start_depth_cm,stop_depth_cm,soil_texture_code,gravel_amount_percent,field_well_id
36.0,KWT-2,6/14/2025,0.0,6.0,O,0.0,KWT-2
,KWT-2,6/14/2025,6.0,10.0,L,0.0,KWT-2
,KWT-2,6/14/2025,10.0,38.0,C,0.0,KWT-2
,KWT-2,6/14/2025,38.0,60.0,SC,0.6,KWT-2
,KWT-2,6/14/2025,60.0,75.0,C,0.6,KWT-2
,KWT-2,6/14/2025,75.0,91.0,C,0.0,KWT-2
,KWT-2,6/14/2025,91.0,92.0,VCB,0.0,KWT-2
,EWT-2,6/12/2025,0.0,16.0,O,0.0,EWT-2
,EWT-2,6/12/2025,16.0,69.0,SC,0.35,EWT-2
,EWT-2,6/12/2025,69.0,80.0,SC,0.6,EWT-2
,EWT-2,6/12/2025,80.0,107.0,SC,0.35,EWT-2
,EWT-2,6/12/2025,107.0,123.0,SC,0.0,EWT-2
38.0,KER-2,6/15/2025,0.0,3.0,O,0.0,KER-2
,KER-2,6/15/2025,3.0,42.0,SC,0.0,KER-2
,KER-2,6/15/2025,42.0,55.0,SIC,0.0,KER-2
,KER-2,6/15/2025,55.0,64.0,SC,0.35,KER-2
,KER-2,6/15/2025,64.0,80.0,MGR,0.35,KER-2
