well_id,date,start_depth_cm,stop_depth_cm,soil_texture_code,gravel_amount_percent
KHT-XE5S,2021-07-16,138.0,150.0,SC,0.0
KHT-XE5S,2021-07-16,150.0,165.0,SC,0.9
KHT-XE5S,2021-07-16,165.0,179.0,GR,0.0
KHT-XE6S,2021-07-16,0.0,13.0,HO,0.0
KHT-XE6S,2021-07-16,13.0,32.0,CL,0.35
KHT-XE6S,2021-07-16,32.0,38.0,CL,0.0
KHT-XE6S,2021-07-16,38.0,46.0,SIC,0.0
KHT-XE6S,2021-07-16,46.0,60.0,SIC,0.35
KHT-XE6S,2021-07-16,60.0,91.0,SC,0.0
KHT-XE6S,2021-07-16,91.0,116.0,C,0.35
KHT-XE6S,2021-07-16,116.0,147.0,C,0.0
KHT-XE6S,2021-07-16,147.0,154.0,SC,0.9
KHT-XE6S,2021-07-16,154.0,173.0,SC,0.6
KHT-XE6S,2021-07-16,173.0,182.0,C,0.0
KHT-XE6S,2021-07-16,182.0,183.0,GR,0.0
KWF-1,2018-06-30,0.0,20.32,C,0.0
KWF-1,2018-06-30,20.32,38.1,SC,0.35
KWF-1,2018-06-30,38.1,67.31,SCL,0.35
KWF-1,2018-06-30,67.31,83.82000000000001,SC,0.35
KWF-1,2018-06-30,83.82000000000001,88.9,SC,0.0
KWF-1,2018-06-30,88.9,91.44,GR,0.0
KWF-2,2018-06-20,0.0,13.0,C,0.0
KWF-2,2018-06-20,13.0,19.0,GR,0.0
KWF-2,2018-06-20,19.0,30.0,C,0.0
KWF-2,2018-06-20,30.0,44.0,SIC,0.0
KWF-2,2018-06-20,44.0,71.0,SCL,0.0
KWF-2,2018-06-20,71.0,91.0,SCL,0.6
KWF-2,2018-06-20,91.0,104.0,GR,0.0
KWF-2,2021-06-29,104.0,113.0,L,0.0
KWF-2,2021-06-29,113.0,136.0,SCL,0.0
KWF-2,2021-06-29,136.0,147.0,SC,0.6
KWF-2,2025-06-11,0.0,7.0,HO,0.0
KWF-2,2025-06-11,7.0,14.0,SIC,0.0
KWF-2,2025-06-11,14.0,40.0,C,0.0
KWF-2,2025-06-11,40.0,51.0,C,0.35
KWF-2,2025-06-11,51.0,63.0,SC,0.0
KWF-2,2025-06-11,63.0,66.0,GR,0.0
KWF-XE8S,2021-06-06,0.0,12.0,HO,0.0
KWF-XE8S,2021-06-06,12.0,25.0,C,0.0
KWF-XE8S,2021-06-06,25.0,41.0,C,0.35
KWF-XE8S,2021-06-06,41.0,66.0,C,0.0
KWF-XE8S,2021-06-06,66.0,80.0,SC,0.9
KWF-XE8S,2021-06-06,80.0,90.0,S,0.9
KWF-XE8S,2021-06-06,90.0,100.0,SC,0.35
KWF-XE8S,2021-06-06,100.0,115.0,SC,0.6
KWF-XE8S,2021-06-06,115.0,121.0,S,0.9
KWR-1,2018-06-20,0.0,63.5,CL,0.0
KWR-1,2018-06-20,63.5,81.28,SCL,0.35
KWR-1,2018-06-20,81.28,83.82000000000001,GR,0.0
KWR-XE1N,2018-06-20,0.0,5.08,HO,0.0
KWR-XE1N,2018-06-20,5.08,33.02,SC,0.0
KWR-XE1N,2018-06-20,33.02,58.42,SCL,0.6
KWR-XE1N,2018-06-20,58.42,60.96,SIC,0.0
KWR-XE1N,2018-06-20,60.96,73.66,GR,0.0
KWT-2,2025-06-14,0.0,6.0,HO,0.0
KWT-2,2025-06-14,6.0,10.0,L,0.0
KWT-2,2025-06-14,10.0,38.0,C,0.0
KWT-2,2025-06-14,38.0,60.0,SC,0.0
KWT-2,2025-06-14,60.0,91.0,C,0.0
KWT-2,2025-06-14,91.0,92.0,GR,0.0
LET-1,2019-07-06,0.0,7.5,HO,0.0
LET-1,2019-07-06,7.5,30.0,C,0.0
LET-1,2019-07-06,30.0,110.0,SIC,0.0
LET-1,2019-07-06,110.0,120.0,SC,0.0
LHT-1,2019-07-06,0.0,10.0,HO,0.0
LHT-1,2019-07-06,10.0,31.0,SIC,0.0
LHT-1,2019-07-06,31.0,48.0,C,0.0
LHT-1,2019-07-06,48.0,54.0,SIC,0.0
LHT-1,2019-07-06,54.0,76.0,C,0.35
LHT-1,2019-07-06,76.0,95.0,SC,0.35
LHT-1,2019-07-06,95.0,109.0,SC,0.0
LHT-1,2019-07-06,109.0,115.0,SC,0.35
LWT-1,2019-07-06,0.0,13.0,HO,0.0
LWT-1,2019-07-06,13.0,29.0,C,0.0
LWT-1,2019-07-06,29.0,55.0,SIC,0.0
LWT-1,2019-07-06,55.0,82.0,C,0.0
LWT-1,2019-07-06,82.0,108.0,SC,0.0
