#,well_id,date,source,start_depth_cm,stop_depth_cm,start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil_texture_code,gravel size,gravel amount,gravel_amount_percent
,B3S,8/12/2019,orange p106,6,12,,,A,HO,clay,dry-moist,"F/M, M/VF-F",,,,clay,,C,,0,0
,B3S,8/12/2019,orange p106,12,21,,,A,HO,clay,moist,"F/M, M/VF-F",,,,clay,,C,,0,0
,B3S,8/12/2019,orange p106,21,36,,,A,HO,clay,moist,"C/VF, F/M, F/F",,,,clay,,C,,0,0
,B3S,8/12/2019,orange p106,36,52,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",,,,clay,,C,,0,0
,B3S,8/12/2019,orange p106,52,79,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",more organic material than mineral,,,clay,,C,,0,0
,B3S,8/12/2019,orange p106,79,100,,,,"HO, woody chunks, roots > 2.5 cm",clay,saturated,"C/C, M/VF-M",,,,clay,,C,,0,0
,B3S,8/12/2019,orange p106,100,112,,,,,"sandy clay, XFGR",saturated,"F/M, C/VF-F",,,,sandy clay,XFGR,SC,"(2,5)","(.6, .9)",0.9
,,,,,,,,,,,,,,,,,,,,,
24,E8S,6/6/2021,yellow p49,0,12,,,O,"HO, peat, grassy",,wet non-satiated,"M/VF-F, F/M, VF/C","10 YR, 2/1",,well replacement,,,O,,0,0
,E8S,6/6/2021,yellow p49,12,25,,,A,HO,clay,wet,"M/VF-F, F/M","5 YR, 2.5/1",,,clay,,C,,0,0
,E8S,6/6/2021,yellow p49,25,41,,,A,,"clay, FGR",wet,"C/VF-F, F/M","7.5 YR, 2.5/1",,,clay,FGR,C,"(2, 5)","(0.15, 0.35)",0.35
,E8S,6/6/2021,yellow p49,41,55,,,B,,"clay, VFGR",saturated,"F/F, F/M","7.5 YR, 3/1",,,clay,VFGR,C,"(2, 5)","(.35,.6)",0.6
,E8S,6/6/2021,yellow p49,55,66,,,C,,"clay, VFGR",saturated,F/F,"10 YR, 5/3",,,clay,VFGR,C,"(2, 5)","(.35,.6)",0.6
,E8S,6/6/2021,yellow p49,66,80,,,C,,"sandy clay, XGR",saturated,VF/F,"10 YR, 5/3",,,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)",0.9
,E8S,6/6/2021,yellow p49,80,90,,,C,,"sand, XGR",saturated,VF/F,"10 YR, 5/3",,,sand,XGR,S,"(5, 20)","(0.6, 0.9)",0.9
,E8S,6/6/2021,yellow p49,90,100,,,C,,"sandy clay, FGR",saturated,VF/VF,"10 YR, 4/3",,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,E8S,6/6/2021,yellow p49,100,115,,,C,,"sandy clay, VGR",saturated,,"7.5 YR, 4/3",,,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)",0.6
,E8S,6/6/2021,yellow p49,115,121,,,,,"sand, XGR",saturated,,"7.5 YR, 4/6",,,sand,XGR,S,"(5, 20)","(0.6, 0.9)",0.9
,,,,,,,,,,,,,,,,,,,,0,
28,EHT-XA5S,7/15/2021,yellow p74,0,12,,,O,fibrous,,dry,M/VF-C,,,augured completely new well hole; previous well depth was 114.5 cm; this was deepest of 4 trial holes,,,O,,0,0
,EHT-XA5S,7/15/2021,yellow p74,12,32,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 3/1",,,silty clay,,SIC,,0,0
,EHT-XA5S,7/15/2021,yellow p74,32,42,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 4/1",,,silty clay,,SIC,,0,0
,EHT-XA5S,7/15/2021,yellow p74,42,63,,,,,silty clay,dry,"C/VF-F, F/M","7.5 YR, 4/1",,,silty clay,,SIC,,0,0
,EHT-XA5S,7/15/2021,yellow p74,63,74,,,,,sandy clay,dry,F/VF-M,"7.5 YR, 4/1",,,sandy clay,,SC,,0,0
,EHT-XA5S,7/15/2021,yellow p74,74,85,,,,,sandy clay,moist,VF/VF,"10 YR, 4/1; orange mottled",,,sandy clay,,SC,,0,0
,EHT-XA5S,7/15/2021,yellow p74,85,103,,,,,sandy clay,moist,"VF/M, C/VF-F","10 YR, 3/1; orange mottled",,,sandy clay,,SC,,0,0
,EHT-XA5S,7/15/2021,yellow p74,103,130,,,,fibrous,clay,moist,F/VF,"10 YR, 5/2; orange mottled",,coarse gravel <15%,clay,,C,,0,0
,EHT-XA5S,7/15/2021,yellow p74,130,131,,,,,GR,,,,,unable to auger past rock and gravel,gr,,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
29,EWT-1,7/15/2021,yellow p77,109,120,,,,,sandy clay,moist,F/VF-F,"10 YR, 5/4; orange mottled",,"coarse sand, mottled",sandy clay,,SC,,0,0
,EWT-1,7/15/2021,yellow p77,120,148,,,,,sandy clay,moist,F/VF,"10 YR, 5/4; orange mottled",,"finer sand, mottled",sandy clay,,SC,,0,0
,EWT-1,7/15/2021,yellow p77,148,151,,,,,sandy clay,saturated,F/VF,"10 YR, 5/3",,,sandy clay,,SC,,0,0
,EWT-1,7/15/2021,yellow p77,151,152,,,,,GR,,,,,"hit rock, could not auger beyond it",gr,,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
32,A2S,7/16/2021,yellow p77,0,17,,,O,,,dry,M/VF-C,,,"could not deepen existing well, tried to auger new well",,,O,,0,0
,A2S,7/16/2021,yellow p77,17,25,,,A,,"clay, VFGR",dry,M/VF-C,"7.5 YR, 2.5/1",,coarse sand to fine gravel; also slightly mucky,clay,VFGR,C,"(2, 5)","(.35,.6)",0.6
,A2S,7/16/2021,yellow p77,25,45,,,,,"clay, XGR",dry,M/VF-C,,,"hit rocks, could not auger deeper; unclear if abandoned this hole, the previous one was likely deeper",clay,XGR,C,"(5, 20)","(0.6, 0.9)",0.9
,,,,,,,,,,,,,,,,,,,,,
33,E6S,7/16/2021,yellow p78,0,13,,,O,humus,,dry,M/VF-M,"5 YR, 3/2",,deepened original,,,O,,,
,E6S,7/16/2021,yellow p78,13,32,,,,HO,"clay loam, FGR",dry-moist,"M/VF-F, C/M","5 YR, 2.5/1",,,clay loam,FGR,CL,"(2, 5)","(0.15, 0.35)",0.35
,E6S,7/16/2021,yellow p78,32,38,,,,,clay loam,dry,"C/VF, F/F","7.5 YR, 3/2",,fine gravel < 35%,clay loam,,CL,,0,0
,E6S,7/16/2021,yellow p78,38,46,,,,,silty clay,dry,F/VF,"7.5 YR, 3/3",,fine gravel < 35%,silty clay,,SIC,,0,0
,E6S,7/16/2021,yellow p78,46,60,,,,,"silty clay, FGR",dry,F/VF-F,"7.5 YR, 4/2",,gravel sub-rounded,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)",0.35
,E6S,7/16/2021,yellow p78,60,68,,,,,"sandy clay, VFGR",dry-moist,F/VF-F,"7.5 YR, 5/3",,,sandy clay,VFGR,SC,"(2, 5)","(.35,.6)",0.6
,E6S,7/16/2021,yellow p78,68,80,,,,,"sandy clay, VFGR",moist,F/VF-F,"7.5 YR, 5/3",,,sandy clay,VFGR,SC,"(2, 5)","(.35,.6)",0.6
,E6S,7/16/2021,yellow p78,80,91,,,,,sandy clay,moist,F/VF-F,"7.5 YR, 5/4; orange mottled",,,sandy clay,,SC,,0,
,E6S,7/16/2021,yellow p78,91,116,,,C,,"clay, FGR",moist,F/VF-F,"7.5 YR, 5/4; orange mottled, purple fragments",,,clay,FGR,C,"(2, 5)","(0.15, 0.35)",0.35
,E6S,7/16/2021,yellow p78,116,128,,,C,,"clay, VFGR",moist,F/VF-F,"7.5 YR 4/3; red-orange, purple, gray fragments",,,clay,VFGR,C,"(2, 5)","(.35,.6)",0.6
,E6S,7/16/2021,yellow p78,128,131,,,C,,"clay, VFGR",moist,F/VF-F,"10 YR 4/2; red, red-orange, purple, gray fragments",,,clay,VFGR,C,"(2, 5)","(.35,.6)",0.6
,E6S,7/16/2021,yellow p78,131,147,,,C,fibrous,"clay, VFGR",moist,VF/VF,"10 YR 4/2; red, red-orange, purple, gray fragments",,"a few gravels, 30-40 mm",clay,VFGR,C,"(2, 5)","(.35,.6)",0.6
,E6S,7/16/2021,yellow p78,147,154,,,C,fibrous,"sandy clay, XGR",moist,VF/VF,10 YR 4/2; strong orange mottle direct from fragments,,,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)",0.9
,E6S,7/16/2021,yellow p78,154,161,,,,,"sandy clay, VGR",wet,,"7.5 YR, 4/3",,gravel subangular to 40 mm,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)",0.6
,E6S,7/16/2021,yellow p78,161,173,,,,,"sandy clay, VGR",wet,VF/VF,"7.5 YR, 4/4",,gravel subangular to 40 mm,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)",0.6
,E6S,7/16/2021,yellow p78,173,182,,,,,"clay, XFGR",saturated,,10 YR 3/6,,iron-stained water,clay,XFGR,C,"(2,5)","(.6,.9)",0.9
,E6S,7/16/2021,yellow p78,182,183,,,,,GR,saturated,,,,"hit rock(s), could not auger beyond them.",gr,,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
35,KWF-2,6/11/2025,2015-25 Or V3 p60,0,7,,,O,,,moist,"M/VF, C/F","2.5 YR, 2.5/1",,"augered at Kiln3 camera, but abandoned due to cobbles at 66 cm, which didn't seem deep enough to support a viable well",,,O,,0,0
,KWF-2,6/11/2025,2015-25 Or V3 p60,7,14,,,Oa,,silty clay,moist,"M/VF, F/F, VF/C","10 YR, 2/1",,"loose, spongy",silty clay,,SIC,,0,0
,KWF-2,6/11/2025,2015-25 Or V3 p60,14,27,,,A,,clay,moist,"M/VF, C/F, F/M, VF/C","10 YR, 2/2",,cohesive,clay,,C,,0,0
,KWF-2,6/11/2025,2015-25 Or V3 p60,27,40,,,A,,clay,moist,"M/VF, C/F","2.5 YR, 2.5/1","concentrations common, 2-5 mm",cohesive,clay,,C,,0,0
,KWF-2,6/11/2025,2015-25 Or V3 p60,40,51,,,A/B,,"clay, MGR",wet,"M/VF, C/F","2.5 YR, 3/1","concentrations many, 2-5 mm",gravel subangular,clay,MGR,C,"(5, 20)","(0.15, 0.35)",0.35
,KWF-2,6/11/2025,2015-25 Or V3 p60,51,63,,,A/Bg,,"sandy clay, CB",saturated,"M/VF, C/F","2.5 YR, 4/1; gray mottle GLEY1 4/N + 2.5/N",,cobble subangular,sandy clay,CB,SC,,0,0
,KWF-2,6/11/2025,2015-25 Or V3 p60,63,66,,,,,VCB,saturated,,,,cobble subangular,vcb,,,,0,0
,,,,,,,,,,,,,,,,,,,,0,0
36,KWT-2,6/14/2025,2015-25 Or V3 p62,0,6,,,Oi,,thatch,,,,,,thatch,,O,,0,0
,KWT-2,6/14/2025,2015-25 Or V3 p62,6,10,,,Oa,,loam,moist,"F/M-C, M/VF-F","5 YR, 2.5/1",,crumbly,loam,,L,,0,0
,KWT-2,6/14/2025,2015-25 Or V3 p62,10,38,,,A,,clay,moist,"M/VF-F, C/M","5 YR, 2.5/1",,,clay,,C,,0,0
,KWT-2,6/14/2025,2015-25 Or V3 p62,38,60,,,A,fibrous,"sandy clay, VMGR",saturated,C/VF-F,"5 YR, 2.5/1",,gravel subangular,sandy clay,VMGR,SC,"(5, 20)","(0.35, 0.6)",0.6
,KWT-2,6/14/2025,2015-25 Or V3 p62,60,75,,,A,many fibrous clumps,"clay, VMGR",saturated,"M/F, C/VF","5 YR, 2.5/1",,gravel sub-rounded,clay,VMGR,C,"(5, 20)","(0.35, 0.6)",0.6
,KWT-2,6/14/2025,2015-25 Or V3 p62,75,91,,,A,many fibrous clumps,clay,saturated,M/VF-F,"5 YR, 2.5/1",,,clay,,C,,0,0
,KWT-2,6/14/2025,2015-25 Or V3 p62,91,92,,,,,VCB,,,,,"hit rock, installed well on top",vcb,,VCB,,0,0
,,,,,,,,,,,,,,,,,,,,0,0
37,EWT-2,6/12/2025,2015-25 Or V3 p64,0,2.5,,,O,thatch,,dry,,,,"bunchgrass at top, mislabeled as EWF-1 in field book but name changed to EWT-2",,,O,,0,0
,EWT-2,6/12/2025,2015-25 Or V3 p64,2.5,8,,,Oi,fibrous,,moist,"M/VF-F, VF/M","5 YR, 3/1",,,,,O,,0,0
,EWT-2,6/12/2025,2015-25 Or V3 p64,8,16,,,Oe,fibrous,,moist,"M/VF-F, VF/M","5 YR, 3/1",,,,,O,,0,0
,EWT-2,6/12/2025,2015-25 Or V3 p64,16,27,,,A,,"sandy clay, MGR",moist,"M/VF-F, F/M","10 YR, 2/1",,gravel subangular,sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)",0.35
,EWT-2,6/12/2025,2015-25 Or V3 p64,27,38,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 2/1",,"few coarse gravel, subangular",sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)",0.35
,EWT-2,6/12/2025,2015-25 Or V3 p64,38,48,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 4/1",,"some fine gravel, subangular",sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)",0.35
,EWT-2,6/12/2025,2015-25 Or V3 p64,48,69,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 4/2",,"gravel sub-rounded, more sand",sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)",0.35
,EWT-2,6/12/2025,2015-25 Or V3 p64,69,80,,,B,,"sandy clay, VMGR",wet,C/VF-F,"10 YR, 5/3","concentrations common, 2-5 mm, 10 YR 4/4",gravel sub-rounded,sandy clay,VMGR,SC,"(5, 20)","(0.35, 0.6)",0.6
,EWT-2,6/12/2025,2015-25 Or V3 p64,80,98,,,B,,"sandy clay, VFGR, MGR",wet,C/VF-F,"10 YR, 5/3","concentrations common, 2-5 mm, 10 YR 4/4 with some very light, broken down rock","one coarse gravel, all sub-rounded",sandy clay,"VFGR, MGR",SC,"(5, 20)","(0.15, 0.35)",0.35
,EWT-2,6/12/2025,2015-25 Or V3 p64,98,107,,,B,,"sandy clay, FGR",wet,"M/VF, F/F","10 YR, 4/3","concentrations common, 2-20 mm, 7.5 YR 4/4","very coarse sand to FGR, a few MGR",sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,EWT-2,6/12/2025,2015-25 Or V3 p64,107,123,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4; mottled 10 YR 7/6",,"MGR and CGR present, subangular to sub-rounded",sandy clay,XFGR,SC,,0,0
,,,,,,,,,,,,,,,,,,,,0,0
38,KER-2,6/15/2025,2015-25 Or V3 p66,0,3,,,Oi,thatch,,,,,,"augered 5 holes in same area, hit rounded gravel at 65 in all cases, deepest augered to 80 cm where well installed",,,O,,0,0
,KER-2,6/15/2025,2015-25 Or V3 p66,3,15,,,Oea,,sandy clay,moist,"M/VF, C/F","5 YR, 3/1",,,sandy clay,,SC,,0,0
,KER-2,6/15/2025,2015-25 Or V3 p66,15,42,,,A,,sandy clay,moist,"M/VF-F, C/M","5 YR, 2.5/2",,,sandy clay,,SC,,0,0
,KER-2,6/15/2025,2015-25 Or V3 p66,42,55,,,A,,silty clay,wet,M/VF-F,"5 YR, 2.5/2",,,silty clay,,SIC,,0,0
,KER-2,6/15/2025,2015-25 Or V3 p66,55,64,,,A,,"sandy clay, MGR",saturated,"M/VF, C/F","7.5 YR, 4/1",,"gravel rounded, hit CGR or larger at 65 cm",sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)",0.35
,KER-2,6/15/2025,2015-25 Or V3 p66,64,80,,,,,MGR,saturated,"M/VF-F, C/M",,,"10-20% coarse gravel, all enmeshed with coarse roots, interstices filled with fine gravel and coarse sand, all rounded",mgr,MGR,MGR,"(5, 20)","(0.15, 0.35)",0.35
