#,well_id,date,source,start_depth_cm,stop_depth_cm,start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil_texture_code,gravel size,gravel amount,gravel_amount_percent
,,,,,,,,,,,,,,,,,,,,,
4,EET-1,5/31/2018,black spiral,0,10.16,0,4,,"grassy, fibrous","HO, MPT",sturated,M/VF-M,dark black brown,,,ho,MPT,,,0,0
,EET-1,5/31/2018,black spiral,10.16,22.86,4,9,,,clay,saturated,M/VF-M,dark brown,,,clay,,C,,0,0
,EET-1,5/31/2018,black spiral,22.86,40.64,9,16,,,"clay silt, GR",saturated,"C/F, M/VF","dark brown, grayish blue",,3mm pebbles,clay silt,GR,SIC,"(5, 20)","(0.15, 0.35)",0.35
,EET-1,5/31/2018,black spiral,40.64,55.88,16,22,,,"sandy clay, VGR",saturated,C/F,mottled tan,,"angular gravel, 5-12 mm",sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)",0.6
,EET-1,5/31/2018,black spiral,55.88,71.12,22,28,,,"clay loam, GR",saturated,"C/VF, F, M-F",mottled tan,,whole and decomposing gravel,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)",0.35
,EET-1,5/31/2018,black spiral,71.12,96.52,28,38,,,"clay loam, GR",saturated,F/VF-F,mottled tan,,"few fiber chunks, whole and decomposing gravel",clay loam,GR,CL,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
5,EET-1,5/31/2018,black spiral,0,10.16,0,4,,,HO,moist,M/VF-F,dark black brown,,hummic,ho,,,,0,0
,EET-1,5/31/2018,black spiral,10.16,25.4,4,10,,,clay,moist,C/F-M,dark brown,,"small bits of broken, subangular gravel",clay,,C,,0,0
,EET-1,5/31/2018,black spiral,25.4,45.72,10,18,,,"sandy clay, GR",saturated,F/VF-F,brown-tan,,"subangular gravel, large sand to 8 mm",sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)",0.35
,EET-1,5/31/2018,black spiral,45.72,64.77,18,25.5,,,"sandy clay loam, VGR",saturated,F/VF-F,brown-tan,,,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)",0.6
