"TOA5","Station1_wx100","CR1000","6586","CR1000.Std.10","CPU:SH_Site1_1_1.CR1","60827","hourly"
"TIMESTAMP","RECORD","WS_ms_25ft","WindDir_25ft","SD_WindDir_25ft","AirTC_25ft_Avg","RH_25ft","SnowPillow_in_Avg","Batt_Volt_Avg","BP_mbar_Avg","SlrkW_Avg","SlrMJ_Tot","ETos","Rso","WS_ms_100ft","WindDir_100ft","SD_WindDir_100ft","AirTC_100ft_Avg","RH_100ft","JUDD_AT_Avg","JUDD_Depth_Avg","V1_Avg(1)","V1_Avg(2)","V1_Avg(3)","V2_Avg(1)","V2_Avg(2)","V2_Avg(3)","V3_Avg(1)","V3_Avg(2)","V3_Avg(3)","V4_Avg(1)","V4_Avg(2)","V4_Avg(3)"
"TS","RN","meters/second","Deg","Deg","Deg C","%","H2O inches","Volts","mbar","kW/m","MJ/m","Deg C","Deg C","meters/second","Deg","Deg","Deg C","%","Deg C","cm","","","","","","","","","","","",""
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Avg","Avg","Tot","ETsz","RSo","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2009-01-02 13:00:00",0,0.612,231.5,45.95,0.282,95.8,20.19193,13.67,11.83,0.022,0.008,0.002,0,2.743,254.3,22.98,0.091,97.1,-250.1,24.72,1555,1499,1423,1028,881,711.5,688,426.7,152.4,1362,1305,1289
"2009-01-02 14:00:00",1,1.195,256.1,42.8,0.295,91.4,21.43051,13.67,828,0.035,0.061,0.011,1.688,4.731,253.2,22.93,0.232,92.6,-266.9,20.73,1815,1749,1660,1198,1027,831,802,497.8,177.8,1589,1522,1504
"2009-01-02 15:00:00",2,1.071,248.9,46.09,0.163,84.8,21.45031,13.67,827,0.054,0.096,0.016,1.325,4.552,254.2,22.38,0.232,86.3,-262.2,35.58,1814,1749,1660,1197,1027,831,801,497.8,177.8,1589,1522,1504
"2009-01-02 16:00:00",3,0.63,266.6,46.82,-0.156,87.9,21.45597,13.67,828,0.039,0.069,0.011,0.804,3.01,266.4,27.57,-0.075,87.8,-260,41.31,1815,1749,1660,1197,1028,831,803,497.5,177.8,1588,1522,1504
"2009-01-02 17:00:00",4,0.741,266.2,40.81,-1.096,92.6,21.47077,13.69,828,0.006,0.011,0.004,0.186,3.94,265,22.22,-1.106,93.2,-271.9,6.265,1814,1748,1660,1197,1027,831,801,496.9,177.8,1588,1521,1504
"2009-01-02 18:00:00",5,0.405,306.2,74.87,-2.024,84.3,21.47286,13.72,829,0,0,0.001,0,1.904,277.9,48.44,-2.15,94.9,-258.1,45.85,1814,1748,1659,1196,1027,831,802,497.1,177.8,1587,1521,1504
"2009-01-02 19:00:00",6,0.425,57.74,52.09,-2.679,92.1,21.47687,13.76,829,0,0,0.002,0,1.253,48.14,72.66,-3.187,96.5,-258.9,43.97,1814,1749,1659,1197,1027,832,802,497.2,177.8,1586,1520,1503
"2009-01-02 20:00:00",7,0.315,38.29,42.06,-3.659,90.1,21.47791,13.79,830,0,0,0.001,0,1.167,69.77,38.96,-4.411,96.2,-256.7,50.91,1814,1748,1660,1195,1027,831,801,496.6,177.8,1586,1519,1502
"2009-01-02 21:00:00",8,0.104,112.7,18.32,-5.449,92.1,21.47685,13.83,830,0,0,0,0,0.591,326.6,69.95,-6.304,95.8,-232.7,116.9,1813,1748,1660,1196,1026,831,799.3,496.7,177.9,1585,1518,1502
"2009-01-02 22:00:00",9,0.048,166.1,0.012,-7.468,91.5,21.49527,13.88,830,0,0,0,0,0.611,236.8,68.02,-8.29,94.8,-251.8,67.54,1813,1748,1659,1195,1026,831,800,496.2,177.9,1584,1517,1501
