baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level,ground_to_water_m
8.270887736799999,7/25/2018,02:10:00 pm,0,9.988999999999999,8.4403,0.1694122632000017,-61.48130490544
8.2695621008,7/25/2018,02:20:00 pm,0,9.975,8.4402,0.17063789920000086,-61.48007926944
8.269786439199999,7/25/2018,02:30:00 pm,0,9.965,8.4394,0.16961356079999845,-61.48110360784
8.2707245816,7/25/2018,02:40:00 pm,0,9.955,8.4386,0.16787541839999953,-61.48284175024
8.2713975968,7/25/2018,02:50:00 pm,0,9.947000000000001,8.4376,0.1662024031999998,-61.48451476544
8.270744976,7/25/2018,03:00:00 pm,0,9.939,8.4373,0.16655502400000088,-61.484162144639996
8.269980186,7/25/2018,03:10:00 pm,0,9.934,8.4364,0.16641981400000105,-61.48429735464
8.2689808604,7/25/2018,03:20:00 pm,0,9.927,8.4356,0.16661913960000166,-61.48409802904
8.2680325208,7/25/2018,03:30:00 pm,0,9.921,8.4347,0.16666747919999916,-61.48404968944
8.267175955999999,7/25/2018,03:40:00 pm,0,9.914,8.4341,0.16692404400000171,-61.48379312464
8.266309194,7/25/2018,03:50:00 pm,0,9.908999999999999,8.4331,0.16679080599999985,-61.48392636264
8.2660236724,7/25/2018,04:00:00 pm,0,9.905,8.4322,0.16617632760000056,-61.48454084104
8.266156236,7/25/2018,04:10:00 pm,0,9.902000000000001,8.4315,0.16534376399999928,-61.48537340464
8.266115447199999,7/25/2018,04:20:00 pm,0,9.899,8.4308,0.16468455280000072,-61.48603261584
8.265442431999999,7/25/2018,04:30:00 pm,0,9.896,8.4295,0.16405756800000226,-61.486659600639996
8.2651161216,7/25/2018,04:40:00 pm,0,9.894,8.4286,0.16348387839999926,-61.48723329024
8.264891783200001,7/25/2018,04:50:00 pm,0,9.891,8.4281,0.16320821680000108,-61.48750895184
8.2634233864,7/25/2018,05:00:00 pm,0,9.889,8.4275,0.1640766136000007,-61.48664055504
8.263617133199999,7/25/2018,05:10:00 pm,0,9.887,8.4269,0.16328286680000126,-61.48743430184
8.2644635008,7/25/2018,05:20:00 pm,0,9.885,8.4265,0.16203649920000096,-61.48868066944
8.2646368532,7/25/2018,05:30:00 pm,0,9.884,8.4263,0.1616631467999987,-61.489054021840005
8.2639434436,7/25/2018,05:40:00 pm,0,9.882,8.426,0.1620565563999996,-61.48866061224
8.2641473876,7/25/2018,05:50:00 pm,0,9.88,8.4254,0.16125261240000022,-61.48946455624
8.2644533036,7/25/2018,06:00:00 pm,0,9.879,8.425,0.16054669640000085,-61.490170472239996
8.264932572000001,7/25/2018,06:10:00 pm,0,9.877,8.4253,0.1603674280000007,-61.49034974064
8.265095727199999,7/25/2018,06:20:00 pm,0,9.876,8.4251,0.16000427280000196,-61.49071289584
8.2645144868,7/25/2018,06:30:00 pm,0,9.875,8.4252,0.16068551320000068,-61.49003165544
8.265289474,7/25/2018,06:40:00 pm,0,9.873,8.4251,0.15981052600000112,-61.49090664264
8.265697362000001,7/25/2018,06:50:00 pm,0,9.872,8.4254,0.15970263800000062,-61.49101453064
8.265615784400001,7/25/2018,07:00:00 pm,0,9.871,8.4256,0.15998421559999976,-61.49073295304
8.2663397856,7/25/2018,07:10:00 pm,0,9.869,8.4258,0.15946021440000102,-61.49125695424
8.266380574400001,7/25/2018,07:20:00 pm,0,9.868,8.4263,0.15991942560000005,-61.49079774304
8.266849645599999,7/25/2018,07:30:00 pm,0,9.866,8.4265,0.15965035440000186,-61.49106681424
8.267512463600001,7/25/2018,07:40:00 pm,0,9.865,8.4267,0.15918753640000105,-61.49152963224
8.268705535999999,7/25/2018,07:50:00 pm,0,9.863999999999999,8.4273,0.15859446400000188,-61.492122704639996
8.269317368,7/25/2018,08:00:00 pm,0,9.863,8.4277,0.15838263200000036,-61.49233453664
8.2698986084,7/25/2018,08:10:00 pm,0,9.862,8.4287,0.15880139159999904,-61.49191577704
8.2707245816,7/25/2018,08:20:00 pm,0,9.861,8.43,0.15927541840000006,-61.49144175024
8.271326216399999,7/25/2018,08:30:00 pm,0,9.86,8.4311,0.15977378360000216,-61.49094338504
8.272152189599996,7/25/2018,08:40:00 pm,0,9.859,8.4322,0.16004781040000182,-61.49066935824
8.2733146704,7/25/2018,08:50:00 pm,0,9.857999999999999,8.4338,0.16048532960000014,-61.49023183904
8.274140643600001,7/25/2018,09:00:00 pm,0,9.857000000000001,8.4351,0.16095935640000114,-61.48975781224
8.274915630799999,7/25/2018,09:10:00 pm,0,9.856,8.4365,0.16158436920000166,-61.48913279944
8.2754458852,7/25/2018,09:20:00 pm,0,9.854,8.4386,0.1631541147999993,-61.48756305384
8.276404421999999,7/25/2018,09:30:00 pm,0,9.854,8.4399,0.16349557800000092,-61.48722159064
8.276791915599999,7/25/2018,09:40:00 pm,0,9.853,8.4416,0.1648080844000006,-61.48590908424
8.2773935504,7/25/2018,09:50:00 pm,0,9.852,8.4433,0.16590644960000134,-61.48481071904
8.277556705599999,7/25/2018,10:00:00 pm,0,9.851,8.4447,0.16714329439999887,-61.48357387424
8.277893213199999,7/25/2018,10:10:00 pm,0,9.85,8.4463,0.1684067868000021,-61.482310381839994
8.277454733599999,7/25/2018,10:20:00 pm,0,9.849,8.4476,0.1701452664000005,-61.48057190224
