baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level,ground_to_water_m
8.2014142132,6/18/19,3:00:00 PM,0,10.066,8.7963,0.5948857868000008,-18.41432778472
8.201169480399999,6/18/19,3:10:00 PM,0,10.056000000000001,8.7952,0.5940305195999986,-18.415183051920003
8.199823449999998,6/18/19,3:20:00 PM,0,10.05,8.794,0.5941765500000021,-18.415037021519996
8.199405364799999,6/18/19,3:30:00 PM,0,10.045,8.7918,0.5923946352000016,-18.41681893632
8.198426433599996,6/18/19,3:40:00 PM,0,10.041,8.7901,0.5916735664000026,-18.417540005119996
8.1978146016,6/18/19,3:50:00 PM,0,10.039,8.7877,0.5898853983999999,-18.41932817312
8.1971925724,6/18/19,4:00:00 PM,0,10.038,8.7866,0.5894074275999994,-18.41980614392
8.196907050799997,6/18/19,4:10:00 PM,0,10.037,8.7859,0.5889929492000014,-18.42022062232
8.1963767964,6/18/19,4:20:00 PM,0,10.037,8.7844,0.5880232036000006,-18.421190367919998
8.196468571199999,6/18/19,4:30:00 PM,0,10.036,8.7842,0.5877314288000015,-18.42148214272
8.1960606832,6/18/19,4:40:00 PM,0,10.033999999999999,8.7837,0.5876393167999989,-18.42157425472
8.1956120064,6/18/19,4:50:00 PM,0,10.033,8.783,0.5873879936000002,-18.42182557792
8.1952041184,6/18/19,5:00:00 PM,0,10.032,8.7827,0.5874958816000007,-18.42171768992
8.196407387999999,6/18/19,5:10:00 PM,0,10.033,8.7821,0.585692611999999,-18.42352095952
8.1956527952,6/18/19,5:20:00 PM,0,10.033,8.7816,0.5859472048000001,-18.42326636672
8.1948472164,6/18/19,5:30:00 PM,0,10.035,8.7803,0.585452783600001,-18.42376078792
8.1944291312,6/18/19,5:40:00 PM,0,10.037,8.7795,0.5850708688000008,-18.424142702719998
8.1946942584,6/18/19,5:50:00 PM,0,10.039,8.7797,0.5850057415999999,-18.42420782992
8.1947962304,6/18/19,6:00:00 PM,0,10.04,8.779,0.5842037696000002,-18.425009801919998
8.195367273599999,6/18/19,6:10:00 PM,0,10.041,8.7789,0.5835327264000014,-18.42568084512
8.1953570764,6/18/19,6:20:00 PM,0,10.043,8.7787,0.5833429236000001,-18.42587064792
8.195306090399999,6/18/19,6:30:00 PM,0,10.044,8.7796,0.5842939096000013,-18.42491966192
8.195795556,6/18/19,6:40:00 PM,0,10.045,8.7793,0.583504443999999,-18.42570912752
8.196458373999999,6/18/19,6:50:00 PM,0,10.047,8.7793,0.5828416260000004,-18.42637194552
8.1962136412,6/18/19,7:00:00 PM,0,10.047,8.7804,0.5841863588000002,-18.42502721272
8.196662318,6/18/19,7:10:00 PM,0,10.048,8.7812,0.5845376820000006,-18.42467588952
8.197253755599997,6/18/19,7:20:00 PM,0,10.049,8.7818,0.584546244400002,-18.424667327119998
8.1983244616,6/18/19,7:30:00 PM,0,10.05,8.7833,0.5849755384000002,-18.424238033119998
8.198732349599997,6/18/19,7:40:00 PM,0,10.05,8.7834,0.5846676504000019,-18.42454592112
8.1988343216,6/18/19,7:50:00 PM,0,10.051,8.7838,0.5849656783999997,-18.42424789312
8.199415562,6/18/19,8:00:00 PM,0,10.051,8.7851,0.5856844379999995,-18.42352913352
8.1999050276,6/18/19,8:10:00 PM,0,10.052,8.7859,0.5859949724,-18.42321859912
8.20007838,6/18/19,8:20:00 PM,0,10.052999999999999,8.7868,0.5867216199999987,-18.42249195152
8.199446153599999,6/18/19,8:30:00 PM,0,10.052999999999999,8.7866,0.5871538464000015,-18.42205972512
8.199670492000001,6/18/19,8:40:00 PM,0,10.054,8.7873,0.5876295080000009,-18.42158406352
8.200496465199999,6/18/19,8:50:00 PM,0,10.055,8.7884,0.5879035348000006,-18.42131003672
8.200476070799999,6/18/19,9:00:00 PM,0,10.056000000000001,8.7886,0.5881239292000018,-18.42108964232
8.2008533672,6/18/19,9:10:00 PM,0,10.057,8.7897,0.5888466327999993,-18.42036693872
8.2017201292,6/18/19,9:20:00 PM,0,10.058,8.7907,0.5889798707999994,-18.42023370072
8.202709257599999,6/18/19,9:30:00 PM,0,10.06,8.7926,0.5898907424000015,-18.41932282912
8.2031783288,6/18/19,9:40:00 PM,0,10.06,8.7934,0.5902216712000001,-18.41899190032
8.2034332588,6/18/19,9:50:00 PM,0,10.061,8.7936,0.5901667411999991,-18.41904683032
8.204106273999999,6/18/19,10:00:00 PM,0,10.062000000000001,8.7949,0.5907937260000011,-18.41841984552
8.2052891492,6/18/19,10:10:00 PM,0,10.062999999999999,8.7959,0.590610850800001,-18.41860272072
8.2052891492,6/18/19,10:20:00 PM,0,10.064,8.7962,0.590910850800002,-18.41830272072
8.2064312356,6/18/19,10:30:00 PM,0,10.065,8.7973,0.5908687643999997,-18.41834480712
8.205911178400001,6/18/19,10:40:00 PM,0,10.067,8.7969,0.5909888216000017,-18.41822474992
8.205962164399999,6/18/19,10:50:00 PM,0,10.068,8.7976,0.5916378356000003,-18.41757573592
8.2069207012,6/18/19,11:00:00 PM,0,10.068999999999999,8.7981,0.5911792988000002,-18.41803427272
8.2073285892,6/18/19,11:10:00 PM,0,10.07,8.7988,0.5914714108000005,-18.41774216072
8.2069512928,6/18/19,11:20:00 PM,0,10.071,8.7987,0.5917487072000007,-18.41746486432
8.2071960256,6/18/19,11:30:00 PM,0,10.073,8.7992,0.5920039744000007,-18.41720959712
8.207420363999999,6/18/19,11:40:00 PM,0,10.073,8.7993,0.5918796360000016,-18.41733393552
8.207940421199998,6/18/19,11:50:00 PM,0,10.074,8.8001,0.5921595788000023,-18.41705399272
8.207930224,6/19/19,12:00:00 AM,0,10.076,8.8002,0.5922697760000002,-18.416943795519998
8.207767068799999,6/19/19,12:10:00 AM,0,10.078,8.7998,0.5920329312000003,-18.417180640319998
8.207736477200001,6/19/19,12:20:00 AM,0,10.08,8.8,0.5922635228000015,-18.416950048719997
8.2075325332,6/19/19,12:30:00 AM,0,10.082,8.7999,0.5923674667999991,-18.41684610472
8.2065128132,6/19/19,12:40:00 AM,0,10.085,8.799,0.5924871867999997,-18.41672638472
8.2062680804,6/19/19,12:50:00 AM,0,10.086,8.7985,0.5922319196000014,-18.416981651919997
8.2057786148,6/19/19,1:00:00 AM,0,10.088,8.7981,0.5923213852,-18.41689218632
8.2053605296,6/19/19,1:10:00 AM,0,10.089,8.7979,0.5925394704000002,-18.41667410112
8.204493767599999,6/19/19,1:20:00 AM,0,10.091000000000001,8.7971,0.5926062324000014,-18.41660733912
8.204361204,6/19/19,1:30:00 AM,0,10.092,8.7967,0.5923387960000001,-18.41687477552
8.2039737104,6/19/19,1:40:00 AM,0,10.094,8.7968,0.5928262895999996,-18.416387281920002
8.2037799636,6/19/19,1:50:00 AM,0,10.096,8.7965,0.5927200363999994,-18.41649353512
8.202974384800001,6/19/19,2:00:00 AM,0,10.097999999999999,8.7956,0.5926256152000011,-18.41658795632
8.2029539904,6/19/19,2:10:00 AM,0,10.099,8.7956,0.592646009600001,-18.416567561919997
8.202270777999999,6/19/19,2:20:00 AM,0,10.101,8.7951,0.5928292220000007,-18.41638434952
8.2025359052,6/19/19,2:30:00 AM,0,10.103,8.795,0.5924640948000004,-18.41674947672
8.202311566799999,6/19/19,2:40:00 AM,0,10.105,8.795,0.5926884332000011,-18.416525138319997
8.201760918,6/19/19,2:50:00 AM,0,10.106,8.7947,0.5929390820000009,-18.41627448952
8.2016487488,6/19/19,3:00:00 AM,0,10.109,8.7948,0.5931512512000001,-18.416062320320002
8.2013734244,6/19/19,3:10:00 AM,0,10.111,8.795,0.5936265756000001,-18.415586995920002
8.201179677599999,6/19/19,3:20:00 AM,0,10.113,8.7943,0.5931203224000008,-18.41609324912
8.200649423199996,6/19/19,3:30:00 AM,0,10.115,8.794,0.5933505768000025,-18.415862994719998
8.200731000800001,6/19/19,3:40:00 AM,0,10.118,8.7937,0.5929689992,-18.41624457232
8.2010777056,6/19/19,3:50:00 AM,0,10.12,8.7942,0.5931222944000005,-18.41609127712
8.201189874799999,6/19/19,4:00:00 AM,0,10.122,8.7944,0.5932101252000006,-18.416003446319998
8.200996128,6/19/19,4:10:00 AM,0,10.124,8.794,0.5930038720000006,-18.41620969952
8.200649423199996,6/19/19,4:20:00 AM,0,10.127,8.7935,0.5928505768000019,-18.416362994719996
8.200537253999999,6/19/19,4:30:00 AM,0,10.129,8.794,0.5934627460000019,-18.41575082552
8.200771789600001,6/19/19,4:40:00 AM,0,10.131,8.7936,0.5928282104000004,-18.41638536112
8.2004658736,6/19/19,4:50:00 AM,0,10.134,8.7937,0.5932341263999987,-18.41597944512
8.2008533672,6/19/19,5:00:00 AM,0,10.136000000000001,8.794,0.5931466327999999,-18.41606693872
8.2007513952,6/19/19,5:10:00 AM,0,10.14,8.7939,0.5931486048000014,-18.41606496672
8.201393818799998,6/19/19,5:20:00 AM,0,10.142000000000001,8.7947,0.5933061812000027,-18.415907390319997
8.202484919199998,6/19/19,5:30:00 AM,0,10.144,8.7954,0.5929150808000028,-18.416298490719996
8.2022401864,6/19/19,5:40:00 AM,0,10.147,8.7952,0.5929598136000003,-18.41625375792
8.2021484116,6/19/19,5:50:00 AM,0,10.149,8.7955,0.5933515884000009,-18.41586198312
8.2025461024,6/19/19,6:00:00 AM,0,10.151,8.7959,0.5933538976000001,-18.41585967392
8.2020872284,6/19/19,6:10:00 AM,0,10.154,8.7961,0.5940127715999992,-18.41520079992
8.20160796,6/19/19,6:20:00 AM,0,10.157,8.7956,0.5939920399999998,-18.41522153152
8.201658945999997,6/19/19,6:30:00 AM,0,10.16,8.7958,0.5941410540000014,-18.41507251752
8.2011286916,6/19/19,6:40:00 AM,0,10.163,8.7952,0.5940713084000002,-18.41514226312
8.200741198,6/19/19,6:50:00 AM,0,10.167,8.7945,0.593758802,-18.41545476952
8.200945142,6/19/19,7:00:00 AM,0,10.17,8.7946,0.5936548580000007,-18.41555871352
8.200261929599996,6/19/19,7:10:00 AM,0,10.172,8.7947,0.5944380704000025,-18.414775501119998
8.200384296000001,6/19/19,7:20:00 AM,0,10.176,8.7945,0.594115704,-18.41509786752
8.2001905492,6/19/19,7:30:00 AM,0,10.177999999999999,8.7943,0.5941094507999995,-18.415104120720002
8.198752744,6/19/19,7:40:00 AM,0,10.181000000000001,8.7936,0.5948472559999995,-18.41436631552
8.199017871199999,6/19/19,7:50:00 AM,0,10.185,8.7928,0.5937821288000009,-18.41543144272
8.198497814,6/19/19,8:00:00 AM,0,10.19,8.7926,0.5941021860000006,-18.41511138552
8.1983346588,6/19/19,8:10:00 AM,0,10.193,8.792,0.5936653411999995,-18.41554823032
8.1976718408,6/19/19,8:20:00 AM,0,10.195,8.7918,0.5941281592000003,-18.41508541232
8.197223163999999,6/19/19,8:30:00 AM,0,10.199,8.7911,0.5938768360000015,-18.41533673552
8.1965297544,6/19/19,8:40:00 AM,0,10.203,8.791,0.5944702456000002,-18.41474332592
