soil well_id,soil well_id,,categories,wells,hygrochron?,gw logger?,full soil profile?,profile depth (cm),,hygro well_id,hygro well_id,
KHT-XE6S,,,,,,,,,,EER-1,,
KWF-1,,,,,,,,,,EHT-XA5S,,
KWF-1,,,,,,,,,,KER-1,,
KWF-1,,,,,,,,,,EER-1,,
KWF-1,,,,,,,,,,EHT-XA5S,,
KWF-1,,,,,,,,,,KER-1,,
KWF-1,,,,,,,,,,EHR-1,,
KWF-2,,,,,,,,,,KWT-1,,
KWF-2,,,,,,,,,,KWT-2,,
KWF-2,,,,,,,,,,EHR-1,,
KWF-2,,,,,,,,,,KWT-1,,
KWF-2,,,,,,,,,,KWT-2,,
KWF-2,,,,,,,,,,EWR-1,,
KWF-2,,,,,,,,,,EWR-1,,
KWF-2,,,,,,,,,,KHT-XE5S,,
KWF-2,,,,,,,,,,KHT-XE5S,,
KWF-2,,,,,,,,,,EHT-XC5S,,
KWF-XE8S,,,,,,,,,,EWT-1,,
KWF-XE8S,,,,,,,,,,EHT-XC5S,,
KWF-XE8S,,,,,,,,,,EWT-1,,
KWF-XE8S,,,,,,,,,,EET-2,,
KWF-XE8S,,,,,,,,,,KEF-1,,
KWF-XE8S,,,,,,,,,,EET-2,,
KWF-XE8S,,,,,,,,,,KEF-1,,
KWF-XE8S,,,,,,,,,,EET-1,,
KWF-XE8S,,,,,,,,,,EWT-2,,
KWR-1,,,,,,,,,,KHR-1,,
KWR-1,,,,,,,,,,EET-1,,
KWR-1,,,,,,,,,,EWT-2,,
KWR-XE1N,,,,,,,,,,KHR-1,,
KWR-XE1N,,,,,,,,,,KET-1,,
KWR-XE1N,,,,,,,,,,KET-1,,
KWR-XE1N,,,,,,,,,,KHF-1,,
KWR-XE1N,,,,,,,,,,KWR-1,,
LET-1,,,,,,,,,,KHF-1,,
LET-1,,,,,,,,,,KWR-1,,
LET-1,,,,,,,,,,EER-1,,
LET-1,,,,,,,,,,EHT-XA5S,,
LHT-1,,,,,,,,,,KER-1,,
LHT-1,,,,,,,,,,EER-1,,
LHT-1,,,,,,,,,,EHT-XA5S,,
LHT-1,,,,,,,,,,KER-1,,
LHT-1,,,,,,,,,,EHR-1,,
LHT-1,,,,,,,,,,KWT-1,,
LHT-1,,,,,,,,,,KWT-2,,
LHT-1,,,,,,,,,,EHR-1,,
LWT-1,,,,,,,,,,KWT-1,,
LWT-1,,,,,,,,,,KWT-2,,
LWT-1,,,,,,,,,,EWR-1,,
LWT-1,,,,,,,,,,EWR-1,,
LWT-1,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EHR-1,,
,,,,,,,,,,KWT-1,,
,,,,,,,,,,KWT-2,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,EWR-1,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,KHT-XE5S,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EHT-XC5S,,
,,,,,,,,,,EWT-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-2,,
,,,,,,,,,,KEF-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,EET-1,,
,,,,,,,,,,EWT-2,,
,,,,,,,,,,KHR-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KET-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,KHF-1,,
,,,,,,,,,,KWR-1,,
,,,,,,,,,,EER-1,,
,,,,,,,,,,EHT-XA5S,,
,,,,,,,,,,KER-1,,
,,,,,,,,,,EER-1,,
