#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,well_field_id,rename_reason,rename_date,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
1,EER-1,5/30/18,black spiral,0,10,,,,,"clay, HO",moist,C/F-M,dark brown,,crumbly,EER-1,,,,East,Sedge,Riparian,clay,HO,C,,0
,EER-1,5/30/18,black spiral,20,41,,,,,"clay, HO",moist,"C/VF, F/F-M",dark brown,,"slick, smooth",EER-1,,,,East,Sedge,Riparian,clay,HO,C,,0
,EER-1,5/30/18,black spiral,41,51,,,,,"clay, GS, MK",saturated,"M/M, C/VF-F",dark brown,,,EER-1,,,,East,Sedge,Riparian,clay,"GS, MK",C,,0
,EER-1,5/30/18,black spiral,51,61,,,,,"sandy clay, GR",saturated,C/VF-M,dark brown,,rounded GR,EER-1,,,,East,Sedge,Riparian,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,EER-1,5/30/18,black spiral,61,73,,,,,"sandy clay, F-MGR",saturated,C/M,dark brown,,rounded F-M GR,EER-1,,,,East,Sedge,Riparian,sandy clay,F-MGR,SC,,0
,EER-1,6/5/24,yellow p137,73,74,,,,,"clay, GR",,,,,"transition from clay to rounded gravels; replaced well, seemed to be frost-heaved, unable to deepen",EER-1,,,,East,Sedge,Riparian,clay,GR,C,"(5, 20)","(0.15, 0.35)"
2,EHR-1,5/30/18,black spiral,0,5.08,0,2,,,"clay, HO",moist,M/F-M,dark brown,,crumbly,EHR-1,,,,East,Mixed Herbaceous,Riparian,clay,HO,C,,0
,EHR-1,5/30/18,black spiral,5.08,30.48,2,12,,,clay,moist,M/F-M,dark brown,,slick,EHR-1,,,,East,Mixed Herbaceous,Riparian,clay,,C,,0
,EHR-1,5/30/18,black spiral,30.48,48.26,12,19,,,sandy clay,moist,M/F-M,dark brown,,,EHR-1,,,,East,Mixed Herbaceous,Riparian,sandy clay,,SC,,0
,EHR-1,5/30/18,black spiral,48.26,74.93,19,29.5,,,sandy clay to silty clay,saturated,M/F-M,light brown,,,EHR-1,,,,East,Mixed Herbaceous,Riparian,sandy clay to silty clay,,SC,,0
,EHR-1,5/30/18,black spiral,74.93,86.36,29.5,34,,fibrous,clay loam,moist,M/M-F,dark brown,,did not appear as saturated,EHR-1,,,,East,Mixed Herbaceous,Riparian,clay loam,,CL,,0
,EHR-1,5/30/18,black spiral,86.36,96.52,34,38,,,"clay loam, GR",saturated,F/M-F,med brown,,rounded GR,EHR-1,,,,East,Mixed Herbaceous,Riparian,clay loam,GR,CL,"(5, 20)","(0.15, 0.35)"
,EHR-1,5/30/18,black spiral,96.52,104.14,38,41,,,"clay, GR",saturated,F/M-F,med brown,,rounded GR,EHR-1,,,,East,Mixed Herbaceous,Riparian,clay,GR,C,"(5, 20)","(0.15, 0.35)"
3,EWR-1,5/31/18,black spiral,0,22.86,0,9,,"grassy, fibrous","clay, GS, HO",saturated,"M/M-F, F/C",dark brown,,,EWR-1,,,,East,Willow,Riparian,clay,"GS, HO",C,,0
,EWR-1,5/31/18,black spiral,22.86,27.94,9,11,,,"sandy clay, GR",saturated,M/F,brown,,rounded  pebbles,EWR-1,,,,East,Willow,Riparian,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
