well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_binary,logger?,soil moisture,notes
EHR-1,05/20/2021 7:38 AM,100.2792,100.2792,100.2792,1,FALSE,,
EER-1,05/20/2021 7:40 AM,107.188,106.9848,107.2896,1,FALSE,,
EWR-1,05/20/2021 7:42 AM,107.5944,107.5944,107.5944,1,FALSE,,
EFF-XA1N,05/20/2021 7:52 AM,136.652,136.5504,136.5504,1,FALSE,,
EFF-XA2N,05/20/2021 7:50 AM,54.6608,54.5592,54.5592,1,FALSE,,
EHT-XC5S,05/20/2021 8:27 AM,91.44,91.44,91.44,1,TRUE,"moist, not saturated",
EWF-XA2S,05/20/2021 7:55 AM,129.54,129.54,129.54,1,FALSE,,
EHF-XA3S,05/20/2021 7:57 AM,81.1784,81.0768,81.0768,1,FALSE,moist to saturated,
EET-2,05/20/2021 8:02 AM,106.3752,106.3752,106.3752,1,FALSE,moist to saturated,
EFT-XB6S,05/20/2021 8:15 AM,42.0624,42.0624,42.0624,1,FALSE,"moist, not saturated",bear poop nearby; pines within 2.5 meters of well
EWT-1,05/20/2021 8:05 AM,135.2296,135.0264,135.3312,1,FALSE,"moist, not saturated",no flow in small channel to west of well
EHT-XB5S,05/20/2021 8:12 AM,61.5696,61.5696,61.5696,1,FALSE,"moist, not saturated",
EFF-XB7S,05/20/2021 8:15 AM,39.0144,39.0144,39.0144,1,FALSE,"saturated and soggy, 1-2 mm of standing water",
EEF-1,05/20/2021 8:20 AM,72.5424,72.5424,72.5424,1,FALSE,moist to saturated,
EET-1,05/20/2021 8:22 AM,104.8512,104.8512,104.8512,1,FALSE,moist to saturated,
EHT-XC6S,05/20/2021 8:23 AM,,,,0,FALSE,,no water
EET-XB4S,05/20/2021 8:35 AM,120.0912,120.0912,120.0912,1,FALSE,moist to saturated,
EFR-XB3S,05/20/2021 8:37 AM,125.5776,125.5776,125.5776,1,TRUE,moist to saturated,
EFR-XB2S,05/20/2021 8:39 AM,135.9408,135.9408,135.9408,1,FALSE,moist to saturated,
EHR-XB1N,05/20/2021 8:43 AM,130.7592,130.7592,130.7592,1,TRUE,moist,
EFR-XB2N,05/20/2021 8:45 AM,52.4256,52.4256,52.4256,1,TRUE,moist to saturated,
EFR-XB3N,05/20/2021 8:46 AM,73.4568,73.4568,73.4568,1,TRUE,moist to saturated,
EWR-XB4N,05/20/2021 8:48 AM,69.4944,69.4944,69.4944,1,TRUE,"moist, not saturated",
LHT-1,05/20/2021 6:53 AM,84.4296,84.4296,84.4296,1,FALSE,,frost on ground and grass
LET-1,05/20/2021 6:54 AM,67.6656,67.6656,67.6656,1,FALSE,,
LWT-1,05/20/2021 6:57 AM,85.6488,85.6488,85.6488,1,FALSE,,
EFR-XB1S,05/20/2021 8:41 AM,136.2456,136.2456,136.2456,1,FALSE,moist,
KHT-XD6N,06/06/2021 6:28 AM,131.9784,131.9784,131.9784,1,FALSE,,
KER-1,06/06/2021 6:32 AM,100.076,99.9744,99.9744,1,FALSE,,
KWR-XE1N,06/06/2021 6:39 AM,135.8392,135.636,135.9408,1,FALSE,,
KFR-XE1S,06/06/2021 6:41 AM,124.968,124.968,124.968,1,FALSE,,
KFR-XE2S,06/06/2021 6:42 AM,63.8048,64.008,63.7032,1,FALSE,,
KER-XE3S,06/06/2021 6:45 AM,-5.58800001,-5.08000001,-5.08000001,1,FALSE,,
KHT-XE4S,06/06/2021 6:44 AM,105.9688,106.0704,106.0704,1,FALSE,,
KHT-XE5S,06/06/2021 6:47 AM,112.0648,112.1664,112.1664,1,TRUE,,
KHT-XE6S,06/06/2021 6:52 AM,81.3816,81.3816,81.3816,1,FALSE,,
KET-1,06/06/2021 6:50 AM,53.6448,53.6448,53.6448,1,FALSE,,
KFF-XE8S,06/06/2021 6:55 AM,44.196,44.196,44.196,1,FALSE,,"well sheared at ground, needs replacement; reading from ground not top of well"
KWT-1,06/06/2021 6:58 AM,106.3752,106.3752,106.3752,1,FALSE,,
KFF-XD6S,06/06/2021 7:04 AM,83.82,83.82,83.82,1,TRUE,,
KHT-XD3S,06/06/2021 7:07 AM,131.6736,131.6736,131.6736,1,TRUE,,
KHF-XD4S,06/06/2021 7:06 AM,137.16,137.16,137.16,1,TRUE,,
KHR-XD1S,06/06/2021 7:08 AM,125.1712,125.2728,125.2728,1,,,
KEF-1,06/06/2021 7:15 AM,53.1368,53.0352,53.0352,1,TRUE,,
KHF-1,06/06/2021 7:17 AM,115.5192,115.2144,115.5192,1,TRUE,,
KWF-1,06/06/2021 7:19 AM,80.4672,80.4672,80.4672,1,FALSE,,
KWR-1,06/06/2021 7:21 AM,,,,0,FALSE,,cap stuck shut
KER-XD5N,06/06/2021 7:42 AM,56.0832,56.388,56.388,1,TRUE,,
KHR-1,06/06/2021 7:41 AM,87.6808,87.7824,87.7824,1,FALSE,,
KHR-XD1N,06/06/2021 7:38 AM,129.032,128.016,128.016,1,FALSE,,
