"","well_id","day","water_binary","offset"
"1","KFR-XE1S",2019-08-05,1,2.65
"2","EET-1",2019-08-05,1,2.65
"3","EWT-1",2019-08-05,1,2.65
"4","EEF-1",2019-08-05,1,2.65
"5","EFF-XB7S",2019-08-05,1,2.65
"6","EHR-1",2019-08-05,1,2.65
"7","EFF-XA1N",2019-08-05,0,2.65
"8","EFF-XA2N",2019-08-05,1,2.65
"9","KET-1",2019-08-06,1,2.65
"10","KFR-XE1S",2019-08-06,1,2.65
"11","KFR-XE1S",2019-08-04,1,2.65
"12","KER-1",2019-08-04,1,2.65
"13","LWT-1",2019-08-05,1,2.65
"14","KWR-1",2019-08-04,1,2.65
"15","LET-1",2019-08-05,1,2.65
"16","KFR-XE2S",2019-08-04,1,2.65
"17","KET-1",2019-08-04,1,2.65
"18","LHT-1",2019-08-05,1,2.65
"19","KWF-1",2019-08-04,1,2.65
"20","KWR-XE1N",2019-08-04,1,2.65
"21","KHT-XE4S",2019-08-04,1,2.65
"22","KET-1",2019-08-05,1,2.65
"23","KHT-XE6S",2019-08-04,1,2.65
"24","EWF-XA2S",2019-08-05,0,2.65
"25","EHF-XA3S",2019-08-05,1,2.65
"26","EWR-1",2019-08-05,1,2.65
"27","EER-1",2019-08-05,1,2.65
"28","KHT-XE4S",2019-06-03,1,0
"29","KER-XE3S",2018-09-16,1,0
"30","EER-1",2019-06-02,1,0
"31","KWR-1",2019-06-17,1,0
"32","KER-XE3S",2018-08-25,1,0
"33","KER-XE3S",2019-07-05,1,0
"34","KER-XE3S",2018-07-27,1,0
"35","EHT-XA5S",2019-06-02,1,0
"36","KER-XE3S",2018-11-18,1,0
"37","KER-XE3S",2018-10-01,1,0
"38","KER-1",2019-06-03,1,0
"39","KFF-XD6S",2019-06-03,1,0
"40","EWR-1",2019-06-02,1,0
"41","EET-1",2019-06-02,1,0
"42","KER-XE3S",2019-06-17,1,0
"43","KER-XE3S",2019-07-26,1,0
"44","KHT-XD6N",2019-06-03,1,0
"45","KER-XE3S",2018-07-17,1,0
"46","KHF-1",2019-06-03,1,0
"47","KER-XE3S",2019-06-03,1,0
"48","EWT-1",2019-06-02,1,0
"49","KWR-1",2019-06-03,1,0
"50","KER-XE3S",2019-08-20,1,0
"51","KHR-XE2N",2018-11-18,1,0
"52","KHR-XD1N",2019-06-17,1,0
"53","KER-XE3S",2019-08-04,1,0
"54","EWR-1",2019-06-18,1,0
"55","KHT-XE6S",2019-06-03,1,0
"56","EEF-1",2019-06-18,1,0
"57","KWT-1",2019-06-03,1,0
"58","KER-XE3S",2018-08-10,1,0
"59","KHF-XD4S",2019-06-03,1,0
"60","KHT-XE5S",2019-06-03,1,0
"61","KER-XE3S",2019-09-02,1,0
"62","KER-XE3S",2018-10-14,1,0
"63","EHT-XB5S",2019-06-02,1,0
"64","KER-XD5N",2019-06-03,1,0
"65","KER-XE3S",2019-10-20,1,0
"66","KER-XE3S",2019-10-05,1,0
"67","KWR-XE1N",2019-06-17,1,0
"68","KWF-1",2019-06-03,1,0
"69","EHR-1",2019-06-02,1,0
"70","EHF-XA3S",2019-06-02,1,0
"71","KEF-1",2019-06-03,1,0
"72","KHR-XD1N",2019-06-03,1,0
"73","EHT-XA5S",2019-09-03,0,0
"74","EHT-XA5S",2019-09-03,0,0
"75","EFR-XB2S",2019-08-20,0,0
"76","EFR-XB2S",2019-08-20,0,0
"77","EWF-XA2S",2019-06-02,0,0
"78","EWF-XA2S",2019-06-02,0,0
"79","KHF-1",2018-07-27,0,0
"80","KHF-1",2018-07-27,0,0
"81","KER-1",2018-11-18,0,0
"82","KER-1",2018-11-18,0,0
"83","KHT-XD3S",2018-10-01,0,0
"84","KHT-XD3S",2018-10-01,0,0
"85","EFR-XB2S",2019-07-26,0,0
"86","EFR-XB2S",2019-07-26,0,0
"87","EHT-XA5S",2018-08-10,0,0
"88","EHT-XA5S",2018-08-10,0,0
"89","KFF-XD6S",2019-08-04,0,0
"90","KFF-XD6S",2019-08-04,0,0
"91","KHF-XD4S",2018-10-01,0,0
"92","KHF-XD4S",2018-10-01,0,0
"93","EET-1",2019-09-21,0,0
"94","EET-1",2019-09-21,0,0
"95","EET-1",2018-09-29,0,0
"96","EET-1",2018-09-29,0,0
"97","EWF-XA2S",2018-08-10,0,0
"98","EWF-XA2S",2018-08-10,0,0
"99","EET-1",2018-08-24,0,0
"100","EET-1",2018-08-24,0,0
"101","EHT-XA5S",2018-09-29,0,0
"102","EHT-XA5S",2018-09-29,0,0
"103","EEF-1",2019-06-02,0,0
"104","EEF-1",2019-06-02,0,0
"105","KHF-XD4S",2019-08-04,0,0
"106","KHF-XD4S",2019-08-04,0,0
"107","EHT-XC6S",2018-06-01,0,0
"108","EHT-XC6S",2018-06-01,0,0
"109","KER-1",2018-08-25,0,0
"110","KER-1",2018-08-25,0,0
"111","EHT-XA5S",2018-07-25,0,0
"112","EHT-XA5S",2018-07-25,0,0
"113","KER-1",2018-10-14,0,0
"114","KER-1",2018-10-14,0,0
"115","EWF-XA2S",2019-09-21,0,0
"116","EWF-XA2S",2019-09-21,0,0
"117","EWT-1",2019-08-20,0,0
"118","EWT-1",2019-08-20,0,0
"119","EET-1",2018-09-16,0,0
"120","EET-1",2018-09-16,0,0
"121","EWT-1",2018-09-16,0,0
"122","EWT-1",2018-09-16,0,0
"123","EHT-XB5S",2018-09-29,0,0
"124","EHT-XB5S",2018-09-29,0,0
"125","KHT-XE6S",2019-09-21,0,0
"126","KHT-XE6S",2019-09-21,0,0
"127","KHT-XD6N",2018-08-25,0,0
"128","KHT-XD6N",2018-08-25,0,0
"129","KHT-XD6N",2018-08-10,0,0
"130","KHT-XD6N",2018-08-10,0,0
"131","KHF-XD4S",2018-08-10,0,0
"132","KHF-XD4S",2018-08-10,0,0
"133","KHT-XD3S",2018-11-18,0,0
"134","KHT-XD3S",2018-11-18,0,0
"135","KHT-XD6N",2018-11-18,0,0
"136","KHT-XD6N",2018-11-18,0,0
"137","KFF-XE8S",2018-08-10,0,0
"138","KFF-XE8S",2018-08-10,0,0
"139","EWF-XA2S",2018-09-29,0,0
"140","EWF-XA2S",2018-09-29,0,0
"141","KEF-1",2018-11-18,0,0
"142","KEF-1",2018-11-18,0,0
"143","EHT-XA5S",2018-08-24,0,0
"144","EHT-XA5S",2018-08-24,0,0
"145","KHT-XE6S",2019-09-02,0,0
"146","KHT-XE6S",2019-09-02,0,0
"147","KHT-XD6N",2019-09-21,0,0
"148","KHT-XD6N",2019-09-21,0,0
"149","EET-1",2019-08-20,0,0
"150","EET-1",2019-08-20,0,0
"151","KFF-XE8S",2018-07-27,0,0
"152","KFF-XE8S",2018-07-27,0,0
"153","KHT-XE6S",2018-08-10,0,0
"154","KHT-XE6S",2018-08-10,0,0
"155","EFR-XB3S",2018-07-16,0,0
