well,datetime,water_level_1_ft,water_level_2_ft,water_level_3_ft,logger?,soil moisture,notes
E3S,06/06/2021 6:45am,-0.166666667,-0.166666667,-0.216666667,,,
E4S,06/06/2021 6:44am,3.48,3.48,3.47,,,
E5S,06/06/2021 6:47am,3.68,3.68,3.67,TRUE,,
E6S,06/06/2021 6:52am,2.67,2.67,2.67,,,
KET-1,06/06/2021 6:50am,1.76,1.76,1.76,,,
E8S,06/06/2021 6:55am,1.45,1.45,1.45,,,"well sheared at ground, needs replacement; reading from ground not top of well"
KWT-1,06/06/2021 6:58am,3.49,3.49,3.49,,,
D6S,06/06/2021 7:04am,2.75,2.75,2.75,TRUE,,
D3S,06/06/2021 7:07am,4.32,4.32,4.32,TRUE,,
D4S,06/06/2021 7:06am,4.5,4.5,4.5,TRUE,,
D1S,06/06/2021 7:08am,4.11,4.11,4.1,,,
KEF-1,06/06/2021 7:15am,1.74,1.74,1.75,TRUE,,
KHF-1,06/06/2021 7:17am,3.78,3.79,3.8,TRUE,,
KWF-1,06/06/2021 7:19am,2.64,2.64,2.64,,,
KWR-1,06/06/2021 7:21am,,,,,,cap stuck shut
D5N,06/06/2021 7:42am,1.85,1.85,1.82,TRUE,,
KHR-1,06/06/2021 7:41am,2.88,2.88,2.87,,,
D1N,06/06/2021 7:38am,4.2,4.2,4.3,,,
E7S,06/06/2021 6:53am,2.65,2.65,2.65,,,needs a black cap
EHR-1,06/06/2021 7:59am,3.6,3.6,3.6,,,
EER-1,06/06/2021 8:01am,3.81,3.81,3.82,,,
EWR-1,06/06/2021 8:02am,3.71,3.71,3.71,,,
A1N,06/06/2021 8:10am,4.85,4.85,4.85,,,
A2N,06/06/2021 8:09am,2.1,2.1,2.1,,,
A2S,06/06/2021 8:13am,3.45,3.45,3.46,,,
A3S,06/06/2021 8:12am,4.76,4.78,4.78,,,
A5S,06/06/2021 8:15am,3.85,3.85,3.86,TRUE,,
EET-2,06/06/2021 8:16am,4.24,4.24,4.25,,,
B6S,06/06/2021 8:27am,1.95,1.95,1.96,,,
EWT-1,06/06/2021 8:18am,4.89,4.89,4.9,TRUE,,
B5S,06/06/2021 8:24am,2.74,2.74,2.75,TRUE,,
B7S,06/06/2021 8:30am,2.05,2.05,2.05,,saturated,
EEF-1,06/06/2021 8:31am,3.1,3.2,3.3,,saturated,
EET-1,06/06/2021 8:34am,3.59,3.6,3.6,,,
B4S,06/06/2021 8:38am,4.25,4.25,4.24,,,
B3S,06/06/2021 8:39am,4.5,4.5,4.5,TRUE,,
B2S,06/06/2021 8:41am,4.66,4.66,4.66,,,
B1N,06/06/2021 8:43am,4.63,4.64,4.64,TRUE,,
B2N,06/06/2021 8:44am,1.91,1.91,1.9,TRUE,,
B3N,06/06/2021 8:45am,2.68,2.68,2.69,TRUE,,
B4N,06/06/2021 8:46am,2.55,2.56,2.57,,,
LHT-1,06/06/2021 9:19am,3.22,3.22,3.22,,,mud
LET-1,06/06/2021 9:20am,2.62,2.62,2.63,,,
LWT-1,06/06/2021 9:23am,3.13,3.13,3.14,,,
B1S,06/06/2021 8:42am,4.5,4.57,4.57,,,
D6N,06/20/2021 7:14am,3.78,3.78,3.79,,,
D5N,06/20/2021 7:12am,2.52,2.52,2.52,TRUE,,
KHR-1,06/20/2021 7:11am,4.68,4.68,4.69,,,
D1N,06/20/2021 7:11am,4.14,4.14,4.15,,,
KER-1,06/20/2021 7:07am,4.83,4.83,4.84,,,near bottom
E1N,06/20/2021 7:00am,4.56,4.57,4.57,,,
E1S,06/20/2021 6:58am,4.16,4.17,4.18,,,
E2S,06/20/2021 6:57am,2.08,2.09,2.1,,,
E3S,06/20/2021 6:57am,-6,-6.5,-7.4,,,in cm
E4S,06/20/2021 6:53am,4.3,4.3,4.3,,,
E5S,06/20/2021 6:52am,4.74,4.74,4.75,,,
KET-1,06/20/2021 6:48am,1.74,1.74,1.74,,,
E6S,06/20/2021 6:50am,3.99,3.99,4,,,
E8S,06/20/2021 6:45am,4,4,4,,,
KWT-1,06/20/2021 6:41am,2.75,2.75,2.75,,,ground to top = 6.8 cm
D6S,06/20/2021 6:35am,4.41,4.41,4.42,,,
D3S,06/20/2021 6:31am,,,,,,no water
D4S,06/20/2021 6:32am,5.05,5.05,5.05,,,
D1S,06/20/2021 6:30am,4.13,4.13,4.13,,,
KEF-1,06/20/2021 6:23am,1.78,1.78,1.79,,,
KHF-1,06/20/2021 6:21am,4.44,4.44,4.44,,,
KWF-1,06/20/2021 6:18am,2.8,2.8,2.8,,,
KWR-1,6/20/2021 12:56pm,3.4,3.4,3.4,,,"ground to top = 75.7, 71.2, 70.4 cm"
E7S,6/20/2021 6:47am,2.75,2.75,2.75,,,
EHR-1,6/20/2021 7:43am,3.77,3.77,3.78,,,
EER-1,6/20/2021 7:45am,3.9,3.9,3.91,,,
EWR-1,6/20/2021 7:46am,3.78,3.78,3.77,,,
A1N,6/20/2021 7:54am,4.86,4.87,4.87,,,
A2N,6/20/2021 7:53am,3.32,3.33,3.33,,,
C5S,6/20/2021 8:23am,4,4,4,,,past instrumentation at forest edge
A2S,6/20/2021 7:57am,5.03,5.03,5.04,,,near bottom
A3S,6/20/2021 7:58am,5,5,5,,,mud at bottom
A5S,6/20/2021 8:01am,4.69,4.7,4.7,TRUE,,
EET-2,6/20/2021 8:02am,4.88,4.88,4.88,,,near bottom
B6S,6/20/2021 8:12am,3.18,3.18,3.18,,,
EWT-1,6/20/2021 8:05am,4.95,4.95,4.95,TRUE,,mud at bottom
B5S,6/20/2021 8:10am,3.79,3.79,3.78,,,
B7S,6/20/2021 8:14am,2.46,2.46,2.47,,"saturated, no standing water",
EEF-1,6/20/2021 8:17am,4.21,4.21,4.22,,moist not saturated,
EET-1,6/20/2021 8:20am,4.7,4.7,4.71,,moist to dry,
B3S,6/20/2021 8:29am,4.96,4.96,4.95,TRUE,,
B2S,6/20/2021 8:30am,,,,,,no water
B1N,6/20/2021 8:33am,4.78,4.78,4.78,TRUE,,
B2N,6/20/2021 8:34am,2,2.1,2.1,TRUE,,
B3N,6/20/2021 8:36am,2.79,2.79,2.8,TRUE,,
B4N,6/20/2021 8:37am,2.68,2.68,2.69,TRUE,,
B1S,6/20/2021 8:31am,4.2,4.2,4.2,,,
LHT-1,6/20/2021 9:05am,3.76,3.76,3.77,,,
LWT-1,6/20/2021 9:07am,3.55,3.55,3.55,,,
LET-1,6/20/2021 9:06am,3.15,3.15,3.17,,,
B4S,6/20/2021 8:27am,4.63,4.64,4.63,,,sedge dominant
KHR-1,07/02/2021 8:04pm,4.17,4.17,4.17,TRUE,,Friday night
D6N,07/04/2021 6:59am,5.9,5.9,5.89,,,
D5N,07/04/2021 7:00am,3.35,3.35,3.35,,,
KHR-1,07/04/2021 7:03am,4.15,4.15,4.16,TRUE,,gain of .02 inches
D1N,07/04/2021 7:05am,4.17,4.15,4.16,,,
KER-1,07/04/2021 7:08am,3.84,3.84,3.85,,,
E1N,07/04/2021 7:14am,4.58,4.58,4.58,,,
E1S,07/04/2021 7:17am,4.16,4.17,4.17,,,
E2S,07/04/2021 7:18am,2.12,2.12,2.13,,"saturated, soggy",
E4S,07/04/2021 7:19am,4.65,4.65,4.65,,,
E3S,07/04/2021 7:20am,-0.213,-0.269,-0.262,,,
E5S,07/04/2021 7:23am,4.88,4.88,4.89,,,
E6S,07/04/2021 7:25am,5.92,5.92,5.92,,,at or near bottom
KET-1,07/04/2021 7:25am,1.77,1.77,1.76,TRUE,,
E7S,07/04/2021 7:28am,2.77,2.77,2.77,,,"at or near bottom, no cap, sediment?"
E8S,07/04/2021 7:30am,4.7,4.7,4.7,,,"mud, near bottom"
KWT-1,07/04/2021 7:35am,4.44,4.44,4.45,,,
D6S,07/04/2021 7:45am,,,,,,no water
D4S,07/04/2021 7:46am,,,,,,no water
D3S,07/04/2021 7:47am,,,,,,no water
D1S,07/04/2021 7:50am,4.15,4.15,4.16,TRUE,,
KEF-1,07/04/2021 7:57am,1.75,1.75,1.75,,"saturated, soggy",double-checked meter reading
KHF-1,07/04/2021 7:58am,1.95,1.95,1.95,,,"ground to top is zero, no well casing"
KWF-1,07/04/2021 8:02am,3.31,3.3,3.3,,,
KWR-1,07/04/2021 8:05am,3.4,3.4,3.4,,,"ground to top is 61, 67, 72.4 (cm)"
KHF-1,7/5/2021  5:36pm,3.21,3.21,3.22,,,
KWT-1,7/5/2021  6:00pm,4.64,4.64,4.64,,,
E5S,7/5/2021  6:05pm,4.85,4.85,4.85,,,
EHR-1,7/5/2021  7:30am,3.71,3.72,3.72,TRUE,,
EER-1,7/5/2021  7:32am,3.92,3.92,3.93,TRUE,,
EWR-1,7/5/2021  7:35am,3.79,3.79,3.8,,,
A1N,7/5/2021  7:46am,4.91,4.91,4.9,,,change to EWR-A1N; aside gravel bar in willows
A2N,7/5/2021  7:43am,2.44,2.44,2.43,,,"EFR-A2N. Riparian? Pines within 2m, also sedge and horsetail locally, big bar to north"
A2S,7/5/2021  7:49am,,,,,,no water; dry on 07/03 at 12pm; 0 mm of mud at bottom
A3S,7/5/2021  7:50am,,,,,,no water; dry on 07/03 at 12pm; 1 mm of mud at bottom
A5S,7/5/2021  7:55am,,,,,soil moist-dry,no water; augered to 122 cm below ground and still no water
EET-2,7/5/2021  7:57am,4.9,4.9,4.91,,soil moist-dry,mud
EWT-1,7/5/2021  7:59am,5,5,5,,soil moist-dry,hot bottom but clear water reading on meter
B5S,7/5/2021  8:06am,4.7,4.7,4.69,,,Fan? Cobble- to boulder-sized rocks at surface
B6S,7/5/2021  8:09am,3.93,3.94,3.93,,,"locally MH, tree within 2 meters"
B7S,7/5/2021  8:11am,3.42,3.42,3.42,,,"locally MH, tree within 2 meters"
EEF-1,7/5/2021  8:17am,4.45,4.45,4.46,TRUE,,carex and juncus
EET-1,7/5/2021  8:24am,,,,TRUE,,"no water; new phenocam spot, EHW present."
C5S,7/5/2021  8:22am,4.79,4.79,4.8,,,EHT?
B4S,7/5/2021  8:33am,4.77,4.77,4.77,FALSE,,"EER? sedge or MH? downslope of terrace, out of pine canopy, >5m from tree"
B3S,7/5/2021  8:38am,,,,TRUE,,no water; Forest <2 m from pine
