well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes,vegetation,HGMZ,
KHR-XE2N,06/01/2018 09:30 AM,98.7425,,,,TRUE,NaN,v1,,,,,
KHR-XE2N,06/01/2018 09:30 AM,99.06,,,,TRUE,NaN,v1,,,,,
EHR-1,06/18/2018 07:17 AM,95.885,,,,TRUE,NaN,v1,,,,,
EHR-1,06/18/2018 07:17 AM,95.885,,,,TRUE,NaN,v1,,,,,
EHR-1,06/18/2018 07:17 AM,96.52,,,,TRUE,NaN,v1,,,,,
EER-1,06/18/2018 07:21 AM,104.14,,,,TRUE,NaN,v1,,,,,
EER-1,06/18/2018 07:21 AM,105.41,,,,TRUE,NaN,v1,,,,,
EER-1,06/18/2018 07:21 AM,104.775,,,,TRUE,NaN,v1,,,,,
EWR-1,06/18/2018 07:26 AM,96.52,,,,TRUE,NaN,v1,,,,,
EWR-1,06/18/2018 07:26 AM,98.425,,,,TRUE,NaN,v1,,,,,
EWR-1,06/18/2018 07:26 AM,99.695,,,,TRUE,NaN,v1,,,,,
EFF-XA2N,06/18/2018 07:35 AM,57.15,,,,TRUE,NaN,v1,,,,,
EFF-XA2N,06/18/2018 07:35 AM,57.15,,,,TRUE,NaN,v1,,,,,
EFF-XA2N,06/18/2018 07:35 AM,57.785,,,,TRUE,NaN,v1,,,,,
EFR-XB1S,06/18/2018 07:56 AM,127.3175,,,,TRUE,NaN,v1,,,,,
EFR-XB1S,06/18/2018 07:56 AM,128.27,,,,TRUE,NaN,v1,,,,,
EFR-XB1S,06/18/2018 07:56 AM,128.5875,,,,TRUE,NaN,v1,,,,,
EHF-XA3S,06/18/2018 08:07 AM,67.31,,,,TRUE,NaN,v1,,,,,
EHF-XA3S,06/18/2018 08:07 AM,67.31,,,,TRUE,NaN,v1,,,,,
EHF-XA3S,06/18/2018 08:07 AM,67.945,,,,TRUE,NaN,v1,,,,,
EWF-XA2S,06/18/2018 08:10 AM,111.76,,,,TRUE,NaN,v1,,,,,
EWF-XA2S,06/18/2018 08:10 AM,111.76,,,,TRUE,NaN,v1,,,,,
EWF-XA2S,06/18/2018 08:10 AM,111.76,,,,TRUE,NaN,v1,,,,,
EHT-XA5S,06/18/2018 08:13 AM,70.8025,,,,TRUE,NaN,v1,,,,,
EHT-XA5S,06/18/2018 08:13 AM,71.12,,,,TRUE,NaN,v1,,,,,
EHT-XA5S,06/18/2018 08:13 AM,71.12,,,,TRUE,NaN,v1,,,,,
EWT-1,06/18/2018 08:19 AM,128.27,,,,TRUE,NaN,v1,,,,,
EWT-1,06/18/2018 08:19 AM,128.5875,,,,TRUE,NaN,v1,,,,,
EWT-1,06/18/2018 08:19 AM,128.905,,,,TRUE,NaN,v1,,,,,
EHT-XB5S,06/18/2018 08:27 AM,83.82,,,,TRUE,NaN,v1,,,,,
EHT-XB5S,06/18/2018 08:27 AM,84.1375,,,,TRUE,NaN,v1,,,,,
EHT-XB5S,06/18/2018 08:27 AM,84.455,,,,TRUE,NaN,v1,,,,,
EEF-1,06/18/2018 08:32 AM,57.4675,,,,TRUE,NaN,v1,,,,,
EEF-1,06/18/2018 08:32 AM,57.4675,,,,TRUE,NaN,v1,,,,,
EEF-1,06/18/2018 08:32 AM,57.785,,,,TRUE,NaN,v1,,,,,
EET-1,06/18/2018 08:38 AM,105.0925,,,,TRUE,NaN,v1,,,,,
EET-1,06/18/2018 08:38 AM,104.14,,,,TRUE,NaN,v1,,,,,
EET-1,06/18/2018 08:38 AM,104.775,,,,TRUE,NaN,v1,,,,,
EHT-XC6S,06/18/2018 08:42 AM,,,,,FALSE,NaN,nw,,,,,
KHT-XD6N,06/19/2018 08:04 AM,113.03,,,,TRUE,NaN,v1,,,,,
KHT-XD6N,06/19/2018 08:04 AM,113.9825,,,,TRUE,NaN,v1,,,,,
KHT-XD6N,06/19/2018 08:04 AM,112.7125,,,,TRUE,NaN,v1,,,,,
KHR-XD2N,06/19/2018 08:08 AM,110.49,,,,TRUE,NaN,v1,,,,,
KHR-XD2N,06/19/2018 08:08 AM,111.125,,,,TRUE,NaN,v1,,,,,
KHR-XD2N,06/19/2018 08:08 AM,111.125,,,,TRUE,NaN,v1,,,,,
KFF-XD6S,06/19/2018 08:23 AM,82.55,,,,TRUE,NaN,v1,,,,,
KFF-XD6S,06/19/2018 08:23 AM,84.7725,,,,TRUE,NaN,v1,,,,,
KFF-XD6S,06/19/2018 08:23 AM,86.0425,,,,TRUE,NaN,v1,,,,,
KWT-1,06/19/2018 08:34 AM,112.7125,,,,TRUE,NaN,v1,,,,,
KWT-1,06/19/2018 08:34 AM,113.03,,,,TRUE,NaN,v1,,,,,
KWT-1,06/19/2018 08:34 AM,113.3475,,,,TRUE,NaN,v1,,,,,
KFF-XE8S,06/19/2018 08:49 AM,99.695,,,,TRUE,NaN,v1,,,,,
KFF-XE8S,06/19/2018 08:49 AM,100.33,,,,TRUE,NaN,v1,,,,,
KFF-XE8S,06/19/2018 08:49 AM,100.33,,,,TRUE,NaN,v1,,,,,
KHT-XE5S,06/19/2018 08:55 AM,83.82,,,,TRUE,NaN,v1,,,,,
KHT-XE5S,06/19/2018 08:55 AM,84.1375,,,,TRUE,NaN,v1,,,,,
KHT-XE5S,06/19/2018 08:55 AM,84.455,,,,TRUE,NaN,v1,,,,,
KER-1,06/19/2018 08:56 AM,90.4875,,,,TRUE,NaN,v1,,,,,
KER-1,06/19/2018 08:56 AM,90.17,,,,TRUE,NaN,v1,,,,,
KER-1,06/19/2018 08:56 AM,90.4875,,,,TRUE,NaN,v1,,,,,
KHR-XE2N,06/19/2018 08:58 AM,104.14,,,,TRUE,NaN,v1,,,,,
KHR-XE2N,06/19/2018 08:58 AM,104.14,,,,TRUE,NaN,v1,,,,,
KHR-XE2N,06/19/2018 08:58 AM,104.4575,,,,TRUE,NaN,v1,,,,,
KHT-XE6S,06/19/2018 08:58 AM,62.5475,,,,TRUE,NaN,v1,,,,,
KHT-XE6S,06/19/2018 08:58 AM,62.23,,,,TRUE,NaN,v1,,,,,
KHT-XE6S,06/19/2018 08:58 AM,62.865,,,,TRUE,NaN,v1,,,,,
KFR-XE2S,06/19/2018 08:59 AM,63.5,,,,TRUE,NaN,v1,,,,,
KFR-XE2S,06/19/2018 08:59 AM,62.865,,,,TRUE,NaN,v1,,,,,
KFR-XE2S,06/19/2018 08:59 AM,62.865,,,,TRUE,NaN,v1,,,,,
KFR-XE1S,06/19/2018 09:00 AM,112.395,,,,TRUE,NaN,v1,,,,,
KFR-XE1S,06/19/2018 09:00 AM,113.3475,,,,TRUE,NaN,v1,,,,,
KFR-XE1S,06/19/2018 09:00 AM,113.03,,,,TRUE,NaN,v1,,,,,
EHR-1,06/30/2018 08:15 AM,110.8075,,,,TRUE,NaN,v1,,,,,
EHR-1,06/30/2018 08:15 AM,111.4425,,,,TRUE,NaN,v1,,,,,
EHR-1,06/30/2018 08:15 AM,110.49,,,,TRUE,NaN,v1,,,,,
EER-1,06/30/2018 08:20 AM,114.935,,,,TRUE,NaN,v1,,,,,
EER-1,06/30/2018 08:20 AM,113.03,,,,TRUE,NaN,v1,,,,,
EER-1,06/30/2018 08:20 AM,113.3475,,,,TRUE,NaN,v1,,,,,
EWR-1,06/30/2018 08:25 AM,105.7275,,,,TRUE,NaN,v1,,,,,
EWR-1,06/30/2018 08:25 AM,105.7275,,,,TRUE,NaN,v1,,,,,
EWR-1,06/30/2018 08:25 AM,105.7275,,,,TRUE,NaN,v1,,,,,
EFF-XA2N,06/30/2018 08:31 AM,66.3575,,,,TRUE,NaN,v1,,,,,
EFF-XA2N,06/30/2018 08:31 AM,66.04,,,,TRUE,NaN,v1,,,,,
EFF-XA2N,06/30/2018 08:31 AM,65.405,,,,TRUE,NaN,v1,,,,,
EWF-XA2S,06/30/2018 08:40 AM,131.445,,,,TRUE,NaN,v1,,,,,
EWF-XA2S,06/30/2018 08:40 AM,132.08,,,,TRUE,NaN,v1,,,,,
EWF-XA2S,06/30/2018 08:40 AM,132.08,,,,TRUE,NaN,v1,,,,,
EHF-XA3S,06/30/2018 08:45 AM,82.8675,,,,TRUE,NaN,v1,,,,,
EHF-XA3S,06/30/2018 08:45 AM,83.82,,,,TRUE,NaN,v1,,,,,
EHF-XA3S,06/30/2018 08:45 AM,84.1375,,,,TRUE,NaN,v1,,,,,
EHT-XA5S,06/30/2018 08:47 AM,101.9175,,,,TRUE,NaN,v1,,,,,
