well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes,well_id
EET-XB4S,5/20/21 8:35,120.0912,120.0912,120.0912,120.0912,TRUE,FALSE,solinst,moist to saturated,,EET-XB4S
EFR-XB3S,5/20/21 8:37,125.5776,125.5776,125.5776,125.5776,TRUE,TRUE,solinst,moist to saturated,,EFR-XB3S
EFR-XB2S,5/20/21 8:39,135.9408,135.9408,135.9408,135.9408,TRUE,FALSE,solinst,moist to saturated,,EFR-XB2S
EHR-XB1N,5/20/21 8:43,130.7592,130.7592,130.7592,130.7592,TRUE,TRUE,solinst,moist,,EHR-XB1N
EFR-XB2N,5/20/21 8:45,52.4256,52.4256,52.4256,52.4256,TRUE,TRUE,solinst,moist to saturated,,EFR-XB2N
EFR-XB3N,5/20/21 8:46,73.4568,73.4568,73.4568,73.4568,TRUE,TRUE,solinst,moist to saturated,,EFR-XB3N
EWR-XB4N,5/20/21 8:48,69.4944,69.4944,69.4944,69.4944,TRUE,TRUE,solinst,"moist, not saturated",,EWR-XB4N
LHT-1,5/20/21 6:53,84.4296,84.4296,84.4296,84.4296,TRUE,FALSE,solinst,,frost on ground and grass,LHT-1
LET-1,5/20/21 6:54,67.6656,67.6656,67.6656,67.6656,TRUE,FALSE,solinst,,,LET-1
LWT-1,5/20/21 6:57,85.6488,85.6488,85.6488,85.6488,TRUE,FALSE,solinst,,,LWT-1
EFR-XB1S,5/20/21 8:41,136.2456,136.2456,136.2456,136.2456,TRUE,FALSE,solinst,moist,,EFR-XB1S
KHT-XD6N,6/6/21 6:28,131.9784,131.9784,131.9784,131.9784,TRUE,FALSE,solinst,,,KHT-XD6N
KER-1,6/6/21 6:32,100.076,99.9744,99.9744,100.2792,TRUE,FALSE,solinst,,,KER-1
KWR-XE1N,6/6/21 6:39,135.8392,135.636,135.9408,135.9408,TRUE,FALSE,solinst,,,KWR-XE1N
KFR-XE1S,6/6/21 6:41,124.968,124.968,124.968,124.968,TRUE,FALSE,solinst,,,KFR-XE1S
KFR-XE2S,6/6/21 6:42,63.8048,64.008,63.7032,63.7032,TRUE,FALSE,solinst,,,KFR-XE2S
KER-XE3S,6/6/21 6:45,-5.58800001,-5.08000001,-5.08000001,-6.60400001,TRUE,FALSE,solinst,,,KER-XE3S
KHT-XE4S,6/6/21 6:44,105.9688,106.0704,106.0704,105.7656,TRUE,FALSE,solinst,,,KHT-XE4S
KHT-XE5S,6/6/21 6:47,112.0648,112.1664,112.1664,111.8616,TRUE,TRUE,solinst,,,KHT-XE5S
