"well_id","201801","201802","201803","201804","201805","201806","201807","201808","201809","201810","201811","201812","201813","201814","201815","201816","201817","201818","201819","201820","201821","201822","201823","201824","201825","201826","201827","201828","201829","201830","201831","201832","201833","201834","201835","201836","201837","201838","201839","201840","201841","201842","201843","201844","201845","201846","201847","201848","201849","201850","201851","201852"
"EEF-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7887,NA,NA,1.1903,4.577,NA,NA,16.117,23.5503,NA,7.0837,NA,1.817,NA,NA,2.317,NA,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EEF-XA3S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.384,NA,NA,4.8657,20.9523,NA,NA,51.7773,77.5773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EER-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2537,NA,NA,29.3187,38.3146,NA,NA,42.2437,41.3771,NA,42.5437,NA,41.0771,NA,NA,35.8771,NA,32.4104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EER-XB4S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EET-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9092,NA,NA,48.2792,85.9558,NA,NA,88.5433,NA,NA,88.9433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EET-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EFF-XA2N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4342,NA,NA,18.7367,27.3092,NA,NA,32.575,32.8417,NA,38.7083,NA,35.0083,NA,NA,32.9417,NA,25.4417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EFF-XA2S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1705,NA,NA,19.6955,39.8038,NA,NA,51.8022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EFR-XB1S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4473,NA,NA,40.1623,43.4432,NA,NA,45.5373,44.0373,NA,45.6373,NA,45.504,NA,NA,46.6373,NA,46.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
