Time, Target, Sensor Body,source_file
07/11/2025 15:11,58.6341,31.9444,Data Log(26).txt
07/11/2025 14:52,25.0408,32.6159,Data Log(27).txt
07/11/2025 14:52,25.6493,32.5962,Data Log(27).txt
07/11/2025 14:52,25.0408,32.6159,Data Log(28).txt
07/11/2025 14:52,25.6493,32.5962,Data Log(28).txt
07/11/2025 14:43,24.8208,33.0548,Data Log(29).txt
07/11/2025 14:44,23.5868,33.0168,Data Log(29).txt
07/11/2025 14:44,23.3896,32.9597,Data Log(29).txt
07/29/2025 13:20,31.886,32.2074,Data Log(3).txt
07/29/2025 13:20,31.7656,32.2025,Data Log(3).txt
07/29/2025 13:20,31.7621,32.2089,Data Log(3).txt
07/29/2025 13:22,47.1711,32.3463,Data Log(3).txt
07/29/2025 13:22,47.6477,32.3809,Data Log(3).txt
07/11/2025 14:34,30.0014,33.6288,Data Log(30).txt
07/11/2025 14:34,30.4004,33.6349,Data Log(30).txt
07/11/2025 14:34,42.3176,33.6481,Data Log(30).txt
07/11/2025 14:38,31.9104,33.0447,Data Log(30).txt
07/11/2025 14:38,31.5419,33.0487,Data Log(30).txt
07/11/2025 14:17,37.4604,34.5695,Data Log(31).txt
07/11/2025 14:18,37.1558,34.5561,Data Log(31).txt
07/11/2025 14:19,31.0188,34.507,Data Log(31).txt
07/11/2025 14:09,31.5052,35.184,Data Log(32).txt
07/11/2025 14:10,31.5786,35.1844,Data Log(32).txt
07/11/2025 14:11,53.2237,35.0036,Data Log(32).txt
07/11/2025 14:12,-43.9553,35.0243,Data Log(32).txt
07/11/2025 13:18,41.7881,33.1323,Data Log(33).txt
07/11/2025 13:19,40.4444,33.1533,Data Log(33).txt
07/11/2025 13:19,40.0054,33.1575,Data Log(33).txt
07/11/2025 13:21,57.2791,33.2006,Data Log(33).txt
07/11/2025 13:21,58.7957,33.2271,Data Log(33).txt
07/11/2025 13:25,36.6185,33.3265,Data Log(33).txt
07/11/2025 13:25,37.3185,33.3459,Data Log(33).txt
07/11/2025 13:27,60.6504,33.4794,Data Log(33).txt
07/11/2025 13:28,58.7081,33.5768,Data Log(33).txt
07/11/2025 12:58,39.2757,33.1396,Data Log(34).txt
07/11/2025 12:58,39.3112,33.1712,Data Log(34).txt
07/11/2025 12:59,69.452,33.2944,Data Log(34).txt
07/11/2025 13:11,30.5418,32.955,Data Log(34).txt
07/11/2025 13:11,30.8306,32.9661,Data Log(34).txt
07/11/2025 13:13,28.7485,32.9797,Data Log(34).txt
07/11/2025 13:13,28.1254,32.9713,Data Log(34).txt
07/11/2025 12:51,30.0183,33.0768,Data Log(35).txt
07/11/2025 12:51,30.256,33.0911,Data Log(35).txt
07/11/2025 12:53,61.356,33.1091,Data Log(35).txt
07/11/2025 12:53,60.9939,33.1179,Data Log(35).txt
07/11/2025 12:43,26.3862,32.9741,Data Log(36).txt
07/11/2025 12:43,26.444,32.9753,Data Log(36).txt
07/11/2025 12:43,26.3911,32.9761,Data Log(36).txt
07/11/2025 12:43,26.2339,32.9763,Data Log(36).txt
07/11/2025 12:43,25.9969,32.9759,Data Log(36).txt
07/11/2025 12:43,26.1074,32.9685,Data Log(36).txt
07/11/2025 12:44,26.2275,32.9717,Data Log(36).txt
07/11/2025 12:44,26.3587,32.9734,Data Log(36).txt
07/11/2025 12:46,25.4711,32.9062,Data Log(36).txt
07/11/2025 12:46,25.5156,32.9024,Data Log(36).txt
07/11/2025 12:25,48.6433,33.1299,Data Log(37).txt
07/11/2025 12:25,48.7055,33.1308,Data Log(37).txt
07/11/2025 12:32,23.6338,33.1192,Data Log(37).txt
07/11/2025 12:32,23.1715,33.1016,Data Log(37).txt
07/11/2025 12:32,23.1169,33.0942,Data Log(37).txt
07/11/2025 12:32,22.9749,33.085,Data Log(37).txt
