Time,Target,Sensor Body,source_file,well_id,target_type,percent_cover,Notes:
2025-07-11 12:03:00,53.3129,33.9177,field notes,EHR-1,bare ground,3.0,
2025-07-11 12:04:00,-42.2447,34.0238,field notes,EHR-1,sky,,
2025-07-11 12:12:00,25.6712,33.3011,Data Log(38).txt,EHR-1,plant,97.0,Patch 1 m south of well w/o bare ground
2025-07-11 12:12:00,25.7209,33.295,Data Log(38).txt,EHR-1,plant,97.0,Patch 1 m south of well w/o bare ground
2025-07-11 12:12:00,25.7241,33.3061,Data Log(38).txt,EHR-1,plant,97.0,Patch 1 m south of well w/o bare ground
2025-07-11 12:12:00,25.9132,33.31,Data Log(38).txt,EHR-1,plant,97.0,Patch 1 m south of well w/o bare ground
2025-07-11 12:12:00,26.2523,33.3162,Data Log(38).txt,EHR-1,plant,97.0,Patch 1 m south of well w/o bare ground
2025-07-11 12:21:00,29.1376,32.8536,field notes,EER-1,plant,99.0,
2025-07-11 12:21:00,29.2958,32.8549,field notes,EER-1,plant,99.0,
2025-07-11 12:21:00,29.2314,32.8562,field notes,EER-1,plant,99.0,
2025-07-11 12:21:00,29.1161,32.8572,field notes,EER-1,plant,99.0,
2025-07-11 12:21:00,29.0673,32.8576,field notes,EER-1,plant,99.0,
2025-07-11 12:25:00,48.6433,33.1299,Data Log(37).txt,EER-1,bare ground,1.0,
2025-07-11 12:25:00,48.7055,33.1308,Data Log(37).txt,EER-1,bare ground,1.0,
2025-07-11 12:32:00,22.9749,33.085,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:32:00,23.0105,33.0811,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:32:00,23.1169,33.0942,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:32:00,23.1715,33.1016,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:32:00,23.1805,33.0589,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:32:00,23.2402,33.0613,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:32:00,23.6338,33.1192,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:34:00,22.8639,32.9502,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:34:00,23.0372,32.9339,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:34:00,23.0548,32.9365,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:34:00,23.0805,32.9403,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:35:00,23.0049,32.9308,Data Log(37).txt,EWR-1,plant,100.0,
2025-07-11 12:43:00,25.9969,32.9759,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:43:00,26.1074,32.9685,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:43:00,26.2339,32.9763,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:43:00,26.3862,32.9741,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:43:00,26.3911,32.9761,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:43:00,26.444,32.9753,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:44:00,26.2275,32.9717,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:44:00,26.3587,32.9734,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:46:00,25.4711,32.9062,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:46:00,25.5156,32.9024,Data Log(36).txt,EWT-2,plant,100.0,
2025-07-11 12:51:00,30.0183,33.0768,Data Log(35).txt,EET-1,plant,98.75,
2025-07-11 12:51:00,30.256,33.0911,Data Log(35).txt,EET-1,plant,98.75,
2025-07-11 12:53:00,60.9939,33.1179,Data Log(35).txt,EET-1,bare-thatch,1.25,
2025-07-11 12:53:00,61.356,33.1091,Data Log(35).txt,EET-1,bare-thatch,1.25,
2025-07-11 12:58:00,39.2757,33.1396,Data Log(34).txt,EHT-XC5S,plant,98.0,
2025-07-11 12:58:00,39.3112,33.1712,Data Log(34).txt,EHT-XC5S,plant,98.0,
2025-07-11 12:59:00,69.452,33.2944,Data Log(34).txt,EHT-XC5S,bare ground,2.0,
2025-07-11 13:11:00,30.5418,32.955,Data Log(34).txt,EWT-1,plant,100.0,
2025-07-11 13:11:00,30.8306,32.9661,Data Log(34).txt,EWT-1,plant,100.0,
2025-07-11 13:13:00,28.1254,32.9713,Data Log(34).txt,EWT-1,plant,100.0,
2025-07-11 13:13:00,28.7485,32.9797,Data Log(34).txt,EWT-1,plant,100.0,
2025-07-11 13:18:00,41.7881,33.1323,Data Log(33).txt,EET-2,plant,99.0,
