"TOA5","Station7_wx","CR1000","12862","CR1000.Std.14","CPU:SH_Site7_2_3.CR1","58738","Hydra"
"TIMESTAMP","RECORD","Vraw_Avg(1,1)","Vraw_Avg(1,2)","Vraw_Avg(1,3)","Vraw_Avg(1,4)","Vraw_Avg(2,1)","Vraw_Avg(2,2)","Vraw_Avg(2,3)","Vraw_Avg(2,4)","Vraw_Avg(3,1)","Vraw_Avg(3,2)","Vraw_Avg(3,3)","Vraw_Avg(3,4)","SoilType_Avg(1)","SoilType_Avg(2)","SoilType_Avg(3)","eR_Avg(1)","eR_Avg(2)","eR_Avg(3)","eI_Avg(1)","eI_Avg(2)","eI_Avg(3)","Temp_C_Avg(1)","Temp_C_Avg(2)","Temp_C_Avg(3)","eR_tc_Avg(1)","eR_tc_Avg(2)","eR_tc_Avg(3)","eI_tc_Avg(1)","eI_tc_Avg(2)","eI_tc_Avg(3)","wfv_Avg(1)","wfv_Avg(2)","wfv_Avg(3)","NaCI_Avg(1)","NaCI_Avg(2)","NaCI_Avg(3)","SoilCond_Avg(1)","SoilCond_Avg(2)","SoilCond_Avg(3)","SoilCond_tc_Avg(1)","SoilCond_tc_Avg(2)","SoilCond_tc_Avg(3)","SoilWaCond_tc_Avg(1)","SoilWaCond_tc_Avg(2)","SoilWaCond_tc_Avg(3)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","Deg C","Deg C","Deg C","","","","","","","pct by vol","pct by vol","pct by vol","gm NaCl / L","gm NaCl / L","gm NaCl / L","S/m","S/m","S/m","S/m","S/m","S/m","S/m","S/m","S/m"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-04-23 14:40:00",92326,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"NAN","NAN","NAN","NAN","NAN","NAN",-273.1,-273.1,-273.1,"NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",100,100,100
"2013-04-23 14:50:00",92327,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"NAN","NAN","NAN","NAN","NAN","NAN",-273.1,-273.1,-273.1,"NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",100,100,100
"2013-04-23 15:00:00",92328,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"NAN","NAN","NAN","NAN","NAN","NAN",-273.1,-273.1,-273.1,"NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",100,100,100
"2013-04-23 15:10:00",92329,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"NAN","NAN","NAN","NAN","NAN","NAN",-273.1,-273.1,-273.1,"NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",100,100,100
"2013-04-23 15:20:00",92330,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"NAN","NAN","NAN","NAN","NAN","NAN",-273.1,-273.1,-273.1,"NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",100,100,100
"2013-04-23 15:30:00",92331,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"NAN","NAN","NAN","NAN","NAN","NAN",-273.1,-273.1,-273.1,"NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",100,100,100
"2013-04-23 15:40:00",92332,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"NAN","NAN","NAN","NAN","NAN","NAN",-273.1,-273.1,-273.1,"NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",100,100,100
"2013-04-23 15:50:00",92333,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"NAN","NAN","NAN","NAN","NAN","NAN",-273.1,-273.1,-273.1,"NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",100,100,100
