well_id,timestamp,ground_to_water_cm,
EEF-1,6/1/18 7:45,4.7887,
EEF-1,6/18/18 8:32,1.1903,
EEF-1,6/30/18 8:55,4.577,
EEF-1,7/16/18 8:40,16.117,
EEF-1,7/25/18 8:16,23.5503,
EEF-1,8/10/18 7:20,7.0837,
EEF-1,8/24/18 8:39,1.817,
EEF-1,9/16/18 7:57,2.317,
EEF-1,9/29/18 8:39,0.617,
EEF-1,11/18/18 13:16,0.017,
EEF-1,6/2/19 19:00,-2,
EEF-1,6/18/19 8:55,1.6503,
EEF-1,7/6/19 9:01,18.0503,
EEF-1,7/26/19 7:47,49.017,
EEF-1,8/5/19 7:14,56.1503,
EEF-1,8/20/19 9:12,39.4837,
EEF-1,9/3/19 8:54,20.017,
EEF-1,9/21/19 9:34,1.717,
EEF-1,10/5/19 7:12,3.2503,
EEF-1,10/20/19 14:51,5.017,
EEF-1,5/20/21 8:20,13.1594,
EEF-1,6/6/21 8:31,38.153,
EEF-1,6/20/21 8:17,69.0394,
EEF-1,7/5/21 8:17,76.3546,
EEF-1,7/20/21 8:42,79.301,
EEF-1,8/6/21 8:34,79.301,
EEF-1,8/22/21 9:51,79.6058,
EEF-1,9/8/21 9:17,83.7714,
EEF-1,9/24/21 9:47,83.4666,
EEF-1,10/6/21 9:40,,
EEF-1,11/14/21 9:52,7.673,
EEF-1,5/19/24 8:06,1.245,
EEF-1,6/1/24 7:41,2.155,
EEF-1,6/15/24 6:58,21.155,
EEF-1,6/29/24 7:42,48.995,
EEF-1,7/14/24 6:51,83.035,
EEF-1,7/27/24 7:40,85.575,
EEF-1,8/10/24 8:10,67.585,
EEF-1,8/22/24 8:25,75.715,
EEF-1,9/7/24 8:56,38.225,
EEF-1,9/21/24 7:51,21.465,
EEF-1,10/6/24 8:11,16.995,
EEF-1,10/21/24 8:30,10.895,
EEF-1,11/9/24 9:58,8.655,
EEF-XA3S,6/1/18 6:40,3.384,
EEF-XA3S,6/18/18 8:07,4.8657,
EEF-XA3S,6/30/18 8:45,20.9523,
EEF-XA3S,7/16/18 8:19,51.7773,
EEF-XA3S,7/25/18 7:45,77.5773,
EEF-XA3S,8/10/18 6:50,,
EEF-XA3S,8/24/18 8:19,,
EEF-XA3S,9/16/18 7:44,,
EEF-XA3S,9/29/18 9:03,,
EEF-XA3S,11/18/18 14:22,15.7773,
EEF-XA3S,6/2/19 11:55,-0.0893,
EEF-XA3S,6/18/19 8:07,3.6107,
EEF-XA3S,7/6/19 8:41,6.444,
EEF-XA3S,7/26/19 7:38,40.044,
EEF-XA3S,8/5/19 6:59,63.7107,
EEF-XA3S,8/20/19 9:01,,
EEF-XA3S,9/21/19 10:40,22.4773,
EEF-XA3S,10/5/19 7:28,18.544,
EEF-XA3S,10/20/19 14:29,13.4107,
EEF-XA3S,5/20/21 7:57,15.5224,
EEF-XA3S,6/6/21 8:12,39.6016,
EEF-XA3S,6/20/21 7:58,86.744,
EEF-XA3S,7/5/21 7:50,,
