EFR-XB2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8408,NA,44.9368,NA,NA,NA,NA,NA,NA,57.1288,NA,56.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0496,NA,18.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.935,NA,NA,NA
EFR-XB3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,NA,NA,55.2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2276,NA,50.81,NA,64.7292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7308,NA,18.295,NA,27.235,NA,44.915,NA,57.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.595,NA,48.365,NA
EFT-XC3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44,NA,13.5,NA,46.92,NA,62.16,NA,75.58,NA,57.59,NA,88.68,NA,NA,NA,88.99,NA,71.92,NA,NA,NA,NA,62.88,NA,58.2,NA
EFT-XC4S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.185,NA,12.505,NA,36.375,NA,72.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.275,NA
EHF-XB7S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5167,NA,NA,3.55,NA,5.85,NA,5.6167,NA,5.1167,NA,3.2833,NA,3.45,NA,NA,NA,NA,NA,NA,-11.6356,NA,11.834,NA,24.4324,NA,NA,53.5916,NA,78.2804,NA,85.5956,NA,90.1676,NA,NA,96.8732,NA,81.0236,NA,20.12,NA,NA,NA,NA,11.4276,NA,1.835,NA,2.855,NA,13.925,NA,28.555,NA,70.015,NA,76.515,NA,78.955,NA,NA,NA,24.295,NA,12.205,NA,10.375,NA,NA,4.375,NA,3.365,NA
EHR-1,NA,NA,29.555,NA,NA,44.3717,59.1883,NA,NA,66.4083,66.03056402,66.82077626,67.80541165,68.21571332,67.41885117,63.76394307,61.34909508,60.17872854,58.21267246,57.71283601,57.30358263,54.28622149,47.27678793,44.70028232,42.70326518,41.74840296,39.16395348,NA,NA,4.4417,NA,NA,8.8083,NA,36.4083,NA,NA,54.1417,NA,61.1083,NA,62.9083,NA,62.775,NA,50.4417,NA,42.0083,NA,NA,NA,NA,NA,NA,45.5542,NA,55.003,NA,60.2862,NA,58.23074166,58.61927214,NA,63.639,NA,65.0614,NA,60.1846,NA,NA,60.7942,NA,60.2862,NA,58.051,NA,NA,NA,NA,29.3998,NA,7.755,NA,26.045,NA,43.425,NA,54.195,NA,65.465,61.57187338,65.77344688,65.24400329,62.72640136,65.69048516,64.63412149,58.80520422,61.2577329,61.49589702,58.65467135,57.02783469,54.61060923,52.55959011,48.57294161,45.13570108,43.64928571,39.7761014,NA
EHR-XB1N,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.85,64.2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.05,NA,NA,NA,NA,NA,NA,NA,NA,63.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1092,NA,66.6756,NA,71.0444,NA,NA,73.178,NA,79.782,NA,76.5308,NA,71.146,NA,NA,71.4508,NA,NA,NA,NA,NA,NA,NA,NA,44.0188,NA,30.815,NA,41.385,NA,52.965,NA,58.445,NA,68.305,NA,69.625,NA,67.695,NA,68.205,NA,66.475,NA,62.925,NA,62.815,NA,NA,54.995,NA,43.925,NA
EHR-XB2N,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.75,25.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.95,NA,NA,NA,NA,NA,NA,NA,NA,21.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1756,NA,23.8652,NA,28.742,NA,NA,28.9452,NA,33.1108,NA,34.9396,NA,31.9932,NA,NA,34.1268,NA,NA,NA,27.3867,NA,NA,NA,NA,21.3252,NA,7.39,NA,12.07,NA,19.08,NA,22.84,NA,24.87,NA,27.61,NA,26.6,NA,25.99,NA,23.75,NA,21.52,NA,20.6,NA,NA,17.96,NA,15.73,NA
EHF-XA5S,NA,NA,-1.1533,NA,NA,35.6767,67.215,NA,NA,105.0958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1708,-2.221991619,-1.208016712,5.769646875,30.96217743,50.15976684,63.25427808,77.58094929,90.60533846,103.2382897,111.8281997,111.883252,112.1772226,111.5484737,111.5593547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.07991592,89.53609697,99.68495599,110.7209947,111.8724026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2715,NA,-28.8188,NA,6.5112,27.06826204,53.48899457,71.40308087,88.71760558,105.420889,119.7458408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3212,NA
EHT-XB5S,NA,NA,19.2967,NA,NA,64.4875,89.9933,NA,NA,109.85,124.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9196,NA,60.9668,NA,92.7676,NA,NA,120.5044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0702,NA,10.68,NA,40.85,NA,74.99,NA,100.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.89,NA,78.55,NA
EHT-XB6S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7124,NA,38.1876,NA,75.5764,NA,NA,98.538,NA,128.6116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.226,NA,18.59,NA,23.88,NA,48.16,NA,83.52,NA,122.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.33,NA
EHT-XC5S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.915,NA,NA,NA,89.395,NA,NA,113.5758,NA,117.1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3318,NA,NA,NA,51.395,NA,NA,NA,85.435,NA,NA,NA,110.425,NA,NA,NA,115.305,NA,114.695,NA,106.565,NA,101.285,NA,NA,95.895,NA,82.385,NA
EHT-XC6S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWF-XA1N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1667,NA,41.9,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,26.5,NA,26.5333,NA,NA,NA,NA,NA,NA,35.652,NA,46.828,NA,47.336,NA,NA,48.5552,NA,47.844,NA,49.5712,NA,47.7424,NA,NA,51.0952,NA,48.352,NA,48.4367,NA,NA,NA,NA,26.3048,NA,13.4,NA,26.2,NA,41.34,NA,48.05,NA,47.23,NA,47.13,NA,49.27,NA,47.03,NA,50.59,NA,46.02,NA,46.22,NA,NA,29.45,NA,22.95,NA
EWR-1,NA,NA,4.9677,NA,NA,10.7885,18.3027,NA,NA,21.15076225,21.62996557,23.09909517,23.40535004,23.67836339,23.82680853,21.26567734,20.74059713,21.77146038,20.4412569,19.64337641,21.98690432,21.22796691,18.66379766,17.862452,16.76268888,17.28773098,15.21511136,NA,NA,-17.5915,NA,NA,-10.6581,NA,-1.9248,NA,NA,17.6752,NA,20.2419,NA,21.5752,NA,21.4752,NA,18.2419,NA,16.2085,NA,NA,NA,NA,NA,NA,17.1696,NA,22.656,NA,24.688,NA,NA,25.196,NA,26.1104,NA,26.3136,NA,25.0944,NA,NA,26.6184,NA,24.7896,NA,22.9608,NA,NA,NA,NA,2.4376,NA,-8.505,NA,8.265,NA,15.375,NA,20.655,NA,24.215,NA,25.335,NA,NA,NA,26.555,NA,26.045,NA,24.115,NA,23.195,NA,NA,18.625,NA,14.965,NA
EWR-XB3N,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,36.6667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5568,NA,31.888,NA,35.2408,NA,NA,36.0536,NA,66.7368,NA,68.1592,NA,62.4696,NA,NA,66.5336,NA,NA,NA,35.8367,NA,NA,NA,NA,30.872,NA,11.995,NA,18.895,NA,28.145,NA,32.615,NA,39.525,NA,47.145,NA,45.625,NA,47.755,NA,40.745,NA,29.775,NA,28.555,NA,NA,23.375,NA,20.015,NA
EWR-XB4N,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0333,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6333,NA,NA,NA,NA,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8944,NA,34.4288,NA,38.188,NA,NA,39.6104,NA,44.792,NA,49.5672,NA,47.2304,NA,NA,50.2784,NA,NA,NA,40.6367,NA,NA,NA,NA,11.1624,NA,2.87,NA,16.89,NA,30.61,NA,37.72,NA,41.78,NA,43.41,NA,43.71,NA,44.93,NA,43.21,NA,39.45,NA,37.92,NA,NA,33.35,NA,28.47,NA
EWF-1,NA,NA,35.5408,NA,NA,74.6145,91.1245,NA,NA,93.8603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.4063,5.540199815,34.49192268,57.4796913,73.46748295,77.41972684,81.20332079,85.89310433,89.93222969,NA,NA,NA,NA,NA,NA,NA,73.7937,NA,59.627,NA,NA,NA,NA,NA,NA,78.2566,NA,91.99524553,95.08241384,93.93746162,94.13037771,94.33159423,NA,134.0104,137.3628709,141.5626267,141.8796407,143.3446334,145.7807473,144.8185766,144.1906913,142.2845177,134.5545732,124.9438799,119.6481846,114.6725536,105.8916844,72.24807981,13.07972062,10.54822396,9.532006727,NA,7.24,NA,69.22,77.61059908,88.76478826,96.17638978,103.2058625,108.946507,117.5401854,117.6305945,121.378586,125.069071,120.8325813,121.2058051,120.7895159,111.8988677,110.1495176,108.6864713,103.4500329,96.1508805,88.15080217,83.8172115,77.64823547,69.93618109,68.67514495,65.46523999,NA
