"","timestamp","observation_period"
"1",2018-05-31,"1"
"2",2018-06-01,"1"
"3",2018-06-18,"2"
"4",2018-06-19,"2"
"5",2018-06-30,"3"
"6",2018-07-01,"3"
"7",2018-07-16,"4"
"8",2018-07-17,"4"
"9",2018-07-25,"5"
"10",2018-07-27,"5"
"11",2018-08-10,"6"
"12",2018-08-24,"7"
"13",2018-08-25,"7"
"14",2018-09-16,"8"
"15",2018-09-29,"9"
"16",2018-10-01,"9"
"17",2018-10-14,"10"
"18",2018-11-18,"11"
"19",2019-06-02,"12"
"20",2019-06-03,"12"
"21",2019-06-17,"13"
"22",2019-06-18,"13"
"23",2019-07-05,"14"
"24",2019-07-06,"14"
"25",2019-07-07,"14"
"26",2019-07-26,"15"
"27",2019-08-04,"16"
"28",2019-08-05,"16"
"29",2019-08-06,"16"
"30",2019-08-20,"17"
"31",2019-09-02,"18"
"32",2019-09-03,"18"
"33",2019-09-04,"18"
"34",2019-09-05,"18"
"35",2019-09-21,"19"
"36",2019-10-05,"20"
"37",2019-10-19,"21"
"38",2019-10-20,"21"
"39",2019-10-21,"21"
