term,estimate,std.error,conf.low,conf.up,,Qmin,Qmax
R.diag,2.066844102,0.436537118,1.211247072,2.922441131,,0.153102299,516.7775239
"Q.(X.Y1,X.Y1)",128.7986222,29.23336075,71.50228798,186.0949564,,,
"Q.(X.Y2,X.Y2)",386.3925868,114.4690386,162.0373938,610.7477799,,,
"Q.(X.Y3,X.Y3)",41.72184467,9.518288586,23.06634184,60.37734749,,,
"Q.(X.Y4,X.Y4)",91.8113012,30.28603296,32.45176737,151.170835,,,
"Q.(X.Y5,X.Y5)",18.6709604,4.533340621,9.785776052,27.55614475,,,
"Q.(X.Y6,X.Y6)",77.32941299,26.30393556,25.77464663,128.8841793,,,
"Q.(X.Y7,X.Y7)",17.78966704,4.674378184,8.628054149,26.95127993,,,
"Q.(X.Y8,X.Y8)",166.6441014,43.50336861,81.37906574,251.9091371,,,
"Q.(X.Y9,X.Y9)",58.75407965,13.23933428,32.80546128,84.70269802,,,
"Q.(X.Y10,X.Y10)",24.3327056,7.220280944,10.18121499,38.4841962,,,
"Q.(X.Y11,X.Y11)",8.597985373,2.747154012,3.21366245,13.9823083,,,
"Q.(X.Y12,X.Y12)",32.90830969,9.104977757,15.06288121,50.75373818,,,
"Q.(X.Y13,X.Y13)",19.99128633,4.818669914,10.54686684,29.43570582,,,
"Q.(X.Y14,X.Y14)",48.56993068,13.69266968,21.73279125,75.40707011,,,
"Q.(X.Y15,X.Y15)",22.61762556,6.613084067,9.656218965,35.57903216,,,
"Q.(X.Y16,X.Y16)",305.9689527,75.77967877,157.4435115,454.4943939,,,
"Q.(X.Y17,X.Y17)",2.127454012,0.782233166,0.594305179,3.660602845,,,
"Q.(X.Y18,X.Y18)",151.7173129,42.63269633,68.15876357,235.2758623,,,
"Q.(X.Y19,X.Y19)",141.885231,38.40144084,66.61978997,217.150672,,,
"Q.(X.Y20,X.Y20)",0.153102299,0.105245488,-0.053175068,0.359379665,,,
"Q.(X.Y21,X.Y21)",35.58189181,9.846349344,16.28340172,54.88038191,,,
"Q.(X.Y22,X.Y22)",44.39626792,10.01313741,24.77087923,64.02165662,,,
"Q.(X.Y23,X.Y23)",0.736707932,0.345286547,0.059958735,1.413457129,,,
"Q.(X.Y24,X.Y24)",159.4497199,40.31325204,80.43719779,238.462242,,,
"Q.(X.Y25,X.Y25)",134.6850008,36.48404409,63.17758841,206.1924132,,,
"Q.(X.Y26,X.Y26)",131.6921234,36.33387484,60.47903726,202.9052095,,,
"Q.(X.Y27,X.Y27)",2.22725608,1.010821589,0.24608217,4.208429989,,,
"Q.(X.Y28,X.Y28)",516.7775239,136.1977827,249.834775,783.7202728,,,
"Q.(X.Y29,X.Y29)",98.25114942,22.9738863,53.2231597,143.2791391,,,
"Q.(X.Y30,X.Y30)",176.9288043,42.1353244,94.34508605,259.5125226,,,
"Q.(X.Y31,X.Y31)",346.2368585,89.89432228,170.0472244,522.4264926,,,
"Q.(X.Y32,X.Y32)",133.0815623,30.58229218,73.1413711,193.0217536,,,
"Q.(X.Y33,X.Y33)",248.7434359,83.47566849,85.13413204,412.3527397,,,
"Q.(X.Y34,X.Y34)",34.94187545,8.661126739,17.96637898,51.91737192,,,
"Q.(X.Y35,X.Y35)",29.93796993,7.198766129,15.82864759,44.04729228,,,
"Q.(X.Y36,X.Y36)",458.8535719,132.9253549,198.3246638,719.3824801,,,
"Q.(X.Y37,X.Y37)",154.1899727,40.29420341,75.21478524,233.1651602,,,
"Q.(X.Y38,X.Y38)",195.8428889,51.04985538,95.7870109,295.8987668,,,
"Q.(X.Y39,X.Y39)",68.74076492,18.52741121,32.42770622,105.0538236,,,
x0.X.Y1,4.76990234,19.70917987,-33.85938037,43.39918505,,,
x0.X.Y2,3.386790036,34.07698538,-63.40287401,70.17645408,,,
x0.X.Y3,17.45365599,11.27826741,-4.651341946,39.55865393,,,
x0.X.Y4,39.18766884,30.33443458,-20.26673042,98.6420681,,,
x0.X.Y5,11.71395687,7.616329748,-3.213775129,26.64168887,,,
x0.X.Y6,10.25856613,15.29826746,-19.72548712,40.24261938,,,
x0.X.Y7,34.66541937,7.44051761,20.08227282,49.24856591,,,
x0.X.Y8,4.511850265,75.28584075,-143.0456862,152.0693867,,,
x0.X.Y9,29.73079143,13.35310427,3.559187969,55.90239489,,,
x0.X.Y10,65.73194728,15.66026162,35.03839853,96.42549604,,,
x0.X.Y11,25.63815597,9.365394291,7.282320459,43.99399148,,,
x0.X.Y12,19.85837277,32.48186645,-43.80491563,83.52166117,,,
x0.X.Y13,5.177312676,7.872349232,-10.25220829,20.60683364,,,
x0.X.Y14,37.75463849,22.08359325,-5.52840893,81.03768592,,,
x0.X.Y15,36.06657053,15.10242907,6.466353472,65.66678758,,,
x0.X.Y16,35.62880609,30.33099189,-23.81884563,95.07645781,,,
x0.X.Y17,7.220223372,4.064693591,-0.746429675,15.18687642,,,
x0.X.Y18,20.75916086,30.20502128,-38.44159299,79.95991472,,,
x0.X.Y19,-0.55072526,65.25801816,-128.4540906,127.35264,,,
x0.X.Y20,-6.629917146,1.45927287,-9.490039415,-3.769794876,,,
x0.X.Y21,-18.84737277,36.31100367,-90.01563221,52.32088668,,,
x0.X.Y22,43.72872449,11.62860782,20.93707197,66.520377,,,
x0.X.Y23,3.222690521,1.862702968,-0.428140211,6.873521252,,,
x0.X.Y24,63.83048024,33.43958776,-1.709907423,129.3708679,,,
x0.X.Y25,16.30586296,67.68564402,-116.3555616,148.9672875,,,
x0.X.Y26,-10.9881093,62.87141302,-134.2138145,112.2375959,,,
x0.X.Y27,35.85316965,8.813569129,18.57889158,53.12744772,,,
x0.X.Y28,27.08653922,39.40046532,-50.13695379,104.3100322,,,
