"term","estimate","std.error","conf.low","conf.up"
"U.1",0.168255592680072,0.189382802159487,-0.202927878843797,0.539439064203941
"Q.diag",113.87406026825,4.7468132072617,104.570477340678,123.177643195822
"x0.X.Y1",4.62032480624663,10.6728593223186,-16.2980950775604,25.5387446900537
"x0.X.Y2",3.21562480624663,10.6728593223186,-17.7027950775604,24.1340446900537
"x0.X.Y3",17.0853248062466,10.6728593223186,-3.83309507756042,38.0037446900537
"x0.X.Y4",11.2658248062466,10.6728593223186,-9.65259507756042,32.1842446900537
"x0.X.Y5",34.2789248062466,10.6728593223186,13.3605049224396,55.1973446900537
"x0.X.Y6",-0.931680973773951,60.668744462333,-119.84023510721,117.976873159663
"x0.X.Y7",29.3866248062466,10.6728593223186,8.46820492243958,50.3050446900537
"x0.X.Y8",64.4564039059252,30.2206534719923,5.22501151155499,123.687796300295
"x0.X.Y9",24.3790814146065,30.2206534719923,-34.8523109797637,83.6104738089766
"x0.X.Y10",11.8102722486121,58.723939490006,-103.286534182109,126.907078679333
"x0.X.Y11",4.79932480624663,10.6728593223186,-16.1190950775604,25.7177446900537
"x0.X.Y12",36.4222668515239,30.2206534719923,-22.8091255428462,95.6536592458941
"x0.X.Y13",34.6565659626109,30.2206534719923,-24.5748264317592,93.887958356981
"x0.X.Y14",35.3724248062466,10.6728593223186,14.4540049224396,56.2908446900537
"x0.X.Y15",6.38848021690671,23.8802627180919,-40.415974651908,53.1929350857215
"x0.X.Y16",19.8315321264838,21.3557976813103,-22.0250621900084,61.688126442976
"x0.X.Y17",-4.75088047846517,56.7150113337021,-115.910260075302,106.408499118372
"x0.X.Y18",-6.85324596329155,30.2206534719923,-66.0846383576617,52.3781464310786
"x0.X.Y19",-20.31507695259,63.4785615025823,-144.730771288062,104.100617382882
"x0.X.Y20",43.4274248062466,10.6728593223186,22.5090049224396,64.3458446900537
"x0.X.Y21",2.17412480624663,10.6728593223186,-18.7442950775604,23.0925446900537
"x0.X.Y22",62.9041687658209,23.8802627180919,16.0997138970062,109.708623634636
"x0.X.Y23",8.7980559020732,60.668744462333,-110.110498231363,127.70661003551
"x0.X.Y24",-13.8374364059906,56.715011333702,-124.996816002828,97.3219431908463
"x0.X.Y25",26.8616248062466,10.6728593223186,5.94320492243957,47.7800446900537
"x0.X.Y26",46.3075308614478,23.8802627180919,-0.496924007367014,93.1119857302625
"x0.X.Y27",7.57492480624662,10.6728593223186,-13.3434950775604,28.4933446900537
"x0.X.Y28",4.38832480624663,10.6728593223186,-16.5300950775604,25.3067446900537
"x0.X.Y29",53.8342027007197,23.8802627180919,7.02974783190496,100.638657569535
"x0.X.Y30",22.9793181429803,23.8802627180919,-23.8251367258345,69.783773011795
"x0.X.Y31",40.3050533194665,23.8802627180919,-6.49940154934827,87.1095081882813
"x0.X.Y32",59.7548281024911,21.3557976813103,17.8982337859989,101.611422418983
"x0.X.Y33",22.5963440424472,60.668744462333,-96.3122100909893,141.504898175884
"x0.X.Y34",27.5027215258299,60.668744462333,-91.4058326076066,146.411275659266
"x0.X.Y35",18.9121357914304,60.668744462333,-99.9964183420061,137.820689924867
