term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax
"R.(Y1,Y1)",0.050437006,104.897242,-205.5443794,205.6452534,,0.000640451,1429.868498
"R.(Y2,Y2)",1429.868498,935.093082,-402.8802649,3262.617261,,,
"R.(Y3,Y3)",0.002295938,6.863370088,-13.44966225,13.45425412,,,
"R.(Y4,Y4)",0.022153812,27.61056717,-54.09356344,54.13787107,,,
"R.(Y5,Y5)",209.71192,319.299855,-416.1042961,835.5281362,,,
"R.(Y6,Y6)",0.571020157,825.3637961,-1617.112294,1618.254335,,,
"R.(Y7,Y7)",0.002771097,7.723860247,-15.13571681,15.141259,,,
"R.(Y8,Y8)",0.199182921,64.18386133,-125.5988737,125.9972395,,,
"R.(Y9,Y9)",0.000833283,2.502810077,-4.904584329,4.906250895,,,
"R.(Y10,Y10)",8.383072734,16.7298996,-24.40692794,41.17307341,,,
"R.(Y11,Y11)",0.095151119,52.36328806,-102.5350076,102.7253098,,,
"R.(Y12,Y12)",56.17206611,109.1078073,-157.6753066,270.0194389,,,
"R.(Y13,Y13)",542.1913167,526.7568276,-490.2330941,1574.615727,,,
"R.(Y14,Y14)",0.040348719,110.8499278,-217.2215174,217.3022148,,,
"R.(Y15,Y15)",0.005203152,17.40141106,-34.10093581,34.11134211,,,
"R.(Y16,Y16)",0.004516891,12.74375789,-24.9727896,24.98182338,,,
"R.(Y17,Y17)",0.00081813,2.398403269,-4.699965898,4.701602158,,,
"R.(Y18,Y18)",0.44333313,479.1746517,-938.7217266,939.6083928,,,
"R.(Y19,Y19)",800.3614324,576.1501066,-328.8720262,1929.594891,,,
"R.(Y20,Y20)",0.332003826,519.6049327,-1018.07495,1018.738958,,,
"R.(Y21,Y21)",0.018893279,69.57731981,-136.3501477,136.3879342,,,
"R.(Y22,Y22)",0.011793623,15.65734734,-30.67604325,30.69963049,,,
"R.(Y23,Y23)",0.001192495,3.689162834,-7.229433793,7.231818783,,,
"R.(Y24,Y24)",0.00397225,10.22142206,-20.02964685,20.03759135,,,
"R.(Y25,Y25)",0.002731991,7.928996553,-15.53781569,15.54327967,,,
"R.(Y26,Y26)",0.011940154,40.32515684,-79.02391493,79.04779524,,,
"R.(Y27,Y27)",0.000640451,1.838584752,-3.602919445,3.604200347,,,
"R.(Y28,Y28)",0.062653604,136.2679627,-267.0176456,267.1429528,,,
"R.(Y29,Y29)",0.008902571,36.55333864,-71.63432468,71.65212982,,,
"R.(Y30,Y30)",5.824312133,3.10834364,-0.267929454,11.91655372,,,
"R.(Y31,Y31)",0.00343775,10.42088859,-20.42112858,20.42800408,,,
"R.(Y32,Y32)",0.286467827,357.9426358,-701.2682068,701.8411425,,,
"R.(Y33,Y33)",0.001419807,4.025705537,-7.888818059,7.891657672,,,
"R.(Y34,Y34)",0.17721875,0.092179828,-0.003450392,0.357887892,,,
"R.(Y35,Y35)",0.010331354,18.18998032,-35.64137496,35.66203767,,,
"R.(Y36,Y36)",0.012014862,37.8763193,-74.22420684,74.24823657,,,
"R.(Y37,Y37)",286.6146866,254.936995,-213.052642,786.2820152,,,
"R.(Y38,Y38)",0.008232392,34.32063861,-67.25898321,67.275448,,,
"R.(Y39,Y39)",0.002609515,7.746475032,-15.18020256,15.18542159,,,
"R.(Y40,Y40)",0.001436844,1.322002343,-2.589640137,2.592513825,,,
"R.(Y41,Y41)",0.033131717,125.0239692,-245.0093451,245.0756085,,,
"R.(Y42,Y42)",0.01677988,51.63572914,-101.1873895,101.2209493,,,
"R.(Y43,Y43)",0.00930655,36.5337204,-71.59546966,71.61408276,,,
"R.(Y44,Y44)",0.00928777,39.26949646,-76.95751099,76.97608653,,,
"R.(Y45,Y45)",0.491711263,0.714217473,-0.908129261,1.891551787,,,
"R.(Y46,Y46)",0.129306012,213.4656356,-418.2556517,418.5142637,,,
"R.(Y47,Y47)",0.00327688,10.07714001,-19.74755461,19.75410837,,,
"R.(Y48,Y48)",0.002737196,8.267864684,-16.20197981,16.20745421,,,
"R.(Y49,Y49)",0.109984484,350.2351738,-686.3383423,686.5583113,,,
"R.(Y50,Y50)",0.019500643,69.27903457,-135.764912,135.8039133,,,
"R.(Y51,Y51)",0.241326214,88.26373436,-172.7524143,173.2350667,,,
"R.(Y52,Y52)",0.01101695,27.11317074,-53.1298212,53.1518551,,Qmin,Qmax
"Q.(X.Y1,X.Y1)",369.942381,251.4376833,-122.8664227,862.7511846,,0.000000,1499.411265
"Q.(X.Y2,X.Y2)",0.084197728,79.92684328,-156.5695365,156.7379319,,,
"Q.(X.Y3,X.Y3)",24.187037,16.44743041,-8.049334243,56.42340825,,,
"Q.(X.Y4,X.Y4)",74.14405883,59.2612571,-42.00587077,190.2939884,,,
"Q.(X.Y5,X.Y5)",48.63440642,107.649103,-162.3539584,259.6227713,,,
"Q.(X.Y6,X.Y6)",1499.411265,1791.32311,-2011.517514,5010.340045,,,
"Q.(X.Y7,X.Y7)",25.9547034,18.2040702,-9.724618564,61.63402537,,,
"Q.(X.Y8,X.Y8)",129.2635593,123.8933725,-113.5629886,372.0901073,,,
"Q.(X.Y9,X.Y9)",8.781484658,5.988303221,-2.955373983,20.5183433,,,
"Q.(X.Y10,X.Y10)",0.00102747,1.810697517,-3.54787445,3.54992939,,,
"Q.(X.Y11,X.Y11)",108.7775742,102.4114361,-91.94515222,309.5003007,,,
"Q.(X.Y12,X.Y12)",222.4372074,180.2540175,-130.854175,575.7285899,,,
"Q.(X.Y13,X.Y13)",0.078620782,80.34895492,-157.4024371,157.5596786,,,
"Q.(X.Y14,X.Y14)",344.0118671,249.2554603,-144.5198579,832.5435922,,,
"Q.(X.Y15,X.Y15)",59.13355892,41.17042838,-21.55899794,139.8261158,,,
"Q.(X.Y16,X.Y16)",38.86399828,29.1239372,-18.21786972,95.94586629,,,
"Q.(X.Y17,X.Y17)",8.256566819,5.699955927,-2.915141512,19.42827515,,,
"Q.(X.Y18,X.Y18)",1080.257271,974.1936492,-829.1271956,2989.641737,,,
"Q.(X.Y19,X.Y19)",0.097118347,47.52633334,-93.05278332,93.24702002,,,
"Q.(X.Y20,X.Y20)",956.4078373,965.9507447,-936.8208331,2849.636508,,,
