"ID","run_date","run_minutes","states","completeness","AIC","AICc","coef.det","sigma","df","logLik","convergence","errors","Q.diag"
25.2024,2024-11-22,54.7471361319224,37,0.82,3307.81705875727,3338.86215159546,0.81223396630455,244.435045447016,76,-1577.90852937863,10,1,"30.0766407802764"
26.2024,2024-11-22,58.4419198671977,37,0.82,3419.98254137721,3492.68429576317,0.90273957627387,130.865996842547,111,-1598.9912706886,10,1,"N/A"
27.2024,2024-11-22,0.924629135926564,37,0.82,3371.13443572729,3443.83619011325,0.914104248301141,126.327583876896,111,-1574.56721786364,0,0,"N/A"
28.2024,2024-11-22,0.895225620269775,37,0.82,3685.11925006845,3715.27798022718,0.914104248301142,126.327583876896,75,-1767.55962503423,0,0,"55.4571153783204"
