"Plot Title: SGH 137"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10769296, SEN S/N: 10769296, LBL: sgh 137 temp)","RH, % (LGR S/N: 10769296, SEN S/N: 10769296, LBL: sgh 137 rh)","Good Battery (LGR S/N: 10769296)","Coupler Detached (LGR S/N: 10769296)","Bad Battery (LGR S/N: 10769296)","Coupler Attached (LGR S/N: 10769296)","Stopped (LGR S/N: 10769296)","End Of File (LGR S/N: 10769296)"
1,04/04/17 03:30:00 PM,53.776,34.710,Logged,Logged,,,,
2,04/04/17 03:40:00 PM,53.690,34.705,,,,,,
3,04/04/17 03:50:00 PM,52.903,37.767,,,,,,
4,04/04/17 04:00:00 PM,52.335,38.751,,,,,,
5,04/04/17 04:10:00 PM,51.633,38.709,,,,,,
6,04/04/17 04:20:00 PM,50.752,42.245,,,,,,
7,04/04/17 04:30:00 PM,49.561,48.198,,,,,,
8,04/04/17 04:40:00 PM,48.938,47.264,,,,,,
9,04/04/17 04:50:00 PM,48.315,47.709,,,,,,
10,04/04/17 05:00:00 PM,47.602,47.779,,,,,,
11,04/04/17 05:10:00 PM,47.691,50.069,,,,,,
12,04/04/17 05:20:00 PM,47.871,48.776,,,,,,
13,04/04/17 05:30:00 PM,47.826,50.261,,,,,,
14,04/04/17 05:40:00 PM,47.244,50.035,,,,,,
15,04/04/17 05:50:00 PM,46.796,51.842,,,,,,
16,04/04/17 06:00:00 PM,45.986,51.206,,,,,,
17,04/04/17 06:10:00 PM,45.399,55.074,,,,,,
18,04/04/17 06:20:00 PM,44.400,57.379,,,,,,
19,04/04/17 06:30:00 PM,43.534,57.039,,,,,,
20,04/04/17 06:40:00 PM,42.800,61.885,,,,,,
21,04/04/17 06:50:00 PM,42.017,63.502,,,,,,
22,04/04/17 07:00:00 PM,41.322,62.863,,,,,,
23,04/04/17 07:10:00 PM,40.719,65.334,,,,,,
24,04/04/17 07:20:00 PM,40.017,68.045,,,,,,
25,04/04/17 07:30:00 PM,39.454,69.433,,,,,,
26,04/04/17 07:40:00 PM,39.078,69.115,,,,,,
27,04/04/17 07:50:00 PM,38.653,71.196,,,Logged,,,
28,04/04/17 08:00:00 PM,38.415,72.322,,,,,,
29,04/04/17 08:10:00 PM,38.226,71.561,,,,,,
30,04/04/17 08:20:00 PM,38.037,73.180,,,,,,
31,04/04/17 08:30:00 PM,37.751,73.935,,,,,,
32,04/04/17 08:40:00 PM,37.513,74.152,,,,,,
33,04/04/17 08:50:00 PM,37.225,75.764,,,,,,
34,04/04/17 09:00:00 PM,36.986,76.968,,,,,,
35,04/04/17 09:10:00 PM,36.795,76.437,,,,,,
36,04/04/17 09:20:00 PM,36.698,76.827,,,,,,
37,04/04/17 09:30:00 PM,36.410,78.813,,,,,,
38,04/04/17 09:40:00 PM,36.217,79.660,,,,,,
39,04/04/17 09:50:00 PM,35.976,81.100,,,,,,
40,04/04/17 10:00:00 PM,35.879,81.140,,,,,,
41,04/04/17 10:10:00 PM,35.733,81.670,,,,,,
42,04/04/17 10:20:00 PM,35.541,82.607,,,,,,
43,04/04/17 10:30:00 PM,35.395,82.873,,,,,,
44,04/04/17 10:40:00 PM,35.200,82.382,,,,,,
45,04/04/17 10:50:00 PM,35.006,84.293,,,,,,
46,04/04/17 11:00:00 PM,34.858,83.630,,,,,,
47,04/04/17 11:10:00 PM,34.615,84.216,,,,,,
48,04/04/17 11:20:00 PM,34.320,85.839,,,,,,
49,04/04/17 11:30:00 PM,33.928,85.837,,,,,,
50,04/04/17 11:40:00 PM,33.584,86.982,,,,,,
51,04/04/17 11:50:00 PM,33.386,85.509,,,,,,
52,04/05/17 12:00:00 AM,33.287,85.725,,,,,,
53,04/05/17 12:10:00 AM,33.188,85.965,,,,,,
54,04/05/17 12:20:00 AM,33.089,86.231,,,,,,
55,04/05/17 12:30:00 AM,32.891,87.944,,,,,,
56,04/05/17 12:40:00 AM,32.592,86.846,,,,,,
57,04/05/17 12:50:00 AM,32.392,87.574,,,,,,
58,04/05/17 01:00:00 AM,32.342,88.044,,,,,,
59,04/05/17 01:10:00 AM,32.293,87.886,,,,,,
60,04/05/17 01:20:00 AM,32.193,87.194,,,,,,
