Serial_number:,,,,,,,,
2091639,,,,,,,,
Project ID:,,,,,,,,
ISEECI,,,,,,,,
Location:,,,,,,,,
4,,,,,,,,
LEVEL,,,,,,,,
UNIT: m,,,,,,,,
Offset: 0.000000 m,,,,,,,,
TEMPERATURE,,,,,,,,
UNIT: °C,,,,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,BARO (Pa),,Baro (m),rho
7/27/18,3:00:00 PM,0,-0.0176,30.531,,,,
7/27/18,3:10:00 PM,0,0.4678,12.791,,,,
7/27/18,3:20:00 PM,0,0.4799,12.235,,,,
7/27/18,3:30:00 PM,0,0.4833,12.028,,,,
7/27/18,3:40:00 PM,0,0.4804,11.916,,,,
7/27/18,3:50:00 PM,0,0.4775,11.846,,,,
7/27/18,4:00:00 PM,0,0.4741,11.799,,,,
7/27/18,4:10:00 PM,0,0.4718,11.766,,,,
7/27/18,4:20:00 PM,0,0.4706,11.742,,,,
7/27/18,4:30:00 PM,0,0.4688,11.724,,,,
7/27/18,4:40:00 PM,0,0.4651,11.71,81124.1,8.7366,8.2715,999.7619647
7/27/18,4:50:00 PM,0,0.4631,11.699,81121.3,8.7343,8.2712,999.7637184
7/27/18,5:00:00 PM,0,0.462,11.691,81116.6,8.7327,8.2707,999.7662308
7/27/18,5:10:00 PM,0,0.4614,11.684,81106.1,8.731,8.2696,999.7697867
7/27/18,5:20:00 PM,0,0.4604,11.678,81105,8.7299,8.2695,999.7683171
7/27/18,5:30:00 PM,0,0.4598,11.672,81098.1,8.7286,8.2688,999.7678906
7/27/18,5:40:00 PM,0,0.4602,11.667,81084.4,8.7276,8.2674,999.7682705
7/27/18,5:50:00 PM,0,0.459,11.664,81083.3,8.7263,8.2673,999.7668004
7/27/18,6:00:00 PM,0,0.4595,11.66,81072.9,8.7257,8.2662,999.7715911
7/27/18,6:10:00 PM,0,0.4579,11.658,81075.9,8.7245,8.2666,999.7602082
7/27/18,6:20:00 PM,0,0.4577,11.655,81076.5,8.7243,8.2666,999.7676069
7/27/18,6:30:00 PM,0,0.4573,11.652,81075.4,8.7238,8.2665,999.7661366
7/27/18,6:40:00 PM,0,0.4574,11.65,81075.6,8.7239,8.2665,999.7686029
7/27/18,6:50:00 PM,0,0.4571,11.648,81082.4,8.7243,8.2672,999.7677964
7/27/18,7:00:00 PM,0,0.4572,11.646,81081.9,8.7244,8.2672,999.7616312
7/27/18,7:10:00 PM,0,0.4588,11.643,81082.1,8.726,8.2672,999.7640973
7/27/18,7:20:00 PM,0,0.4598,11.639,81090.4,8.7278,8.268,999.7696929
7/27/18,7:30:00 PM,0,0.4621,11.637,81093.2,8.7304,8.2683,999.7679382
7/27/18,7:40:00 PM,0,0.4636,11.633,81099,8.7325,8.2689,999.7668949
7/27/18,7:50:00 PM,0,0.4659,11.63,81099.4,8.7349,8.269,999.7597354
7/27/18,8:00:00 PM,0,0.4676,11.628,81105,8.7371,8.2695,999.7683171
7/27/18,8:10:00 PM,0,0.4685,11.625,81116.5,8.7392,8.2707,999.7649983
7/27/18,8:20:00 PM,0,0.47,11.623,81125.2,8.7416,8.2716,999.7634341
7/27/18,8:30:00 PM,0,0.4707,11.621,81137.9,8.7436,8.2729,999.7628182
7/27/18,8:40:00 PM,0,0.4714,11.62,81150.7,8.7456,8.2742,999.7634345
7/27/18,8:50:00 PM,0,0.4719,11.619,81165.3,8.7476,8.2757,999.7620608
7/27/18,9:00:00 PM,0,0.4731,11.618,81173.5,8.7496,8.2765,999.7664192
7/27/18,9:10:00 PM,0,0.4735,11.616,81185,8.7512,8.2777,999.7631035
7/27/18,9:20:00 PM,0,0.4745,11.616,81198.5,8.7536,8.2791,999.7602624
7/27/18,9:30:00 PM,0,0.4757,11.615,81204.8,8.7554,8.2797,999.7653768
7/27/18,9:40:00 PM,0,0.4777,11.615,81204.7,8.7574,8.2797,999.7641456
7/27/18,9:50:00 PM,0,0.4784,11.614,81211.2,8.7588,8.2804,999.7596476
7/27/18,10:00:00 PM,0,0.4798,11.614,81215.7,8.7606,8.2808,999.7667498
7/27/18,10:10:00 PM,0,0.4799,11.613,81224.5,8.7616,8.2817,999.7664182
7/27/18,10:20:00 PM,0,0.4812,11.613,81231.4,8.7636,8.2824,999.7668441
7/27/18,10:30:00 PM,0,0.4824,11.612,81241.2,8.7658,8.2834,999.7667491
7/27/18,10:40:00 PM,0,0.4832,11.612,81245,8.767,8.2838,999.7652345
7/27/18,10:50:00 PM,0,0.4851,11.612,81240.5,8.7685,8.2834,999.7581348
7/27/18,11:00:00 PM,0,0.4861,11.612,81241.1,8.7695,8.2834,999.7655185
7/27/18,11:10:00 PM,0,0.4879,11.611,81235.1,8.7707,8.2828,999.7640985
7/27/18,11:20:00 PM,0,0.4889,11.611,81234.9,8.7717,8.2828,999.7616371
7/27/18,11:30:00 PM,0,0.4898,11.611,81234.2,8.7725,8.2827,999.7650926
7/27/18,11:40:00 PM,0,0.4911,11.611,81230.3,8.7734,8.2823,999.7653766
7/27/18,11:50:00 PM,0,0.492,11.611,81231.8,8.7745,8.2825,999.7596962
7/28/18,12:00:00 AM,0,0.4931,11.611,81227.5,8.7751,8.282,999.7671282
7/28/18,12:10:00 AM,0,0.4942,11.611,81224.1,8.7759,8.2817,999.7614947
7/28/18,12:20:00 AM,0,0.4951,11.611,81225.6,8.7769,8.2818,999.7678857
7/28/18,12:30:00 AM,0,0.4951,11.611,81234.5,8.7778,8.2827,999.7687847
7/28/18,12:40:00 AM,0,0.4965,11.611,81236.8,8.7795,8.283,999.7608799
7/28/18,12:50:00 AM,0,0.4973,11.611,81233.6,8.78,8.2827,999.7577083
