"","timestamp","well_id","water_binary","ground_to_water","observation_period"
"213",2018-08-10,"EER-1",1,-43.2946866666667,"6"
"214",2018-08-10,"EET-1",1,-89.5436458333333,"6"
"215",2018-08-10,"EFF-XA2N",1,-36.3686666666667,"6"
"216",2018-08-10,"EFR-XB1S",1,-46.2373333333333,"6"
"217",2018-08-10,"EHF-XA3S",0,-67.1441025633333,"6"
"218",2018-08-10,"EHR-1",1,-70.0047069590476,"6"
"219",2018-08-10,"EHT-XA5S",0,-106.940232312667,"6"
"220",2018-08-10,"EHT-XB5S",0,-128.32475,"6"
"221",2018-08-10,"EWF-XA2S",0,-52.7855,"6"
"222",2018-08-10,"EWR-1",1,-25.0085333333333,"6"
"223",2018-08-10,"EWT-1",1,-95.0936666666667,"6"
"224",2018-08-10,"KEF-1",1,-4.96666666666667,"6"
"225",2018-08-10,"KER-1",1,-74.4,"6"
"226",2018-08-10,"KER-XE3S",1,NA,"6"
"227",2018-08-10,"KFF-XD6S",0,-97.4333333333333,"6"
"228",2018-08-10,"KFF-XE8S",0,-50.3845833333333,"6"
"229",2018-08-10,"KFR-XE1S",1,-60.3833333333333,"6"
"230",2018-08-10,"KFR-XE2S",1,-7.0025,"6"
"231",2018-08-10,"KHF-1",0,-81.08333335,"6"
"232",2018-08-10,"KHF-XD4S",0,-81.965,"6"
"233",2018-08-10,"KHR-XD2N",1,-59.5841666666667,"6"
"234",2018-08-10,"KHR-XE2N",1,-65.6566666666667,"6"
"235",2018-08-10,"KHT-XD6N",0,-95.3550000166667,"6"
"236",2018-08-10,"KHT-XE4S",1,-63.095,"6"
"237",2018-08-10,"KHT-XE5S",1,-91.1091666666667,"6"
"238",2018-08-10,"KHT-XE6S",0,-102.376666666667,"6"
"239",2018-08-10,"KWF-1",1,-80.6,"6"
"240",2018-08-10,"KWR-1",1,-32.7833333333333,"6"
"241",2018-08-10,"KWR-XE1N",1,-45.4333333333333,"6"
"242",2018-08-10,"KWT-1",0,-81.1,"6"
"256",2018-08-24,"EEF-1",1,-2.417,"7"
"257",2018-08-24,"EER-1",1,-41.82802,"7"
"258",2018-08-24,"EET-1",0,-88.6803125,"7"
"259",2018-08-24,"EFF-XA2N",1,-32.6686666666667,"7"
"260",2018-08-24,"EFR-XB1S",1,-46.104,"7"
"261",2018-08-24,"EHF-XA3S",0,-67.1441025633333,"7"
"262",2018-08-24,"EHR-1",1,-66.6380402923809,"7"
"263",2018-08-24,"EHT-XA5S",0,-106.940232312667,"7"
"264",2018-08-24,"EHT-XB5S",0,-128.32475,"7"
"265",2018-08-24,"EWF-XA2S",0,-52.7855,"7"
"266",2018-08-24,"EWR-1",1,-23.6752,"7"
"267",2018-08-24,"EWT-1",0,-93.387,"7"
"268",2018-08-25,"KEF-1",1,-5.2,"7"
"269",2018-08-25,"KER-1",0,-68.3,"7"
"270",2018-08-25,"KER-XE3S",1,NA,"7"
"271",2018-08-25,"KFR-XE1S",1,-61.45,"7"
"272",2018-08-25,"KFR-XE2S",1,-8.9025,"7"
"273",2018-08-25,"KHF-1",0,-81.08333335,"7"
"274",2018-08-25,"KHR-XD2N",1,-60.8841666666667,"7"
"275",2018-08-25,"KHR-XE2N",1,-66.49,"7"
"276",2018-08-25,"KHT-XD6N",0,-95.3550000166667,"7"
"277",2018-08-25,"KHT-XE4S",1,-68.12,"7"
"278",2018-08-25,"KHT-XE5S",1,-93.2091666666666,"7"
"279",2018-08-25,"KWF-1",1,-83.3666666666666,"7"
"280",2018-08-25,"KWR-1",1,-34.5166666666667,"7"
"281",2018-08-25,"KWR-XE1N",1,-47.2,"7"
"303",2018-09-16,"EEF-1",1,-2.917,"8"
"304",2018-09-16,"EER-1",1,-36.62802,"8"
"305",2018-09-16,"EET-1",0,-88.6803125,"8"
"306",2018-09-16,"EFF-XA2N",1,-30.602,"8"
"307",2018-09-16,"EFR-XB1S",1,-47.2373333333333,"8"
"308",2018-09-16,"EHF-XA3S",0,-67.1441025633333,"8"
"309",2018-09-16,"EHR-1",1,-58.5713736257143,"8"
"310",2018-09-16,"EHT-XA5S",NA,NA,"8"
"311",2018-09-16,"EHT-XB5S",0,-128.32475,"8"
"312",2018-09-16,"EWF-XA2S",0,-52.7855,"8"
"313",2018-09-16,"EWR-1",1,-22.6085333333333,"8"
"314",2018-09-16,"EWT-1",0,-93.387,"8"
"315",2018-09-16,"KEF-1",1,-9.56666666666667,"8"
"316",2018-09-16,"KER-1",0,-68.3,"8"
"317",2018-09-16,"KER-XE3S",1,NA,"8"
"318",2018-09-16,"KFR-XE1S",1,-61.3833333333333,"8"
"319",2018-09-16,"KFR-XE2S",1,-10.0358333333333,"8"
"320",2018-09-16,"KHF-1",1,-77.3833333333333,"8"
"321",2018-09-16,"KHR-XD2N",1,-57.5841666666667,"8"
"322",2018-09-16,"KHR-XE2N",1,-65.7566666666667,"8"
"323",2018-09-16,"KHT-XD6N",0,-95.3550000166667,"8"
"324",2018-09-16,"KHT-XE4S",1,-65.42,"8"
"325",2018-09-16,"KHT-XE5S",1,-88.2758333333333,"8"
"326",2018-09-16,"KHT-XE6S",0,-102.376666666667,"8"
"327",2018-09-16,"KWF-1",1,-79.3333333333333,"8"
"328",2018-09-16,"KWR-1",1,-36.35,"8"
"329",2018-09-16,"KWR-XE1N",1,-48.1,"8"
"330",2018-09-16,"KWT-1",0,-81.1,"8"
"343",2018-09-29,"EEF-1",1,-1.217,"9"
"344",2018-09-29,"EER-1",1,-33.1613533333333,"9"
"345",2018-09-29,"EET-1",0,-88.6803125,"9"
"346",2018-09-29,"EFF-XA2N",1,-23.102,"9"
"347",2018-09-29,"EFR-XB1S",1,-47.004,"9"
"348",2018-09-29,"EHF-XA3S",0,-67.1441025633333,"9"
"349",2018-09-29,"EHR-1",1,-57.9713736257143,"9"
"350",2018-09-29,"EHT-XA5S",0,-106.940232312667,"9"
"351",2018-09-29,"EHT-XB5S",0,-128.32475,"9"
"352",2018-09-29,"EWF-XA2S",0,-52.7855,"9"
"353",2018-09-29,"EWR-1",1,-20.1752,"9"
"354",2018-09-29,"EWT-1",0,-93.387,"9"
"356",2018-10-01,"KEF-1",1,-6.16666666666667,"9"
"357",2018-10-01,"KER-1",0,-68.3,"9"
"358",2018-10-01,"KER-XE3S",1,NA,"9"
"359",2018-10-01,"KFF-XD6S",0,-97.4333333333333,"9"
