Well Name,Time,Top To Water(cm),Well Top To Ground(cm),Water Height Relative To Ground(cm),Logger?,Water?,Meter Version,FullWellLength(cm)
EEF-1,6/1/18 7:45,60.96,59.3725,-4.931309524,NaN,1,v1,NaN
EEF-1,6/1/18 7:45,60.96,59.3725,-4.931309524,NaN,1,v1,NaN
EEF-1,6/1/18 7:45,61.595,59.3725,-5.566309524,NaN,1,v1,NaN
EEF-1,6/18/18 8:32,57.4675,59.69,-1.121309524,NaN,1,v1,NaN
EEF-1,6/18/18 8:32,57.4675,59.69,-1.121309524,NaN,1,v1,NaN
EEF-1,6/18/18 8:32,57.785,59.69,-1.438809524,NaN,1,v1,NaN
EEF-1,6/30/18 8:55,60.96,59.4525,-4.851309524,NaN,1,v1,NaN
EEF-1,6/30/18 8:55,60.96,59.4525,-4.851309524,NaN,1,v1,NaN
EEF-1,6/30/18 8:55,60.96,59.4525,-4.851309524,NaN,1,v1,NaN
EEF-1,7/16/18 8:40,72.5,59.8,-17.295,NaN,1,v2,NaN
EEF-1,7/16/18 8:40,72.5,59.8,-17.295,NaN,1,v2,NaN
EEF-1,7/16/18 8:40,72.5,59.8,-17.295,NaN,1,v2,NaN
EEF-1,7/25/18 8:16,80,59.8,-24.795,1,1,v2,NaN
EEF-1,7/25/18 8:16,80,59.8,-24.795,NaN,1,v2,NaN
EEF-1,7/25/18 8:16,79.8,59.8,-24.595,NaN,1,v2,NaN
EEF-1,8/10/18 7:20,63.4,59.4525,-7.5475,NaN,1,v3,NaN
EEF-1,8/10/18 7:20,63.5,59.4525,-7.6475,NaN,1,v3,NaN
EEF-1,8/10/18 7:20,63.5,59.4525,-7.6475,NaN,1,v3,NaN
EEF-1,8/24/18 8:39,58.5,58.6,-3.5,NaN,1,v3,NaN
EEF-1,8/24/18 8:39,58,58.6,-3,NaN,1,v3,NaN
EEF-1,8/24/18 8:39,58.1,58.6,-3.1,1,1,v3,NaN
EEF-1,9/16/18 7:57,58.9,59.4525,-3.0475,1,1,v3,NaN
EEF-1,9/16/18 7:57,58.7,59.4525,-2.8475,1,1,v3,NaN
EEF-1,9/16/18 7:57,58.5,59.4525,-2.6475,1,1,v3,NaN
