#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil texture code,gravel size,gravel amount
,B3S,8/12/19,orange p106,79.0,100.0,,,,"HO, woody chunks, roots > 2.5 cm",clay,saturated,"C/C, M/VF-M",,,,clay,,C,,
,B3S,8/12/19,orange p106,100.0,112.0,,,,,"sandy clay, XFGR",saturated,"F/M, C/VF-F",,,,sandy clay,XFGR,SC,,0.0
,,,,,,,,,,,,,,,,,,,,
24.0,E8S,6/6/21,yellow p49,0.0,12.0,,,O,"HO, peat, grassy",,wet non-satiated,"M/VF-F, F/M, VF/C","10 YR, 2/1",,well replacement,,,,,
,E8S,6/6/21,yellow p49,12.0,25.0,,,A,HO,clay,wet,"M/VF-F, F/M","5 YR, 2.5/1",,,clay,,C,,
,E8S,6/6/21,yellow p49,25.0,41.0,,,A,,"clay, FGR",wet,"C/VF-F, F/M","7.5 YR, 2.5/1",,,clay,FGR,C,"(2, 5)","(0.15, 0.35)"
,E8S,6/6/21,yellow p49,41.0,55.0,,,B,,"clay, VFGR",saturated,"F/F, F/M","7.5 YR, 3/1",,,clay,VFGR,C,,0.0
,E8S,6/6/21,yellow p49,55.0,66.0,,,C,,"clay, VFGR",saturated,F/F,"10 YR, 5/3",,,clay,VFGR,C,,0.0
,E8S,6/6/21,yellow p49,66.0,80.0,,,C,,"sandy clay, XGR",saturated,VF/F,"10 YR, 5/3",,,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,E8S,6/6/21,yellow p49,80.0,90.0,,,C,,"sand, XGR",saturated,VF/F,"10 YR, 5/3",,,sand,XGR,S,"(5, 20)","(0.6, 0.9)"
,E8S,6/6/21,yellow p49,90.0,100.0,,,C,,"sandy clay, FGR",saturated,VF/VF,"10 YR, 4/3",,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,E8S,6/6/21,yellow p49,100.0,115.0,,,C,,"sandy clay, VGR",saturated,,"7.5 YR, 4/3",,,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,E8S,6/6/21,yellow p49,115.0,121.0,,,,,"sand, XGR",saturated,,"7.5 YR, 4/6",,,sand,XGR,S,"(5, 20)","(0.6, 0.9)"
,,,,,,,,,,,,,,,,,,,,
25.0,KWT-1,6/29/21,yellow p55,78.0,98.0,,,,,loamy sand,wet,,,,"deepened well, prior depth of well = 78 cm",loamy sand,,LS,,
,KWT-1,6/29/21,yellow p55,98.0,113.0,,,,,loam,wet non-satiated,,"7.5 YR, 3/3",,,loam,,L,,
,KWT-1,6/29/21,yellow p55,113.0,121.0,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4",,,sandy clay loam,,SCL,,
,KWT-1,6/29/21,yellow p55,121.0,125.0,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4; rose and orange-red mottled pebbles, 2-4 mm",,,sandy clay loam,,SCL,,
,KWT-1,6/29/21,yellow p55,125.0,131.0,,,,,sandy clay loam,wet non-satiated,,"10 YR 3/4; rose and orange-red mottled pebbles, 2-8 mm",,,sandy clay loam,,SCL,,
,KWT-1,6/29/21,yellow p55,131.0,136.0,,,,,sandy clay loam,wet,,"10 YR 3/4; rose, red-orange and blue mottled pebbles",,rock 4.5 cm,sandy clay loam,,SCL,,
,KWT-1,6/29/21,yellow p55,136.0,147.0,,,,,"sandy clay, VGR",wet,,"10 YR 4/4; rose, red-orange and blue mottled pebbles",,"rock 5 cm, subangular",sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,,,,,,,,,,,,,,,,,,,,
26.0,D6N,6/29/21,yellow p55,99.0,116.0,,,,,silty clay,moist,"M/VF-F, C/M","7.5 YR, 2.5/3",,deepened well from 99 cm,silty clay,,SIC,,
,D6N,6/29/21,yellow p55,116.0,136.0,,,,,"sandy clay, FGR",wet non-satiated,C/VF-F,"7.5 YR, 4/2",,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,D6N,6/29/21,yellow p55,136.0,155.0,,,,,"clay, FGR",saturated,F/VF-C,"mottled rocks 5 Y, 5/1 + 10 YR 4/6 + 2.5 Y 6/8 (olive yellow)",,groundwater level measured at 3.73 ft from ground,clay,FGR,C,"(2, 5)","(0.15, 0.35)"
,D6N,6/29/21,yellow p55,155.0,161.0,,,,,"clay, CGR",saturated,F/VF-F,"10 YR, 5/4",,subangular gravel,clay,CGR,C,"(20, 76)","(0.15, 0.35)"
,D6N,6/29/21,yellow p55,161.0,177.0,,,,live root fibers,"sandy clay, VGR",saturated,"F/C, C/VF-F","10 YR, 5/1 (grayer); white, rose and orange mottled",,"subangular gravel, mottled",sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,D6N,6/29/21,yellow p55,177.0,188.0,,,,,"sandy clay, VGR",saturated,C/VF-F,"7.5 YR, 5/1;  white, rose and orange mottled",,large sand and subangular gravel,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,D6N,6/29/21,yellow p55,188.0,196.0,,,,live root fibers,"sandy clay, VFGR",saturated,C/VF-F,"7.5 YR, 5/1;  white, rose and orange mottled",,fine gravels and pebbles,sandy clay,VFGR,SC,,0.0
,,,,,,,,,,,,,,,,,,,,
27.0,KHF-1,6/29/21,yellow p55,84.0,100.0,,,,,"sandy clay, FGR",wet non-satiated,F/VF,7.5 YR 3/3,,"gravel sub-rounded; deepened well, prior depth 84 cm",sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/29/21,yellow p55,100.0,111.0,,,,,"sandy clay, VFGR",wet non-satiated,,7.5 YR 3/3,,gravel sub-rounded,sandy clay,VFGR,SC,,0.0
,KHF-1,6/29/21,yellow p55,111.0,140.0,,,,,"sandy clay, VFGR",wet non-satiated,F/VF-F,"7.5 YR, 3/4",,gravel subangular,sandy clay,VFGR,SC,,0.0
,KHF-1,6/29/21,yellow p55,140.0,149.0,,,,,"clay, XCGR",wet non-satiated,F/VF,"7.5 YR, 3/4",,gravel subangular,clay,XCGR,C,,0.0
,KHF-1,6/29/21,yellow p55,149.0,167.0,,,,,"clay, XCGR",saturated,F/VF,"10 YR, 3/6",,"a few 50-60 mm gravels, subangular",clay,XCGR,C,,0.0
,,,,,,,,,,,,,,,,,,,,
28.0,EHT-XA5S,7/15/21,yellow p74,0.0,12.0,,,O,fibrous,,dry,M/VF-C,,,augured completely new well hole; previous well depth was 114.5 cm; this was deepest of 4 trial holes,,,,,
,EHT-XA5S,7/15/21,yellow p74,12.0,32.0,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 3/1",,,silty clay,,SIC,,
,EHT-XA5S,7/15/21,yellow p74,32.0,42.0,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 4/1",,,silty clay,,SIC,,
,EHT-XA5S,7/15/21,yellow p74,42.0,63.0,,,,,silty clay,dry,"C/VF-F, F/M","7.5 YR, 4/1",,,silty clay,,SIC,,
,EHT-XA5S,7/15/21,yellow p74,63.0,74.0,,,,,sandy clay,dry,F/VF-M,"7.5 YR, 4/1",,,sandy clay,,SC,,
,EHT-XA5S,7/15/21,yellow p74,74.0,85.0,,,,,sandy clay,moist,VF/VF,"10 YR, 4/1; orange mottled",,,sandy clay,,SC,,
,EHT-XA5S,7/15/21,yellow p74,85.0,103.0,,,,,sandy clay,moist,"VF/M, C/VF-F","10 YR, 3/1; orange mottled",,,sandy clay,,SC,,
,EHT-XA5S,7/15/21,yellow p74,103.0,130.0,,,,fibrous,clay,moist,F/VF,"10 YR, 5/2; orange mottled",,coarse gravel <15%,clay,,C,,
,EHT-XA5S,7/15/21,yellow p74,130.0,131.0,,,,,GR,,,,,unable to auger past rock and gravel,gr,,,,
,,,,,,,,,,,,,,,,,,,,
29.0,EWT-1,7/15/21,yellow p77,109.0,120.0,,,,,sandy clay,moist,F/VF-F,"10 YR, 5/4; orange mottled",,"coarse sand, mottled",sandy clay,,SC,,
,EWT-1,7/15/21,yellow p77,120.0,148.0,,,,,sandy clay,moist,F/VF,"10 YR, 5/4; orange mottled",,"finer sand, mottled",sandy clay,,SC,,
,EWT-1,7/15/21,yellow p77,148.0,151.0,,,,,sandy clay,saturated,F/VF,"10 YR, 5/3",,,sandy clay,,SC,,
,EWT-1,7/15/21,yellow p77,151.0,152.0,,,,,GR,,,,,"hit rock, could not auger beyond it",gr,,,,
,,,,,,,,,,,,,,,,,,,,
30.0,EET-2,7/15/21,yellow p77,115.0,128.0,,,,,sandy clay,moist,C/VF-F,"2.5 Y, 6/2; yellow-orange-green mottled",,,sandy clay,,SC,,
,EET-2,7/15/21,yellow p77,128.0,130.0,,,,,GR,moist,,,,thin layer of coarse gravel 28-40 mm,gr,,,,
,EET-2,7/15/21,yellow p77,130.0,135.0,,,,fibrous,sandy clay,moist,C/M,"2.5 Y, 5/2",,coarse sand,sandy clay,,SC,,
,EET-2,7/15/21,yellow p77,135.0,136.0,,,,,GR,,,,,"hit rock(s), cannot auger beyond",gr,,,,
,,,,,,,,,,,,,,,,,,,,
31.0,A3S,7/16/21,yellow p77,97.0,98.0,,,,,GR,,,,,"attempted to deepen well, could not auger deeper than 97 cm, hit rock",gr,,,,
,,,,,,,,,,,,,,,,,,,,
32.0,A2S,7/16/21,yellow p77,0.0,17.0,,,O,,,dry,M/VF-C,,,"could not deepen existing well, tried to auger new well",,,,,
,A2S,7/16/21,yellow p77,17.0,25.0,,,A,,"clay, VFGR",dry,M/VF-C,"7.5 YR, 2.5/1",,coarse sand to fine gravel; also slightly mucky,clay,VFGR,C,,0.0
,A2S,7/16/21,yellow p77,25.0,45.0,,,,,"clay, XGR",dry,M/VF-C,,,"hit rocks, could not auger deeper; unclear if abandoned this hole, the previous one was likely deeper",clay,XGR,C,"(5, 20)","(0.6, 0.9)"
,,,,,,,,,,,,,,,,,,,,
33.0,"E6S, failed",7/16/21,yellow p77,114.0,115.0,,,,,sandy clay,moist,C/VF-F,"7.5 YR, 3/3; orange mottled",,"10% pebbles; tried to deepen existing well, started at 115 cm but that layer may be mixed origins",sandy clay,,SC,,
,"E6S, failed",7/16/21,yellow p77,115.0,128.0,,,,,"sandy clay, FGR",moist,F/VF-F,"7.5 YR, 5/3",,gravel subangular,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,"E6S, failed",7/16/21,yellow p77,128.0,138.0,,,,,"sandy clay, VGR",moist,F/VF-F,"7.5 YR, 4/1",,"gravel subangular, coarsening",sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,"E6S, failed",7/16/21,yellow p77,128.0,151.0,,,,,"sandy clay, VGR",moist,F/VF-F,"10 YR, 4/2",,"gravel subangular, coarsening further",sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,"E6S, failed",7/16/21,yellow p77,151.0,152.0,,,,,GR,,,,,"hit rock, seemed big",gr,,,,
,,,,,,,,,,,,,,,,,,,,
33.0,E6S,7/16/21,yellow p78,0.0,13.0,,,O,humus,,dry,M/VF-M,"5 YR, 3/2",,deepened original,,,,,
,E6S,7/16/21,yellow p78,13.0,32.0,,,,HO,"clay loam, FGR",dry-moist,"M/VF-F, C/M","5 YR, 2.5/1",,,clay loam,FGR,CL,"(2, 5)","(0.15, 0.35)"
,E6S,7/16/21,yellow p78,32.0,38.0,,,,,clay loam,dry,"C/VF, F/F","7.5 YR, 3/2",,fine gravel < 35%,clay loam,,CL,,
,E6S,7/16/21,yellow p78,38.0,46.0,,,,,silty clay,dry,F/VF,"7.5 YR, 3/3",,fine gravel < 35%,silty clay,,SIC,,
,E6S,7/16/21,yellow p78,46.0,60.0,,,,,"silty clay, FGR",dry,F/VF-F,"7.5 YR, 4/2",,gravel sub-rounded,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,E6S,7/16/21,yellow p78,60.0,68.0,,,,,"sandy clay, VFGR",dry-moist,F/VF-F,"7.5 YR, 5/3",,,sandy clay,VFGR,SC,,0.0
,E6S,7/16/21,yellow p78,68.0,80.0,,,,,"sandy clay, VFGR",moist,F/VF-F,"7.5 YR, 5/3",,,sandy clay,VFGR,SC,,0.0
,E6S,7/16/21,yellow p78,80.0,91.0,,,,,sandy clay,moist,F/VF-F,"7.5 YR, 5/4; orange mottled",,,sandy clay,,SC,,
,E6S,7/16/21,yellow p78,91.0,116.0,,,C,,"clay, FGR",moist,F/VF-F,"7.5 YR, 5/4; orange mottled, purple fragments",,,clay,FGR,C,"(2, 5)","(0.15, 0.35)"
,E6S,7/16/21,yellow p78,116.0,128.0,,,C,,"clay, VFGR",moist,F/VF-F,"7.5 YR 4/3; red-orange, purple, gray fragments",,,clay,VFGR,C,,0.0
,E6S,7/16/21,yellow p78,128.0,131.0,,,C,,"clay, VFGR",moist,F/VF-F,"10 YR 4/2; red, red-orange, purple, gray fragments",,,clay,VFGR,C,,0.0
,E6S,7/16/21,yellow p78,131.0,147.0,,,C,fibrous,"clay, VFGR",moist,VF/VF,"10 YR 4/2; red, red-orange, purple, gray fragments",,"a few gravels, 30-40 mm",clay,VFGR,C,,0.0
,E6S,7/16/21,yellow p78,147.0,154.0,,,C,fibrous,"sandy clay, XGR",moist,VF/VF,10 YR 4/2; strong orange mottle direct from fragments,,,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,E6S,7/16/21,yellow p78,154.0,161.0,,,,,"sandy clay, VGR",wet,,"7.5 YR, 4/3",,gravel subangular to 40 mm,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,E6S,7/16/21,yellow p78,161.0,173.0,,,,,"sandy clay, VGR",wet,VF/VF,"7.5 YR, 4/4",,gravel subangular to 40 mm,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,E6S,7/16/21,yellow p78,173.0,182.0,,,,,"clay, XFGR",saturated,,10 YR 3/6,,iron-stained water,clay,XFGR,C,,0.0
,E6S,7/16/21,yellow p78,182.0,183.0,,,,,GR,saturated,,,,"hit rock(s), could not auger beyond them.",gr,,,,
,,,,,,,,,,,,,,,,,,,,
33.0,E5S,7/16/21,yellow p77,100.0,108.0,,,,,"sandy clay, VFGR",wet,C/VF-M,"10 YR, 4/4",,gravel sub-rounded; deepened original well,sandy clay,VFGR,SC,,0.0
,E5S,7/16/21,yellow p77,108.0,113.0,,,,,"sandy clay, GR",wet,C/VF-M,"10 YR, 4/1; orange mottled, more gray",,gravel sub-rounded to 40 mm,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,E5S,7/16/21,yellow p77,113.0,120.0,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 4/3; orange mottled",,gravel sub-rounded to 40 mm,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,E5S,7/16/21,yellow p77,120.0,126.0,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,E5S,7/16/21,yellow p77,126.0,130.0,,,,,"sandy clay, GR",saturated,C/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,E5S,7/16/21,yellow p77,130.0,138.0,,,,,"sandy clay, XGR",saturated,F/VF-F,"10 YR, 4/4",,gravel sub-rounded to 40 mm,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,E5S,7/16/21,yellow p77,138.0,150.0,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4",,finer gravel,sandy clay,XFGR,SC,,0.0
,E5S,7/16/21,yellow p77,150.0,165.0,,,,,"sandy clay, XGR",saturated,,"10 YR, 3/6",,"gravel sub-angular, larger to 45 mm",sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,E5S,7/16/21,yellow p77,165.0,179.0,,,,,FGR,saturated,,,,"gravel rounded, mostly 2-4 mm, a few to 16 mm",fgr,,,,
,,,,,,,,,,,,,,,,,,,,
34.0,EER-1,6/5/24,yellow p137,70.0,74.0,,,,,"clay, GR",,,,,"transition from clay to rounded gravels; replaced well, seemed to be frost-heaved, unable to deepen",clay,GR,C,"(5, 20)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,
35.0,KWF-2,6/11/25,2015-25 Or V3 p60,0.0,7.0,,,O,,,moist,"M/VF, C/F","2.5 YR, 2.5/1",,"augered at Kiln3 camera, but abandoned due to cobbles at 66 cm, which didn't seem deep enough to support a viable well",,,,,
,KWF-2,6/11/25,2015-25 Or V3 p60,7.0,14.0,,,Oa,,silty clay,moist,"M/VF, F/F, VF/C","10 YR, 2/1",,"loose, spongy",silty clay,,SIC,,
,KWF-2,6/11/25,2015-25 Or V3 p60,14.0,27.0,,,A,,clay,moist,"M/VF, C/F, F/M, VF/C","10 YR, 2/2",,cohesive,clay,,C,,
,KWF-2,6/11/25,2015-25 Or V3 p60,27.0,40.0,,,A,,clay,moist,"M/VF, C/F","2.5 YR, 2.5/1","concentrations common, 2-5 mm",cohesive,clay,,C,,
,KWF-2,6/11/25,2015-25 Or V3 p60,40.0,51.0,,,A/B,,"clay, MGR",wet,"M/VF, C/F","2.5 YR, 3/1","concentrations many, 2-5 mm",gravel subangular,clay,MGR,C,"(5, 20)","(0.15, 0.35)"
,KWF-2,6/11/25,2015-25 Or V3 p60,51.0,63.0,,,A/Bg,,"sandy clay, CB",saturated,"M/VF, C/F","2.5 YR, 4/1; gray mottle GLEY1 4/N + 2.5/N",,cobble subangular,sandy clay,CB,SC,,0.0
,KWF-2,6/11/25,2015-25 Or V3 p60,63.0,66.0,,,,,VCB,saturated,,,,cobble subangular,vcb,,,,
,,,,,,,,,,,,,,,,,,,,
36.0,"KWT-2, abandoned",6/14/25,2015-25 Or V3 p62,0.0,4.0,,,Oi,,thatch,,,,,,thatch,,,,
,"KWT-2, abandoned",6/14/25,2015-25 Or V3 p62,4.0,18.0,,,Oa,,loam,moist,"M/VF-F, F/M","5 YR, 2.5/1",,"crumbly, FGR + MGR 10-15%",loam,,L,,
,"KWT-2, abandoned",6/14/25,2015-25 Or V3 p62,18.0,38.0,,,A,,"clay loam, MGR",moist,"C/M, M/VF-F","5 YR, 3/1",,gravel subangular to sub-rounded,clay loam,MGR,CL,"(5, 20)","(0.15, 0.35)"
,"KWT-2, abandoned",6/14/25,2015-25 Or V3 p62,38.0,60.0,,,A,,"sandy clay, MGR, CGR",moist,"C/VF, M/F, F/M","5 YR, 4/1",,gravel subangular,sandy clay,"MGR, CGR",SC,"(5, 20)","(0.15, 0.35)"
,"KWT-2, abandoned",6/14/25,2015-25 Or V3 p62,60.0,68.0,,,A/B,,"sandy clay, FGR, CGR",wet,C/VF-F,"5 YR, 4/1; multicolor mottle around FGR",,gravel subangular,sandy clay,"FGR, CGR",SC,"(2, 5)","(0.15, 0.35)"
,"KWT-2, abandoned",6/14/25,2015-25 Or V3 p62,68.0,69.0,,,,,VCB,,,,,"stuck on cobble, could not auger beyond it",vcb,,,,
,,,,,,,,,,,,,,,,,,,,
36.0,KWT-2,6/14/25,2015-25 Or V3 p62,0.0,6.0,,,Oi,,thatch,,,,,,thatch,,,,
,KWT-2,6/14/25,2015-25 Or V3 p62,6.0,10.0,,,Oa,,loam,moist,"F/M-C, M/VF-F","5 YR, 2.5/1",,crumbly,loam,,L,,
,KWT-2,6/14/25,2015-25 Or V3 p62,10.0,38.0,,,A,,clay,moist,"M/VF-F, C/M","5 YR, 2.5/1",,,clay,,C,,
,KWT-2,6/14/25,2015-25 Or V3 p62,38.0,60.0,,,A,fibrous,"sandy clay, VMGR",saturated,C/VF-F,"5 YR, 2.5/1",,gravel subangular,sandy clay,VMGR,SC,,0.0
,KWT-2,6/14/25,2015-25 Or V3 p62,60.0,75.0,,,A,many fibrous clumps,"clay, VMGR",saturated,"M/F, C/VF","5 YR, 2.5/1",,gravel sub-rounded,clay,VMGR,C,,0.0
,KWT-2,6/14/25,2015-25 Or V3 p62,75.0,91.0,,,A,many fibrous clumps,clay,saturated,M/VF-F,"5 YR, 2.5/1",,,clay,,C,,
,KWT-2,6/14/25,2015-25 Or V3 p62,91.0,92.0,,,,,VCB,,,,,"hit rock, installed well on top",vcb,,,,
,,,,,,,,,,,,,,,,,,,,
37.0,EWT-2,6/12/25,2015-25 Or V3 p64,0.0,2.5,,,O,thatch,,dry,,,,"bunchgrass at top, mislabeled as EWF-1 in field book but name changed to EWT-2",,,,,
,EWT-2,6/12/25,2015-25 Or V3 p64,2.5,8.0,,,Oi,fibrous,,moist,"M/VF-F, VF/M","5 YR, 3/1",,,,,,,
,EWT-2,6/12/25,2015-25 Or V3 p64,8.0,16.0,,,Oe,fibrous,,moist,"M/VF-F, VF/M","5 YR, 3/1",,,,,,,
,EWT-2,6/12/25,2015-25 Or V3 p64,16.0,27.0,,,A,,"sandy clay, MGR",moist,"M/VF-F, F/M","10 YR, 2/1",,gravel subangular,sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,27.0,38.0,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 2/1",,"few coarse gravel, subangular",sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,38.0,48.0,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 4/1",,"some fine gravel, subangular",sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,48.0,69.0,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 4/2",,"gravel sub-rounded, more sand",sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,69.0,80.0,,,B,,"sandy clay, VMGR",wet,C/VF-F,"10 YR, 5/3","concentrations common, 2-5 mm, 10 YR 4/4",gravel sub-rounded,sandy clay,VMGR,SC,,0.0
,EWT-2,6/12/25,2015-25 Or V3 p64,80.0,98.0,,,B,,"sandy clay, VFGR, MGR",wet,C/VF-F,"10 YR, 5/3","concentrations common, 2-5 mm, 10 YR 4/4 with some very light, broken down rock","one coarse gravel, all sub-rounded",sandy clay,"VFGR, MGR",SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,98.0,107.0,,,B,,"sandy clay, FGR",wet,"M/VF, F/F","10 YR, 4/3","concentrations common, 2-20 mm, 7.5 YR 4/4","very coarse sand to FGR, a few MGR",sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,107.0,123.0,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4; mottled 10 YR 7/6",,"MGR and CGR present, subangular to sub-rounded",sandy clay,XFGR,SC,,0.0
,,,,,,,,,,,,,,,,,,,,
38.0,KER-2,6/15/25,2015-25 Or V3 p66,0.0,3.0,,,Oi,thatch,,,,,,"augered 5 holes in same area, hit rounded gravel at 65 in all cases, deepest augered to 80 cm where well installed",,,,,
,KER-2,6/15/25,2015-25 Or V3 p66,3.0,15.0,,,Oea,,sandy clay,moist,"M/VF, C/F","5 YR, 3/1",,,sandy clay,,SC,,
,KER-2,6/15/25,2015-25 Or V3 p66,15.0,42.0,,,A,,sandy clay,moist,"M/VF-F, C/M","5 YR, 2.5/2",,,sandy clay,,SC,,
,KER-2,6/15/25,2015-25 Or V3 p66,42.0,55.0,,,A,,silty clay,wet,M/VF-F,"5 YR, 2.5/2",,,silty clay,,SIC,,
,KER-2,6/15/25,2015-25 Or V3 p66,55.0,64.0,,,A,,"sandy clay, MGR",saturated,"M/VF, C/F","7.5 YR, 4/1",,"gravel rounded, hit CGR or larger at 65 cm",sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,KER-2,6/15/25,2015-25 Or V3 p66,64.0,80.0,,,,,MGR,saturated,"M/VF-F, C/M",,,"10-20% coarse gravel, all enmeshed with coarse roots, interstices filled with fine gravel and coarse sand, all rounded",mgr,,,,
=======
#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,texture,sub-class,soil texture code,gravel size,gravel amount,water content,roots,color,redox,notes
1,EER-1,5/30/2018,black spiral,0,20.32,0,8,,,"clay, HO",clay,HO,C,,,moist,C/F-M,dark brown,,crumbly
,EER-1,5/30/2018,black spiral,20.32,40.64,8,16,,,"clay, HO",clay,HO,C,,,moist,"C/VF, F/F-M",dark brown,,"slick, smooth"
,EER-1,5/30/2018,black spiral,40.64,50.8,16,20,,,"clay, GS, MK",clay,"GS, MK",C,,,saturated,"M/M, C/VF-F",dark brown,,
,EER-1,5/30/2018,black spiral,50.8,60.96,20,24,,,"sandy clay, GR",sandy clay,GR,SC,"(2, 76)","(0.15, 0.35)",saturated,C/VF-M,dark brown,,rounded GR
,EER-1,5/30/2018,black spiral,60.96,73.66,24,29,,,"sandy clay, GR",sandy clay,GR,SC,"(2, 76)","(0.15, 0.35)",saturated,C/M,dark brown,,rounded F-M GR
,,,,,,,,,,,,,,,,,,,,
2,EHR-1,5/30/2018,black spiral,0,5.08,0,2,,,"clay, HO",clay,HO,C,,,moist,M/F-M,dark brown,,crumbly
,EHR-1,5/30/2018,black spiral,5.08,30.48,2,12,,,clay,clay,,C,,,moist,M/F-M,dark brown,,slick
,EHR-1,5/30/2018,black spiral,30.48,61.6,12,24.25,,,sandy clay,sandy clay,,SC,,,moist,M/F-M,dark brown,,
,EHR-1,5/30/2018,black spiral,61.6,74.93,24.25,29.5,,,silty clay,silty clay,,SIC,,,saturated,M/F-M,light brown,,
,EHR-1,5/30/2018,black spiral,74.93,86.36,29.5,34,,fibrous,clay loam,clay loam,,CL,,,moist,M/M-F,dark brown,,did not appear as saturated
,EHR-1,5/30/2018,black spiral,86.36,95.25,34,37.5,,,clay loam ,clay loam,,CL,,,saturated,F/M-F,med brown,,rounded GR
,EHR-1,5/30/2018,black spiral,95.25,104.14,37.5,41,,,clay ,clay ,GR,C,"(2, 76)","(0.15, 0.35)",saturated,F/M-F,med brown,,rounded GR
,,,,,,,,,,,,,,,,,,,,
3,EWR-1,5/31/2018,black spiral,0,22.86,0,9,,"grassy, fibrous","clay, HO",clay,HO,C,,,saturated,"M/M-F, F/C",dark brown,,
,EWR-1,5/31/2018,black spiral,22.86,27.94,9,11,,,"sandy clay, GR",sandy clay,GR,SC,"(2, 76)","(0.15, 0.35)",saturated,M/F,brown,,rounded  pebbles
,EWR-1,5/31/2018,black spiral,27.94,40.64,11,16,,,clay,clay,,C,,,saturated,,,,
,,,,,,,,,,,,,,,,,,,,
4,EEF-1,5/31/2018,black spiral,0,10.16,0,4,,"grassy, fibrous","HO, MPT",ho,MPT,HO,,,sturated,M/VF-M,dark black brown,,
,EEF-1,5/31/2018,black spiral,10.16,22.86,4,9,,,clay,clay,,C,,,saturated,M/VF-M,dark brown,,
,EEF-1,5/31/2018,black spiral,22.86,40.64,9,16,,,"clay silt, GR",silty clay,GR,SIC,"(2, 76)","(0.15, 0.35)",saturated,"C/F, M/VF","dark brown, grayish blue",,3mm pebbles
,EEF-1,5/31/2018,black spiral,40.64,55.88,16,22,,,"sandy clay, VGR",sandy clay,VGR,SC,"(2, 76)","(0.35, 0.6)",saturated,C/F,mottled tan,,"angular gravel, 5-12 mm"
,EEF-1,5/31/2018,black spiral,55.88,71.12,22,28,,,"clay loam, GR",clay loam,GR,CL,"(2, 76)","(0.15, 0.35)",saturated,"C/VF, F, M-F",mottled tan,,whole and decomposing gravel
,EEF-1,5/31/2018,black spiral,71.12,96.52,28,38,,,"clay loam, GR",clay loam,GR,CL,"(2, 76)","(0.15, 0.35)",saturated,F/VF-F,mottled tan,,"few fiber chunks, whole and decomposing gravel"
