well_id,timestamp,ground_to_water_cm,year,doy,bin
EEF-1,2018-05-30,4.7887,2018,150,2
EEF-1,2018-06-14,1.1903,2018,165,3
EEF-1,2018-06-29,4.577,2018,180,4
EEF-1,2018-07-14,23.279133418478647,2018,195,5
EEF-1,2018-07-29,20.67430133464948,2018,210,6
EEF-1,2018-08-13,5.859589260554063,2018,225,7
EEF-1,2018-08-28,1.351852987096735,2018,240,8
EEF-1,2018-09-12,1.052245982023816,2018,255,9
EEF-1,2018-09-27,0.6593247365332547,2018,270,10
EEF-1,2018-10-12,0.21487023114800735,2018,285,11
EEF-1,2018-10-27,-1.232923143594526,2018,300,12
EEF-1,2018-11-11,-3.415766978083576,2018,315,13
EEF-1,2019-05-30,-2.0,2019,150,2
EEF-1,2019-06-14,1.6503,2019,165,3
EEF-1,2019-06-29,18.0503,2019,180,4
EEF-1,2019-07-29,52.583650000000006,2019,210,6
EEF-1,2019-08-13,39.4837,2019,225,7
EEF-1,2019-08-28,20.017,2019,240,8
EEF-1,2019-09-27,3.948676409349279,2019,270,10
EEF-1,2019-10-12,3.6656397141629893,2019,285,11
EEF-1,2019-10-27,5.017,2019,300,12
EEF-1,2021-05-15,13.1594,2021,135,1
EEF-1,2021-05-30,38.153,2021,150,2
EEF-1,2021-06-14,69.0394,2021,165,3
EEF-1,2021-06-29,77.1196656829842,2021,180,4
EEF-1,2021-07-14,79.04991402179347,2021,195,5
EEF-1,2021-07-29,78.69211097931144,2021,210,6
EEF-1,2021-08-13,79.14988678781569,2021,225,7
EEF-1,2021-08-28,80.51557218039989,2021,240,8
EEF-1,2021-09-12,83.7714,2021,255,9
EEF-1,2021-09-27,83.4666,2021,270,10
EEF-1,2021-10-12,,2021,285,11
EEF-1,2021-11-11,7.673,2021,315,13
EEF-1,2024-05-14,1.245,2024,135,1
EEF-1,2024-05-29,2.155,2024,150,2
EEF-1,2024-06-13,21.155,2024,165,3
EEF-1,2024-06-28,48.995,2024,180,4
EEF-1,2024-07-13,77.78822241017726,2024,195,5
EEF-1,2024-07-28,83.09061137798855,2024,210,6
EEF-1,2024-08-12,71.07321756236803,2024,225,7
EEF-1,2024-08-27,53.72024568446797,2024,240,8
EEF-1,2024-09-11,36.05736276897297,2024,255,9
EEF-1,2024-09-26,19.928018281699053,2024,270,10
EEF-1,2024-10-11,15.323262083416376,2024,285,11
EEF-1,2024-10-26,11.154901306761793,2024,300,12
EEF-1,2024-11-10,9.299890341148963,2024,315,13
EEF-2,2019-06-29,81.6833,2019,180,4
EEF-2,2019-07-29,115.3887019999699,2019,210,6
EEF-2,2019-08-13,126.81289721315785,2019,225,7
EEF-2,2019-08-28,137.5810703007457,2019,240,8
EEF-2,2019-09-12,139.52146961746723,2019,255,9
EEF-2,2019-09-27,132.69605066708863,2019,270,10
EEF-2,2019-10-27,92.95,2019,300,12
EEF-2,2021-05-15,92.5252,2021,135,1
EEF-2,2021-05-30,115.4868,2021,150,2
EEF-2,2021-06-14,134.8924,2021,165,3
EEF-2,2021-06-29,135.6036,2021,180,4
EEF-2,2021-07-14,,2021,195,5
EEF-2,2021-11-11,-3.0601,2021,315,13
EEF-2,2024-05-14,-18.15,2024,135,1
EEF-2,2024-05-29,17.979748167312106,2024,150,2
EEF-2,2024-06-13,52.68440119350158,2024,165,3
EEF-2,2024-06-28,87.23825180212938,2024,180,4
EEF-2,2024-07-13,107.78126925337892,2024,195,5
EEF-2,2024-07-28,,2024,210,6
EEF-2,2024-08-12,,2024,225,7
EEF-2,2024-08-27,,2024,240,8
EEF-2,2024-09-11,,2024,255,9
EEF-2,2024-09-26,,2024,270,10
EEF-2,2024-10-11,,2024,285,11
EEF-2,2024-10-26,,2024,300,12
EEF-2,2024-11-10,,2024,315,13
EEF-2,2025-05-30,49.88433147296795,2025,150,2
EEF-2,2025-06-14,81.6941926356702,2025,165,3
