well_id,2018_147,2018_162,2018_177,2018_192,2018_207,2018_222,2018_237,2018_252,2018_267,2018_282,2018_297,2018_312,2019_147,2019_162,2019_177,2019_192,2019_207,2019_222,2019_237,2019_252,2019_267,2019_282,2019_297,2019_312,2021_147,2021_162,2021_177,2021_192,2021_207,2021_222,2021_237,2021_252,2021_267,2021_282,2021_297,2021_312,2024_147,2024_162,2024_177,2024_192,2024_207,2024_222,2024_237,2024_252,2024_267,2024_282,2024_297,2024_312,2025_147,2025_162,2025_177,2025_192,2025_207,2025_222,2025_237,2025_252,2025_267,2025_282,2025_297,2025_312
EEF-1,4.7887,1.1903,4.577,20.54374444178097,23.80916248661258,7.450399521857403,2.0564450180700993,0.9290252926952703,0.6248134384952093,0.775878441546799,-1.0906825175101105,-3.15921788096699,-2.0,1.6503,,18.0503,49.017,56.1503,39.4837,20.017,3.9199106085530957,3.576806083624539,4.627989373720652,,13.1594,38.153,69.0394,78.66635847293676,78.73189483184753,78.88826531142892,80.29420780007264,83.7714,83.4666,,,7.673,1.7,21.155,48.995,78.11689640198637,81.88688933533015,72.89590077814182,60.82665887027657,37.44179612718248,22.875352399352064,16.08511724743428,11.698992733335697,9.670287727066322,,,,,,,,,,,,
EEF-2,,,,,,,,,,,,,,,,81.6833,113.76357839802631,124.47098072580293,135.87443070875764,140.82652631972536,133.12769897454098,131.2816202866487,92.95,,92.5252,115.4868,134.8924,135.6036,,,,,,,,-3.0601,-8.415,43.64256610797603,80.89927174243175,105.77830671587522,,,,,,,,,45.299623037850566,75.21468643873526,103.17648232505948,134.21782829528874,140.42373603282513,140.33277767120458,140.13778080404433,140.89275147248347,141.1184088469389,141.89420531403135,126.11108863337837,
EEF-XA3S,3.384,4.8657,20.9523,51.7773,77.5773,,,,,,,,-0.0893,3.6107,,6.444,40.044,63.7107,,,22.4773,18.544,13.4107,,15.5224,39.6016,86.744,,,,,,,,,3.8672,1.4537499999999999,5.6988,38.6188,96.6288,,,,,,,87.5888,18.1888,,,,,,,,,,,,
EER-1,17.2537,29.3187,38.3146,42.07513181824835,41.28808394735124,41.382579852929446,40.8454936547936,38.53366851280777,33.47884237133814,27.668993656567526,24.47491238256006,23.230367401857787,2.6104,14.0104,,33.0187,37.9104,39.0437,39.2771,39.1104,24.9437,23.7771,22.2771,,28.7317,37.7741,40.5173,41.08801192824724,46.5117,48.2389,44.2765,41.942493537828085,39.55409296713001,32.3558168538783,17.635064882449758,16.15819694465763,3.8200000000000003,27.41,34.31,38.58,42.04,39.29,38.89,36.45,30.35,25.163300769728245,21.212559064580457,20.348426874654336,23.247457084946543,29.620693464911678,33.348853589219395,37.339764425409584,37.662911676153925,39.482399148135364,34.48935967878914,29.27252648744071,28.10040604160111,22.024616188435555,18.092572927625334,
EER-XB4S,,,,39.2,,,,,,,,,,,,26.1333,,,,,,,24.8,,17.7912,27.1384,38.924,43.0896,53.148,,,,50.7096,41.4367,,-18.1752,8.485,25.865,34.395,47.395,,,,,38.055,39.065,28.605,25.555,,,,,,,,,,,,
EET-1,8.9092,48.2792,85.9558,88.5433,,88.9433,,,,,,,-1.89,27.4767,,,87.61,87.61,,,,,84.0433,,45.4612,50.2364,83.9676,89.66395507876246,89.2596363995313,,,,,,,13.1524,18.9825,59.7275,,,,,,,,,,81.9775,41.0430009505641,62.740062787979056,88.44355164522348,86.90119238614922,86.94043681245181,86.84718460270004,86.64006996719608,87.43606743996746,87.60400067727817,88.43446065110018,84.88681660950407,
EFF-XA2N,11.4342,18.7367,27.3092,32.575,32.8417,38.7083,35.0083,32.9417,25.4417,,,,,7.7083,,20.0417,28.575,31.875,31.9083,31.9417,17.4083,13.775,11.075,,13.0358,22.383,29.2918,32.6446,37.0134,37.623,36.5054,37.623,30.9174,26.345,,12.0198,6.535,19.745,25.735,30.305,32.445,31.835,32.445,30.005,21.165,20.355,14.765,9.275,,,,,,,,,,,,
EFF-XA2S,10.1705,19.6955,39.8038,51.8022,,,,,,,,,,16.9355,,21.1688,46.7355,,,,,44.3022,34.4355,,34.4755,50.4267,58.3515,,,,,,,,,14.0634,8.118749999999999,30.8238,43.0237,,,,,,,,,41.3938,,,,,,,,,,,,
EFR-XB1S,34.4473,40.1623,43.4432,45.5373,44.0373,45.6373,45.504,46.6373,46.404,,,,,,,35.2707,41.004,,,,,,45.604,,45.3496,47.6864,48.296,49.5152,50.2264,51.1408,52.1568,50.836,50.2264,47.7407,,41.692,22.045,36.015,40.685,43.735,45.765,45.765,46.075,46.475,45.875,45.465,44.855,43.735,,,,,,,,,,,,
EFR-XB2S,,,,,,,,,,,,,,,,,,,,,,,,,38.8408,44.9368,,,57.1288,56.824,,,,,,33.0496,18.245,,,,48.725,,,,,,42.935,,,,,,,,,,,,,
