well_id,2018_146,2018_160,2018_174,2018_188,2018_202,2018_216,2018_230,2018_244,2018_258,2018_272,2018_286,2018_300,2018_314,2019_146,2019_160,2019_174,2019_188,2019_202,2019_216,2019_230,2019_244,2019_258,2019_272,2019_286,2019_300,2019_314,2021_146,2021_160,2021_174,2021_188,2021_202,2021_216,2021_230,2021_244,2021_258,2021_272,2021_286,2021_300,2021_314,2024_146,2024_160,2024_174,2024_188,2024_202,2024_216,2024_230,2024_244,2024_258,2024_272,2024_286,2024_300,2024_314,2025_146,2025_160,2025_174,2025_188,2025_202,2025_216,2025_230,2025_244,2025_258,2025_272,2025_286,2025_300,2025_314
EHF-XA5S,-1.1533,,35.6767,67.215,105.0958,,,,,,,,,,-2.1338082254395148,16.004291995506456,54.258846698435015,81.93759818180322,106.39144782387386,112.11876090100829,111.5764828767853,,,,42.8625,,,89.56856173565642,107.17464227675127,111.46407742273182,,,,,,,,,1.2715,-28.8188,34.13136111587547,74.79844195509574,108.47635275638014,128.2313,,,,,,,,83.3212,37.23962111375096,68.23042836703117,100.6669665492808,121.51672243852639,128.3998431221707,127.62336810328247,127.90829571028483,126.98532586825243,127.41469430848593,127.6282556910286,115.2208000670264,46.07918867092375,
EHF-XB7S,,,,,,,,,,,,,,,,,4.5167,3.55,5.85,5.6167,5.1167,3.2833,3.45,,3.45,,-11.6356,11.834,24.4324,53.5916,78.2804,85.5956,90.1676,,96.8732,81.0236,20.12,,11.4276,1.835,2.855,13.925,28.555,70.015,76.515,78.955,,24.295,12.205,10.375,4.375,3.365,,,,,,,,,,,,,
EHR-1,29.555,,44.3717,59.1883,66.24164999999999,66.60651876248487,67.28470143164438,62.303685128921046,59.407523480321004,57.30618438117583,51.83773252512662,43.8925638818627,40.43334690783126,,4.4417,8.8083,36.4083,54.1417,61.1083,62.9083,62.775,50.4417,42.0083,,40.0417,,45.5542,55.003,60.2862,58.22047975045247,63.639,65.0614,60.1846,,60.7942,60.2862,58.051,,29.3998,7.755,26.045,43.425,54.195,62.95671654081924,63.835545378567396,65.3269251895433,59.72057172093436,60.63206783542177,56.31291125171549,51.60139340850526,44.701377066764465,40.26202692682236,29.242878642191148,39.882854364412694,52.32460968758162,61.86822564225203,64.71506706622088,66.3443904230239,69.61487104746514,57.52527787941092,56.464168351544295,50.58019569193318,41.34209333826284,34.65432208118608,
EHR-XB1N,,,,,65.06665,,,,,,,,,,,,51.05,59.45,,,63.75,,,,46.8833,,56.1092,66.6756,71.0444,73.178,79.782,76.5308,71.146,,71.4508,67.6916,,,44.0188,30.815,41.385,52.965,58.445,68.305,69.625,67.94999999999999,,66.475,62.925,62.815,54.995,43.925,,,,,,,,,,,,,
EHR-XB2N,,,,,25.45,,,,,,,,,,,,16.95,24.6167,,,21.55,,,,15.95,,18.1756,23.8652,28.742,28.9452,33.1108,34.9396,31.9932,,34.1268,34.0252,27.3867,,21.3252,7.39,12.07,19.08,22.84,24.87,27.61,26.295,,23.75,21.52,20.6,17.96,15.73,,,,36.45,,,,,,,,21.21,
EHT-XB5S,19.2967,,64.4875,89.9933,117.3,,,,,,,,,,-24.15,,,,,,,,,,,,38.9196,60.9668,92.7676,120.5044,,,,,,,,,-1.0702,10.68,40.85,74.99,100.59,,,,,,,,125.89,78.55,,,,,,,,,,,,,
EHT-XB6S,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7124,38.1876,75.5764,98.538,128.6116,,,,,,,,15.226,18.59,23.88,48.16,83.52,122.12,,,,,,,,14.33,,,,,,,,,,,,,
EHT-XC5S,,,,,,,,,,,,,,,,,,,,,,,,,,,58.915,,89.395,113.5758,117.1318,,,,,,,,66.3318,,51.395,,85.435,,110.425,115.305,,114.695,106.565,101.285,95.895,82.385,54.345,,,104.935,,,,,98.535,,,82.845,
EHT-XC6S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWF-1,35.5408,,74.6145,91.1245,93.8603,,,,,,,,,,13.933893391912394,64.88196101236264,78.5118270372681,86.99012918732298,,,,73.7937,59.627,,53.4937,,78.2566,94.41174551956925,93.96280247258774,93.90200635610213,137.85454487543385,141.8584646757794,144.91784989487533,144.14126896782855,136.20463711842837,120.64723851785361,106.5243287739972,30.444231176092593,9.97899743002124,7.24,80.3264055532892,97.71288053008243,111.0449270258781,118.81390407036452,123.2208773490954,121.14724799635886,112.03722395526776,107.58286637299885,94.23136263504092,82.69357267902863,69.80901229005234,65.55925767459075,79.1015380959899,91.95910657876702,105.21380145721658,117.74349308341205,129.2579201085794,131.37699875340223,137.6965200984023,117.15612938415923,88.67959079960823,70.11941931656126,64.03475611898659,57.03690939339586,
EWR-1,4.9677,,10.7885,18.3027,20.964736490707708,23.050400125190777,23.42034087803139,21.10983736174654,21.343765527701443,20.452944296630033,19.868815575155395,17.196160937275508,15.937178014834004,,-17.5915,-10.6581,-1.9248,17.6752,20.2419,21.5752,21.4752,18.2419,16.2085,,13.5752,,17.1696,22.656,24.688,25.196,26.1104,26.3136,25.0944,,26.6184,24.7896,22.9608,,2.4376,-8.505,8.265,15.375,20.655,24.215,25.335,26.555,,26.045,24.115,23.195,18.625,14.965,1.4722170893732809,5.904852883412141,12.093739383739674,16.78457908500719,27.121159751498073,26.220040882145224,29.52785684720293,23.003516130409313,23.959160720727862,20.495244084068634,16.300385845281415,11.039699897509605,
EWR-XA1N,,,,,,,,,,,,,,,,19.1667,41.9,43.7,,,,26.5,26.5333,,22.6667,,35.652,46.828,47.336,48.5552,47.844,49.5712,47.7424,,51.0952,48.352,48.4367,,26.3048,13.4,26.2,41.34,48.05,47.23,47.13,48.150000000000006,,50.59,46.02,46.22,29.45,22.95,,,,,,,,,,,,,
EWR-XB3N,,,,,37.23335,,,,,,,,,,,,28.3,33.1333,,,34.2,,,,21.5667,,23.5568,31.888,35.2408,36.0536,66.7368,68.1592,62.4696,,66.5336,44.8928,35.8367,,30.872,11.995,18.895,28.145,32.615,39.525,47.145,46.69,,40.745,29.775,28.555,23.375,20.015,,,,,,,,,,,,,
EWR-XB4N,,,,,36.26665,,,,,,,,,,,,26.6333,36.7667,,,36.2,,,,25.6,,25.8944,34.4288,38.188,39.6104,44.792,49.5672,47.2304,,50.2784,55.46,40.6367,,11.1624,2.87,16.89,30.61,37.72,41.78,43.41,44.32,,43.21,39.45,37.92,33.35,28.47,,,,,,,,,,,,,
EWT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.79387424729265,114.63698553130926,125.09000717948159,125.82307027791792,123.41388356988371,116.74306051470789,117.15607002746209,114.0700610741129,88.37688323818365,72.16458380776585,
