well_id,timestamp,ground_to_water_cm,year,doy,bin
EEF-1,2018-06-01,4.7887,2018,152,2
EEF-1,2018-06-17,1.1903,2018,168,3
EEF-1,2018-07-03,4.577,2018,184,4
EEF-1,2018-07-19,23.46612833652219,2018,200,5
EEF-1,2018-08-04,17.137537415393048,2018,216,6
EEF-1,2018-08-20,4.951448869566452,2018,232,7
EEF-1,2018-09-05,0.5457669451767709,2018,248,8
EEF-1,2018-09-21,1.1806256394977388,2018,264,9
EEF-1,2018-10-07,0.9972999130010939,2018,280,10
EEF-1,2018-10-23,-0.8603330079413218,2018,296,11
EEF-1,2018-11-08,-2.0097901443031643,2018,312,12
EEF-1,2019-06-01,-2.0,2019,152,2
EEF-1,2019-06-17,1.6503,2019,168,3
EEF-1,2019-07-03,18.0503,2019,184,4
EEF-1,2019-08-04,52.583650000000006,2019,216,6
EEF-1,2019-08-20,39.4837,2019,232,7
EEF-1,2019-09-05,20.017,2019,248,8
EEF-1,2019-09-21,2.697985347086129,2019,264,9
EEF-1,2019-10-07,4.0947243832604885,2019,280,10
EEF-1,2019-10-23,4.030838730637365,2019,296,11
EEF-1,2021-05-16,13.1594,2021,136,1
EEF-1,2021-06-17,53.596199999999996,2021,168,3
EEF-1,2021-07-03,77.63313151689152,2021,184,4
EEF-1,2021-07-19,79.01257600729811,2021,200,5
EEF-1,2021-08-04,78.77663491646442,2021,216,6
EEF-1,2021-08-20,79.32920838541392,2021,232,7
EEF-1,2021-09-05,83.7714,2021,248,8
EEF-1,2021-09-21,83.4666,2021,264,9
EEF-1,2021-10-07,,2021,280,10
EEF-1,2024-05-15,1.245,2024,136,1
EEF-1,2024-05-31,2.155,2024,152,2
EEF-1,2024-06-16,21.155,2024,168,3
EEF-1,2024-07-02,48.995,2024,184,4
EEF-1,2024-07-18,78.04801295735606,2024,200,5
EEF-1,2024-08-03,82.00760510210779,2024,216,6
EEF-1,2024-08-19,71.40521208936742,2024,232,7
EEF-1,2024-09-04,43.37785849514548,2024,248,8
EEF-1,2024-09-20,30.322571492742313,2024,264,9
EEF-1,2024-10-06,17.64189995540733,2024,280,10
EEF-1,2024-10-22,12.708529499415114,2024,296,11
EEF-1,2024-11-07,10.212866605802361,2024,312,12
EEF-2,2019-07-03,81.6833,2019,184,4
EEF-2,2019-08-04,116.99386585930188,2019,216,6
EEF-2,2019-08-20,129.27431595347718,2019,232,7
EEF-2,2019-09-05,141.93394056277387,2019,248,8
EEF-2,2019-09-21,133.97410960865065,2019,264,9
EEF-2,2019-10-07,133.0684509942119,2019,280,10
EEF-2,2019-10-23,92.95,2019,296,11
EEF-2,2021-05-16,92.5252,2021,136,1
EEF-2,2021-06-17,125.18960000000001,2021,168,3
EEF-2,2021-07-03,135.6036,2021,184,4
EEF-2,2021-07-19,,2021,200,5
EEF-2,2024-05-15,-18.15,2024,136,1
EEF-2,2024-05-31,15.116061232488162,2024,152,2
EEF-2,2024-06-16,51.05230167964422,2024,168,3
EEF-2,2024-07-02,88.29781365470457,2024,184,4
EEF-2,2024-07-18,108.29413036909988,2024,200,5
EEF-2,2024-08-03,,2024,216,6
EEF-2,2024-08-19,,2024,232,7
EEF-2,2024-09-04,,2024,248,8
EEF-2,2024-09-20,,2024,264,9
EEF-2,2024-10-06,,2024,280,10
EEF-2,2024-10-22,,2024,296,11
EEF-2,2024-11-07,,2024,312,12
EEF-2,2025-06-01,48.4579554658596,2025,152,2
EEF-2,2025-06-17,80.68670981788831,2025,168,3
EEF-2,2025-07-03,109.04178979865077,2025,184,4
EEF-2,2025-07-19,139.4827384169494,2025,200,5
EEF-2,2025-08-04,140.25233533013525,2025,216,6
EEF-2,2025-08-20,140.3365996321412,2025,232,7
EEF-2,2025-09-05,140.34900474997113,2025,248,8
EEF-2,2025-09-21,141.0555103737828,2025,264,9
EEF-2,2025-10-07,141.51242872681362,2025,280,10
EEF-2,2025-10-23,141.36300154201717,2025,296,11
EEF-2,2025-11-08,89.35632585527219,2025,312,12
EEF-XA3S,2018-06-01,3.384,2018,152,2
EEF-XA3S,2018-06-17,4.8657,2018,168,3
EEF-XA3S,2018-07-03,20.9523,2018,184,4
EEF-XA3S,2018-07-19,51.7773,2018,200,5
EEF-XA3S,2018-08-04,77.5773,2018,216,6
EEF-XA3S,2018-08-20,,2018,232,7
EEF-XA3S,2018-09-21,,2018,264,9
EEF-XA3S,2018-10-07,,2018,280,10
EEF-XA3S,2019-06-01,-0.0893,2019,152,2
EEF-XA3S,2019-06-17,3.6107,2019,168,3
EEF-XA3S,2019-07-03,6.444,2019,184,4
EEF-XA3S,2019-08-04,51.87735,2019,216,6
EEF-XA3S,2019-08-20,,2019,232,7
EEF-XA3S,2019-09-21,22.4773,2019,264,9
EEF-XA3S,2019-10-07,18.544,2019,280,10
EEF-XA3S,2019-10-23,13.4107,2019,296,11
EEF-XA3S,2021-05-16,15.5224,2021,136,1
EEF-XA3S,2021-06-17,63.172799999999995,2021,168,3
EEF-XA3S,2021-07-03,,2021,184,4
EEF-XA3S,2024-05-15,1.1788,2024,136,1
EEF-XA3S,2024-05-31,1.7287,2024,152,2
EEF-XA3S,2024-06-16,5.6988,2024,168,3
EEF-XA3S,2024-07-02,38.6188,2024,184,4
EEF-XA3S,2024-07-18,96.6288,2024,200,5
EEF-XA3S,2024-08-03,,2024,216,6
EEF-XA3S,2024-08-19,,2024,232,7
EEF-XA3S,2024-09-04,,2024,248,8
EEF-XA3S,2024-09-20,,2024,264,9
EEF-XA3S,2024-10-06,,2024,280,10
EEF-XA3S,2024-10-22,87.5888,2024,296,11
EEF-XA3S,2024-11-07,18.1888,2024,312,12
EER-1,2018-06-01,17.2537,2018,152,2
EER-1,2018-06-17,29.3187,2018,168,3
EER-1,2018-07-03,38.3146,2018,184,4
EER-1,2018-07-19,42.28090026044123,2018,200,5
EER-1,2018-08-04,40.801256835147306,2018,216,6
EER-1,2018-08-20,41.46110512263136,2018,232,7
EER-1,2018-09-05,39.4498131876735,2018,248,8
EER-1,2018-09-21,36.30473977042259,2018,264,9
EER-1,2018-10-07,29.625149501467494,2018,280,10
EER-1,2018-10-23,25.01086579376432,2018,296,11
EER-1,2018-11-08,23.780820315056236,2018,312,12
