well_id,date,ground_to_water_cm,year,doy
EEF-1,2018-06-04,4.7887,2018,155
EEF-1,2018-06-20,1.1903,2018,171
EEF-1,2018-07-06,4.577,2018,187
EEF-1,2018-07-22,23.526747833662018,2018,203
EEF-1,2018-08-07,14.235377685270697,2018,219
EEF-1,2018-08-23,4.247759344979675,2018,235
EEF-1,2018-09-08,0.6624141782089865,2018,251
EEF-1,2018-09-24,0.8717509818229096,2018,267
EEF-1,2018-10-10,1.1075377073839663,2018,283
EEF-1,2018-10-26,-1.0834282204123025,2018,299
EEF-1,2018-11-11,-3.0861743798494103,2018,315
EEF-1,2019-06-04,-2.0,2019,155
EEF-1,2019-06-20,1.6503,2019,171
EEF-1,2019-07-06,18.0503,2019,187
EEF-1,2019-07-22,49.017,2019,203
EEF-1,2019-08-07,56.1503,2019,219
EEF-1,2019-08-23,39.4837,2019,235
EEF-1,2019-09-08,20.017,2019,251
EEF-1,2019-09-24,3.2126737425231964,2019,267
EEF-1,2019-10-10,4.060867657426475,2019,283
EEF-1,2019-10-26,4.101298830720929,2019,299
EEF-1,2021-05-19,13.1594,2021,139
EEF-1,2021-06-04,38.153,2021,155
EEF-1,2021-06-20,69.0394,2021,171
EEF-1,2021-07-06,78.14527951775675,2021,187
EEF-1,2021-07-22,79.03423963438267,2021,203
EEF-1,2021-08-07,78.76749216499817,2021,219
EEF-1,2021-08-23,79.44765025719734,2021,235
EEF-1,2021-09-08,83.7714,2021,251
EEF-1,2021-09-24,83.4666,2021,267
EEF-1,2021-10-10,,2021,283
EEF-1,2021-11-11,7.673,2021,315
EEF-1,2024-05-18,1.245,2024,139
EEF-1,2024-06-03,2.155,2024,155
EEF-1,2024-06-19,21.155,2024,171
EEF-1,2024-07-05,48.995,2024,187
EEF-1,2024-07-21,78.5959024127936,2024,203
EEF-1,2024-08-06,79.70955330864412,2024,219
EEF-1,2024-08-22,69.98637885458622,2024,235
EEF-1,2024-09-07,39.2317903634097,2024,251
EEF-1,2024-09-23,26.852694681599566,2024,267
EEF-1,2024-10-09,16.777256082108153,2024,283
EEF-1,2024-10-25,11.985415824590408,2024,299
EEF-1,2024-11-10,9.908256404715516,2024,315
EEF-2,2019-07-06,81.6833,2019,187
EEF-2,2019-07-22,109.75,2019,203
EEF-2,2019-08-07,119.08623439864242,2019,219
EEF-2,2019-08-23,131.3314392494094,2019,235
EEF-2,2019-09-08,142.6014763260428,2019,251
EEF-2,2019-09-24,132.69811293314018,2019,267
EEF-2,2019-10-10,132.87030541013385,2019,283
EEF-2,2019-10-26,92.95,2019,299
