well_id,2018_146,2018_161,2018_176,2018_191,2018_206,2018_221,2018_236,2018_251,2018_266,2018_281,2018_296,2018_311,2019_146,2019_161,2019_176,2019_191,2019_206,2019_221,2019_236,2019_251,2019_266,2019_281,2019_296,2019_311,2021_146,2021_161,2021_176,2021_191,2021_206,2021_221,2021_236,2021_251,2021_266,2021_281,2021_296,2021_311,2024_146,2024_161,2024_176,2024_191,2024_206,2024_221,2024_236,2024_251,2024_266,2024_281,2024_296,2024_311,2025_146,2025_161,2025_176,2025_191,2025_206,2025_221,2025_236,2025_251,2025_266,2025_281,2025_296,2025_311
EFR-XB3S,,,,,,,,,,,,,,,,50.7,55.2833,,,,,,50.35,,39.2276,50.81,64.7292,,,,,,,,,26.7308,22.765,44.915,57.715,,,,,,,,56.595,48.365,,,,,,,,,,,,
EFT-XC3S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47,46.92,62.16,75.58,57.59,88.68,,88.99,71.92,80.95,62.88,58.2,,,,,,,,,,,,
EFT-XC4S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.845,36.375,72.855,,,,,,,,,61.275,,,,,,,,,,,,
EHF-XA5S,-1.1533,,51.44585,105.0958,,,,,,,,,-5.1708,-1.460529258,23.14515061,61.56071938,90.51319965,110.4712658,112.1843434,111.6134124,,,42.8625,,,90.8922629,109.336839,111.2271786,,,,,,,,1.2715,-11.1538,39.85750431,81.00622269,113.1813766,,,,,,,,83.3212,39.13453068,71.74855346,105.3847317,124.9082618,128.14621,127.8106365,127.4932861,127.1381224,127.4279182,128.1805033,56.87515867,29.5812
EHF-XB7S,,,,,,,,,,,,,,,,4.5167,3.55,5.85,5.6167,5.1167,3.2833,3.45,3.45,,-11.6356,11.834,24.4324,53.5916,78.2804,85.5956,90.1676,96.8732,81.0236,20.12,,11.4276,2.345,13.925,28.555,70.015,76.515,78.955,,24.295,12.205,10.375,4.375,3.365,,,,,,,,,,,,
EHR-1,29.555,,51.78,66.4083,65.61663529,67.46620646,65.65627059,60.84364047,57.58422614,54.97767365,45.13220541,40.86531035,4.4417,,8.8083,36.4083,54.1417,61.1083,62.9083,62.775,50.4417,42.0083,40.0417,,45.5542,55.003,60.2862,58.22047975,63.639,65.0614,60.1846,60.7942,60.2862,58.051,,29.3998,16.9,43.425,54.195,61.02183308,64.353089,63.60028661,62.44066331,61.03469438,58.00439026,53.3398087,46.25357823,41.0819509,29.70843282,41.48336121,54.22896524,63.21273181,64.73777236,68.39866953,63.36031922,57.71469884,54.41110014,44.43896326,34.45702518,35.495
EHR-XB1N,,,,65.85,64.2833,,,,,,,,,,,51.05,59.45,,,63.75,,,46.8833,,56.1092,66.6756,71.0444,73.178,79.782,76.5308,71.146,71.4508,67.6916,,,44.0188,36.1,52.965,58.445,68.305,69.625,67.695,68.205,66.475,62.925,62.815,54.995,43.925,,,,,,,,,,,,
EHR-XB2N,,,,25.75,25.15,,,,,,,,,,,16.95,24.6167,,,21.55,,,15.95,,18.1756,23.8652,28.742,28.9452,33.1108,34.9396,31.9932,34.1268,34.0252,27.3867,,21.3252,9.73,19.08,22.84,24.87,27.61,26.6,25.99,23.75,21.52,20.6,17.96,15.73,,,,36.45,,,,,,,21.21,
EHT-XB5S,19.2967,,77.2404,109.85,124.75,,,,,,,,-24.15,,,,,,,,,,,,38.9196,60.9668,92.7676,120.5044,,,,,,,,-1.0702,25.765,74.99,100.59,,,,,,,,125.89,78.55,,,,,,,,,,,,
EHT-XB6S,,,,,,,,,,,,,,,,,,,,,,,,,20.7124,38.1876,75.5764,98.538,128.6116,,,,,,,15.226,21.235,48.16,83.52,122.12,,,,,,,,14.33,,,,,,,,,,,,
EHT-XC5S,,,,,,,,,,,,,,,,,,,,,,,,,58.915,,89.395,113.5758,117.1318,,,,,,,66.3318,51.395,,85.435,,110.425,,115.305,114.695,106.565,101.285,95.895,82.385,54.345,,,104.935,,,,,98.535,,85.435,80.255
EHT-XC6S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWF-1,35.5408,,82.8695,93.8603,,,,,,,,,-35.4063,21.81385624,69.51374479,80.5796989,88.32086717,,,,73.7937,59.627,53.4937,,78.2566,94.28107766,94.01044603,113.8427464,139.5141562,142.7101635,145.2030735,141.8155208,126.0658575,112.9041961,51.98975236,9.91655017,38.23,82.88887163,99.95000914,113.9848907,120.4892165,121.9052222,117.8046258,109.743353,100.3981422,85.77480628,72.65619521,66.34013179,79.81062021,93.68303968,107.0923748,121.0376089,130.3658616,134.0253291,131.4466751,103.1511105,75.09730564,66.32116728,57.04532859,56.01
EWR-1,4.9677,,14.5456,19.4085,21.67276909,23.43828334,22.60069909,21.33005577,20.12040437,21.02729875,17.73109592,16.03283398,-17.5915,,-10.6581,-1.9248,17.6752,20.2419,21.5752,21.4752,18.2419,16.2085,13.5752,,17.1696,22.656,24.688,25.196,26.1104,26.3136,25.0944,26.6184,24.7896,22.9608,,2.4376,-0.12,15.375,20.655,24.215,25.335,,26.555,26.045,24.115,23.195,18.625,14.965,1.585357523,6.73050515,12.77174154,19.70647612,26.91120085,27.96013045,25.96552577,24.0592514,23.30440709,17.49811984,11.13741225,9.175
EWR-XA1N,,,,,,,,,,,,,,,19.1667,41.9,43.7,,,,26.5,26.5333,22.6667,,35.652,46.828,47.336,48.5552,47.844,49.5712,47.7424,51.0952,48.352,48.4367,,26.3048,19.8,41.34,48.05,47.23,47.13,49.27,47.03,50.59,46.02,46.22,29.45,22.95,,,,,,,,,,,,
EWR-XB3N,,,,37.8,36.6667,,,,,,,,,,,28.3,33.1333,,,34.2,,,21.5667,,23.5568,31.888,35.2408,36.0536,66.7368,68.1592,62.4696,66.5336,44.8928,35.8367,,30.872,15.445,28.145,32.615,39.525,47.145,45.625,47.755,40.745,29.775,28.555,23.375,20.015,,,,,,,,,,,,
