well_id,date,ground_to_water_cm,year,doy
EEF-1,2018-06-03,4.7887,2018,154
EEF-1,2018-06-16,1.1903,2018,167
EEF-1,2018-06-29,4.577,2018,180
EEF-1,2018-07-12,20.54374444178097,2018,193
EEF-1,2018-07-25,24.891127041031588,2018,206
EEF-1,2018-08-07,9.61034837022095,2018,219
EEF-1,2018-08-20,3.962471721494497,2018,232
EEF-1,2018-09-02,0.5452549302034131,2018,245
EEF-1,2018-09-15,1.2868703029917348,2018,258
EEF-1,2018-09-28,0.6979877573848393,2018,271
EEF-1,2018-10-11,0.4743680305211153,2018,284
EEF-1,2018-10-24,-0.9844181842111157,2018,297
EEF-1,2018-11-06,-2.2842493263865764,2018,310
EEF-1,2018-11-19,-5.030234186159321,2018,323
EEF-1,2019-06-03,-2.0,2019,154
EEF-1,2019-06-16,1.6503,2019,167
EEF-1,2019-07-12,18.0503,2019,193
EEF-1,2019-07-25,49.017,2019,206
EEF-1,2019-08-07,56.1503,2019,219
EEF-1,2019-08-20,39.4837,2019,232
EEF-1,2019-09-02,20.017,2019,245
EEF-1,2019-09-15,1.717,2019,258
EEF-1,2019-09-28,4.12034382545307,2019,271
EEF-1,2019-10-11,3.5817543850561333,2019,284
EEF-1,2019-10-24,4.479596235571702,2019,297
EEF-1,2021-05-21,13.1594,2021,141
EEF-1,2021-06-03,38.153,2021,154
EEF-1,2021-06-16,69.0394,2021,167
EEF-1,2021-06-29,76.33456594007308,2021,180
EEF-1,2021-07-12,79.02509578568502,2021,193
EEF-1,2021-07-25,78.85723849598877,2021,206
EEF-1,2021-08-07,78.73812981408796,2021,219
EEF-1,2021-08-20,79.67040590205694,2021,232
EEF-1,2021-09-02,83.7714,2021,245
EEF-1,2021-09-28,83.4666,2021,271
EEF-1,2021-10-11,,2021,284
EEF-1,2021-11-19,7.673,2021,323
EEF-1,2024-05-20,1.245,2024,141
EEF-1,2024-06-02,2.155,2024,154
EEF-1,2024-06-15,21.155,2024,167
EEF-1,2024-06-28,48.995,2024,180
EEF-1,2024-07-11,78.11689640198637,2024,193
EEF-1,2024-07-24,81.36770038671874,2024,206
EEF-1,2024-08-06,75.54798999235116,2024,219
EEF-1,2024-08-19,72.09767292920448,2024,232
EEF-1,2024-09-01,40.248483152863145,2024,245
EEF-1,2024-09-14,33.90147300804448,2024,258
EEF-1,2024-09-27,19.15143486895216,2024,271
EEF-1,2024-10-10,15.803687119496006,2024,284
EEF-1,2024-10-23,11.371763864261272,2024,297
EEF-1,2024-11-05,9.908256404715516,2024,310
EEF-2,2019-07-12,81.6833,2019,193
EEF-2,2019-07-25,112.71518620837668,2019,206
EEF-2,2019-08-07,122.40067891585798,2019,219
EEF-2,2019-08-20,131.61079663297974,2019,232
EEF-2,2019-09-02,142.1574336736319,2019,245
EEF-2,2019-09-15,135.86448220364733,2019,258
EEF-2,2019-09-28,132.7479102451369,2019,271
EEF-2,2019-10-24,92.95,2019,297
EEF-2,2021-05-21,92.5252,2021,141
EEF-2,2021-06-03,115.4868,2021,154
EEF-2,2021-06-16,134.8924,2021,167
EEF-2,2021-06-29,135.6036,2021,180
EEF-2,2021-07-12,,2021,193
EEF-2,2021-07-25,,2021,206
EEF-2,2021-11-19,-3.0601,2021,323
EEF-2,2024-05-20,-18.15,2024,141
EEF-2,2024-06-02,24.48853493544644,2024,154
EEF-2,2024-06-15,58.64697342962627,2024,167
EEF-2,2024-06-28,87.28018205683807,2024,180
EEF-2,2024-07-11,107.1706861953981,2024,193
EEF-2,2024-07-24,,2024,206
EEF-2,2024-08-06,,2024,219
EEF-2,2024-08-19,,2024,232
EEF-2,2024-09-01,,2024,245
EEF-2,2024-09-27,,2024,271
EEF-2,2024-10-10,,2024,284
EEF-2,2024-10-23,,2024,297
EEF-2,2024-11-05,,2024,310
EEF-2,2025-05-21,32.57748972984067,2025,141
EEF-2,2025-06-03,56.896992253814844,2025,154
EEF-2,2025-06-16,85.9948232394581,2025,167
EEF-2,2025-06-29,107.5316696968469,2025,180
EEF-2,2025-07-12,136.62855971505138,2025,193
EEF-2,2025-07-25,140.54659232526677,2025,206
EEF-2,2025-08-07,140.0681511057217,2025,219
EEF-2,2025-08-20,140.47457197289395,2025,232
EEF-2,2025-09-02,140.25277138198584,2025,245
EEF-2,2025-09-15,141.20339106219677,2025,258
EEF-2,2025-09-28,141.134134128327,2025,271
EEF-2,2025-10-11,141.91946372169716,2025,284
EEF-2,2025-10-24,129.36267990958785,2025,297
EEF-2,2025-11-06,72.41,2025,310
EEF-XA3S,2018-06-03,3.384,2018,154
EEF-XA3S,2018-06-16,4.8657,2018,167
EEF-XA3S,2018-06-29,20.9523,2018,180
EEF-XA3S,2018-07-12,51.7773,2018,193
EEF-XA3S,2018-07-25,77.5773,2018,206
EEF-XA3S,2018-08-07,,2018,219
EEF-XA3S,2018-08-20,,2018,232
