well_id,2018,2019,2021,2024,2025,all_years,2018-2024,,2019-2025,2019-2025,,,2019-2025,2018-2024
EER-1,85.7,71.4,92.9,85.7,85.7,84.3,83.9,ER,83.9,ER,,EF,2,3
EEF-1,85.7,71.4,78.6,85.7,0.0,64.3,80.4,EF,58.9,EF,,ER,3,3
EHR-1,85.7,71.4,78.6,85.7,85.7,81.4,80.4,HR,80.4,HR,,ET,3,3
EWR-1,85.7,71.4,78.6,85.7,85.7,81.4,80.4,WR,80.4,WR,,HF,3,3
KEF-1,71.4,71.4,85.7,85.7,85.7,80.0,78.6,EF,82.1,EF,,HR,3,3
EWF-1,64.3,64.3,92.9,85.7,85.7,78.6,76.8,WF,82.1,WF,,HT,3,3
KWR-1,71.4,71.4,71.4,78.6,85.7,75.7,73.2,WR,76.8,WR,,WF,2,3
KFR-XE1S,71.4,64.3,71.4,85.7,0.0,58.6,73.2,FR,55.4,FR,,WR,2,4
KFR-XE2S,71.4,64.3,71.4,85.7,0.0,58.6,73.2,FR,55.4,FR,,WT,1,1
KHF-1,57.1,64.3,85.7,85.7,85.7,75.7,73.2,HF,80.4,HF,,FF,1,3
EFF-XA2N,64.3,64.3,78.6,85.7,0.0,58.6,73.2,FF,57.1,FF,,FR,0,1
KHT-XE4S,57.1,71.4,71.4,85.7,0.0,57.1,71.4,HT,57.1,HT,,FT,0,0
KWF-1,57.1,71.4,71.4,85.7,0.0,57.1,71.4,WF,57.1,WF,,>3,5,8
KWR-XE1N,57.1,64.3,71.4,85.7,0.0,55.7,69.6,WR,55.4,WR,,>2,13,8
KER-XE3S,50.0,64.3,71.4,85.7,0.0,54.3,67.9,ER,55.4,ER,,,,
KWF-2,50.0,71.4,57.1,85.7,71.4,67.1,66.1,WF,71.4,WF,,,,
KER-1,64.3,71.4,42.9,85.7,85.7,70.0,66.1,ER,71.4,ER,,,,
EFF-XA2S,64.3,57.1,50.0,85.7,0.0,51.4,64.3,FF,48.2,,,,,
EHF-XA5S,64.3,71.4,42.9,78.6,85.7,68.6,64.3,HF,69.6,HF,,,,
KHT-XD6N,64.3,42.9,71.4,78.6,21.4,55.7,64.3,HT,53.6,HT,,,,
EET-1,64.3,50.0,50.0,85.7,85.7,67.1,62.5,ET,67.9,ET,,,,
EEF-XA3S,64.3,64.3,35.7,85.7,0.0,50.0,62.5,EF,46.4,,,,,
EFR-XB1S,64.3,21.4,78.6,85.7,0.0,50.0,62.5,FR,46.4,,,,,
EHF-XB7S,0.0,57.1,78.6,85.7,0.0,44.3,55.4,HF,55.4,HF,,,,
LET-1,0.0,57.1,78.6,85.7,0.0,44.3,55.4,ET,55.4,ET,,,,
LWT-1,0.0,57.1,78.6,85.7,0.0,44.3,55.4,WT,55.4,WT,,,,
EWR-XA1N,0.0,50.0,78.6,85.7,0.0,42.9,53.6,WR,53.6,WR,,,,
LHT-1,0.0,50.0,78.6,85.7,0.0,42.9,53.6,HT,53.6,HT,,,,
KET-1,0.0,50.0,71.4,85.7,85.7,58.6,51.8,ET,73.2,ET,,,,
KHR-1,0.0,50.0,71.4,85.7,85.7,58.6,51.8,HR,73.2,HR,,,,
KWF-XE8S,42.9,35.7,42.9,85.7,0.0,41.4,51.8,WF,41.1,,,,,
KFF-XD6S,50.0,42.9,35.7,78.6,0.0,41.4,51.8,FF,39.3,,,,,
KER-XD5N,0.0,42.9,71.4,85.7,21.4,44.3,50.0,ER,55.4,ER,,,,
KHR-XD1N,0.0,42.9,71.4,85.7,0.0,40.0,50.0,HR,50.0,HR,,,,
EHR-XB2N,7.1,28.6,78.6,85.7,14.3,42.9,50.0,HR,51.8,HR,,,,
EWR-XB3N,7.1,28.6,78.6,85.7,0.0,40.0,50.0,WR,48.2,,,,,
EHR-XB1N,7.1,28.6,78.6,85.7,0.0,40.0,50.0,HR,48.2,,,,,
EWR-XB4N,7.1,28.6,78.6,85.7,0.0,40.0,50.0,WR,48.2,,,,,
EER-XB4S,7.1,28.6,71.4,85.7,0.0,38.6,48.2,,46.4,,,,,
EHT-XB5S,64.3,7.1,42.9,78.6,0.0,38.6,48.2,,32.1,,,,,
EEF-2,0.0,57.1,42.9,85.7,85.7,54.3,46.4,,67.9,EF,,,,
EFR-XB2S,7.1,28.6,57.1,85.7,0.0,35.7,44.6,,42.9,,,,,
KHF-XD4S,35.7,35.7,28.6,71.4,0.0,34.3,42.9,,33.9,,,,,
KHT-XE5S,71.4,71.4,28.6,0.0,0.0,34.3,42.9,,25.0,,,,,
EFR-XB3S,7.1,21.4,50.0,85.7,0.0,32.9,41.1,,39.3,,,,,
KHR-XD1S,0.0,21.4,71.4,64.3,0.0,31.4,39.3,,39.3,,,,,
KHT-1,0.0,0.0,64.3,85.7,85.7,47.1,37.5,,58.9,HT,,,,
KFT-XD3S,21.4,35.7,28.6,64.3,0.0,30.0,37.5,,32.1,,,,,
KHT-XE6S,57.1,64.3,21.4,0.0,0.0,28.6,35.7,,21.4,,,,,
KHT-2,0.0,0.0,50.0,85.7,21.4,31.4,33.9,,39.3,,,,,
EHT-XB6S,0.0,0.0,50.0,85.7,0.0,27.1,33.9,,33.9,,,,,
EHT-XC5S,0.0,0.0,42.9,71.4,35.7,30.0,28.6,,37.5,,,,,
EFT-XC4S,0.0,0.0,0.0,85.7,0.0,17.1,21.4,,21.4,,,,,
EFT-XC3S,0.0,0.0,0.0,85.7,0.0,17.1,21.4,,21.4,,,,,
KHR-XD2N,71.4,0.0,0.0,14.3,0.0,17.1,21.4,,3.6,,,,,
KHR-XE2N,71.4,0.0,0.0,0.0,0.0,14.3,17.9,,0.0,,,,,
EHT-XC6S,14.3,0.0,7.1,14.3,0.0,7.1,8.9,,5.4,,,,,
KWT-2,0.0,0.0,0.0,0.0,71.4,14.3,0.0,,17.9,,,,,
EWT-2,0.0,0.0,0.0,0.0,71.4,14.3,0.0,,17.9,,,,,
KER-2,0.0,0.0,0.0,0.0,71.4,14.3,0.0,,17.9,,,,,
,34.8,41.5,55.5,73.0,26.7,46.3,51.2,,49.2,AVG %AGE,,,,
,,,,,,26.0,49,,54,# >= 50%,,,,
,,,,,,,8,,5,>3 CAT,,,,
