well_id,2018_147,2018_161,2018_175,2018_189,2018_203,2018_217,2018_231,2018_245,2018_259,2018_273,2018_287,2018_301,2018_315,2019_147,2019_161,2019_175,2019_189,2019_203,2019_217,2019_231,2019_245,2019_259,2019_273,2019_287,2019_301,2019_315,2021_147,2021_161,2021_175,2021_189,2021_203,2021_217,2021_231,2021_245,2021_259,2021_273,2021_287,2021_301,2021_315,2024_147,2024_161,2024_175,2024_189,2024_203,2024_217,2024_231,2024_245,2024_259,2024_273,2024_287,2024_301,2024_315,2025_147,2025_161,2025_175,2025_189,2025_203,2025_217,2025_231,2025_245,2025_259,2025_273,2025_287,2025_301,2025_315
EEF-1,4.7887,,2.88365,,24.09798055314465,13.16368501789801,4.472323715554046,0.5452549302034131,1.2330899824150137,0.7283363268384068,0.014754690316765795,-1.2238694925560663,-3.66096461937526,-2.0,,1.6503,18.0503,49.017,56.1503,39.4837,20.017,2.437456532750331,4.008613941259466,3.8776826571572536,,,13.1594,38.153,69.0394,78.45808604776035,78.97584273426696,78.79599432923496,79.44765025719734,83.7714,,83.4666,,,7.673,1.7,21.155,48.995,,79.46685760076356,78.99769110579567,72.31469847116307,41.568723508187205,33.01315350746988,18.68969150116038,14.75182749783693,11.178202725934877,9.299890341148963,,,,,,,,,,,,,
EEF-2,,,,,,,,,,,,,,,,,81.6833,110.51527174573279,120.25599536722002,130.48550945620647,141.75428959837114,135.62578731584614,132.7666732843624,92.95,,,92.5252,115.4868,134.8924,135.6036,,,,,,,,,-3.0601,-8.415,40.54679522539503,75.60715277264843,101.14234345257931,131.23,,,,,,,,,43.63056779589968,72.0890320682115,99.1630129753984,127.29214518855999,141.05548915494302,140.06519813164044,140.4360484049632,140.27294186742608,141.18887633521183,141.21917080315373,141.7367115902161,122.1648276512727,
EEF-XA3S,3.384,,12.909,,64.6773,,,,,,,,,-0.0893,,3.6107,6.444,40.044,63.7107,,,22.4773,18.544,13.4107,,,15.5224,39.6016,86.744,,,,,,,,,,3.8672,1.4537499999999999,5.6988,38.6188,,96.6288,,,,,,,87.5888,18.1888,,,,,,,,,,,,,
EER-1,17.2537,,33.816649999999996,,41.80640391467591,40.99620030278775,41.42697969934348,39.51212114838607,37.04401719548974,30.98142586798565,26.350130542873355,24.12682018007185,23.270741124428266,2.6104,,14.0104,33.0187,37.9104,39.0437,39.2771,39.1104,24.9437,23.7771,22.2771,,,28.7317,37.7741,40.5173,41.08801192824724,46.5117,48.2389,44.2765,43.7685,40.93380564058525,38.20052797336475,29.383467934798997,14.513682516355052,16.423867518733992,3.8200000000000003,27.41,34.31,,40.31,39.29,38.89,36.45,30.35,,24.23997381961357,20.95713770461555,20.07801443904643,22.794887245815104,29.080089316020928,32.73979277366508,36.776751865225286,37.55658965066103,38.62699613399239,39.55480006038546,29.259709558418905,29.05674872865848,25.461926933861264,21.276861109656554,17.901440398744523,
EER-XB4S,,,,,39.2,,,,,,,,,,,,26.1333,,,,,,,24.8,,,17.7912,27.1384,38.924,43.0896,53.148,,,,,46.07315,,,-18.1752,8.485,25.865,34.395,,47.395,,,,38.055,,39.065,28.605,25.555,,,,,,,,,,,,,
EET-1,8.9092,,67.1175,,88.5433,88.9433,,,,,,,,-1.89,,27.4767,,87.61,87.61,,,,,84.0433,,,45.4612,50.2364,83.9676,89.58638357859405,89.64553943593803,,,,,,,,13.1524,18.9825,59.7275,,,,,,,,,,,81.9775,40.044566594520404,59.36192528023195,87.13183158361485,87.21747246643272,87.17469522521101,86.58516305708474,86.92580503833912,86.80345406545366,87.68275984688802,87.76107838901672,88.28478573773629,84.265958928196,
EFF-XA2N,11.4342,,23.02295,,32.70835,38.7083,35.0083,,32.9417,25.4417,,,,,,7.7083,20.0417,28.575,31.875,31.9083,31.9417,17.4083,13.775,11.075,,,13.0358,22.383,29.2918,32.6446,37.0134,37.623,36.5054,37.623,,28.6312,,,12.0198,6.535,19.745,25.735,,31.375,31.835,32.445,30.005,21.165,,20.355,14.765,9.275,,,,,,,,,,,,,
EFF-XA2S,10.1705,,29.749650000000003,,51.8022,,,,,,,,,,,16.9355,21.1688,46.7355,,,,,44.3022,,34.4355,,34.4755,50.4267,58.3515,,,,,,,,,,14.0634,8.118749999999999,30.8238,43.0237,,,,,,,,,,41.3938,,,,,,,,,,,,,
EFR-XB1S,34.4473,,41.80275,,44.7873,45.6373,45.504,,46.6373,46.404,,,,,,,35.2707,41.004,,,,,,45.604,,,45.3496,47.6864,48.296,49.5152,50.2264,51.1408,52.1568,50.836,,48.983549999999994,,,41.692,22.045,36.015,40.685,,44.75,45.765,46.075,46.475,45.875,,45.465,44.855,43.735,,,,,,,,,,,,,
EFR-XB2S,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8408,44.9368,,,57.1288,56.824,,,,,,,33.0496,18.245,,,,48.725,,,,,,,42.935,,,,,,,,,,,,,,
