"Well.Name","Date","water.relative.to.ground"
"EEF-1",2018-06-01,-1.71916666666667
"EEF-1",2018-06-18,1.87916666666667
"EEF-1",2018-06-30,-1.5075
"EEF-1",2018-07-16,-13.0475
"EEF-1",2018-07-25,-20.4808333333333
"EEF-1",2018-08-10,-4.01416666666667
"EEF-1",2018-08-24,1.2525
"EEF-1",2018-09-16,0.7525
"EEF-1",2018-09-29,2.4525
"EEF-1",2018-11-18,3.0525
"EEF-1",2019-06-02,NA
"EEF-1",2019-06-18,-1.58083333333333
"EEF-1",2019-07-06,-14.9808333333333
"EEF-1",2019-07-26,-45.9475
"EEF-1",2019-08-05,-53.0808333333333
"EEF-1",2019-08-20,-36.4141666666667
"EEF-1",2019-09-03,-16.9475
"EEF-1",2019-09-21,1.3525
"EEF-1",2019-10-05,-0.180833333333332
"EEF-1",2019-10-20,-1.9475
"EER-1",2018-05-31,-14.28832
"EER-1",2018-06-18,-26.35332
"EER-1",2018-06-30,-35.3491533333333
"EER-1",2018-07-16,-39.27832
"EER-1",2018-07-25,-38.4116533333333
"EER-1",2018-08-10,-39.57832
"EER-1",2018-08-24,-38.1116533333333
"EER-1",2018-09-16,-32.9116533333333
"EER-1",2018-09-29,-29.4449866666667
"EER-1",2018-11-18,-22.0116533333333
"EER-1",2019-06-02,-2.64498666666667
"EER-1",2019-06-18,-11.0449866666667
"EER-1",2019-07-06,-30.05332
"EER-1",2019-07-26,-34.9449866666667
"EER-1",2019-08-05,-36.07832
"EER-1",2019-08-20,-36.3116533333333
"EER-1",2019-09-03,-36.1449866666667
"EER-1",2019-09-21,-21.97832
"EER-1",2019-10-05,-20.8116533333333
"EER-1",2019-10-20,-19.3116533333333
"EET-1",2018-06-01,-7.49439393752381
"EET-1",2018-06-18,-46.8643939375238
"EET-1",2018-06-30,-84.5410606041905
"EET-1",2018-07-16,-87.1285606041905
"EET-1",2018-07-25,NA
"EET-1",2018-08-10,-87.5285606041905
"EET-1",2018-08-24,NA
"EET-1",2018-09-16,NA
"EET-1",2018-09-29,NA
"EET-1",2018-11-18,-70.0952272708571
"EET-1",2019-06-02,0.304772729142861
"EET-1",2019-06-18,-26.0618939375238
"EET-1",2019-07-26,-86.1952272708571
"EET-1",2019-08-05,-86.1952272708571
"EET-1",2019-08-20,NA
"EET-1",2019-09-21,NA
"EET-1",2019-10-20,-82.6285606041905
"EET-2",2019-07-06,NA
"EET-2",2019-07-26,NA
"EET-2",2019-09-03,NA
"EET-2",2019-10-20,NA
"EFF-XA1N",2019-06-18,NA
"EFF-XA1N",2019-07-06,NA
"EFF-XA1N",2019-07-26,NA
"EFF-XA1N",2019-08-05,NA
"EFF-XA1N",2019-09-21,NA
"EFF-XA1N",2019-10-05,NA
"EFF-XA1N",2019-10-20,NA
"EFF-XA2N",2018-05-31,-5.70616666666667
"EFF-XA2N",2018-06-18,-13.0086666666667
"EFF-XA2N",2018-06-30,-21.5811666666667
"EFF-XA2N",2018-07-16,-26.847
"EFF-XA2N",2018-07-25,-27.1136666666667
"EFF-XA2N",2018-08-10,-32.9803333333333
"EFF-XA2N",2018-08-24,-29.2803333333333
"EFF-XA2N",2018-09-16,-27.2136666666667
"EFF-XA2N",2018-09-29,-19.7136666666667
"EFF-XA2N",2018-11-18,-4.647
"EFF-XA2N",2019-06-18,-1.98033333333333
"EFF-XA2N",2019-07-06,-14.3136666666667
"EFF-XA2N",2019-07-26,-22.847
"EFF-XA2N",2019-08-05,-26.147
"EFF-XA2N",2019-08-20,-26.1803333333333
"EFF-XA2N",2019-09-03,-26.2136666666667
"EFF-XA2N",2019-09-21,-11.6803333333333
"EFF-XA2N",2019-10-05,-80.1803333333333
"EFF-XA2N",2019-10-20,-5.347
"EFF-XB7S",2019-07-06,NA
"EFF-XB7S",2019-07-26,NA
"EFF-XB7S",2019-08-05,NA
"EFF-XB7S",2019-08-20,NA
"EFF-XB7S",2019-09-03,NA
"EFF-XB7S",2019-10-20,NA
"EFR-XB1S",2018-06-01,-31.4473333333333
"EFR-XB1S",2018-06-18,-37.1623333333333
"EFR-XB1S",2018-06-30,-40.4431666666667
"EFR-XB1S",2018-07-16,-42.5373333333333
"EFR-XB1S",2018-07-25,-41.0373333333333
"EFR-XB1S",2018-08-10,-42.6373333333333
"EFR-XB1S",2018-08-24,-42.504
"EFR-XB1S",2018-09-16,-43.6373333333333
"EFR-XB1S",2018-09-29,-43.404
"EFR-XB1S",2018-11-18,-41.9373333333333
"EFR-XB1S",2019-07-06,-32.2706666666667
"EFR-XB1S",2019-07-26,-38.004
"EFR-XB1S",2019-10-20,-42.604
"EFR-XB2N",2018-07-16,-22.75
"EFR-XB2N",2018-07-25,-22.15
"EFR-XB2N",2019-07-06,-13.95
"EFR-XB2N",2019-07-26,-21.6166666666667
"EFR-XB2N",2019-10-20,-12.95
"EFR-XB2S",2018-07-16,NA
"EFR-XB2S",2019-07-06,NA
"EFR-XB2S",2019-07-26,NA
"EFR-XB2S",2019-08-20,NA
"EFR-XB2S",2019-10-20,NA
"EFR-XB3N",2018-07-16,-34.8
"EFR-XB3N",2018-07-25,-33.6666666666667
"EFR-XB3N",2019-07-06,-25.3
"EFR-XB3N",2019-07-26,-30.1333333333333
"EFR-XB3N",2019-09-03,-31.2
"EFR-XB3N",2019-10-20,-18.5666666666667
"EFR-XB3S",2018-07-16,NA
"EFR-XB3S",2019-07-06,NA
"EFR-XB3S",2019-07-26,NA
"EFR-XB3S",2019-10-20,NA
"EHF-XA3S",2018-06-01,-0.527115381276597
"EHF-XA3S",2018-06-18,-2.00878204794326
"EHF-XA3S",2018-06-30,-18.0954487146099
"EHF-XA3S",2018-07-16,-48.9204487146099
"EHF-XA3S",2018-07-25,-74.7204487146099
"EHF-XA3S",2018-08-10,NA
"EHF-XA3S",2018-08-24,NA
"EHF-XA3S",2018-09-16,NA
"EHF-XA3S",2018-09-29,NA
"EHF-XA3S",2018-11-18,-12.9204487146099
"EHF-XA3S",2019-06-02,-0.053782047943263
"EHF-XA3S",2019-06-18,-0.753782047943261
"EHF-XA3S",2019-07-06,-3.58711538127659
"EHF-XA3S",2019-07-26,-37.1871153812766
"EHF-XA3S",2019-08-05,-60.8537820479433
"EHF-XA3S",2019-08-20,NA
"EHF-XA3S",2019-09-21,-19.6204487146099
"EHF-XA3S",2019-10-05,-15.6871153812766
"EHF-XA3S",2019-10-20,-10.5537820479433
"EHR-1",2018-05-31,-26.2371153810345
"EHR-1",2018-06-18,-41.0537820477012
"EHR-1",2018-06-30,-55.8704487143678
