"TOA5","Station1_wx100","CR1000","6586","CR1000.Std.10","CPU:sh_site1_2_6.CR1","46320","Raw"
"TIMESTAMP","RECORD","SnowPillow_mv_Avg","SnowPillow_in_Avg","SWE_cm_Avg","SWE_cm_Min","SWE_cm_Max","SWE_mV_Avg","Geo_inch"
"TS","RN","mV","H2O inches","","","","",""
"","","Avg","Avg","Avg","Min","Max","Avg","Smp"
"2016-05-08 11:30:00",130225,0.142,2.36,"NAN","NAN","NAN","NAN",25.08
"2016-05-08 11:40:00",130226,0.142,2.358,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 11:50:00",130227,0.14,2.331,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 12:00:00",130228,0.14,2.323,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 12:10:00",130229,0.14,2.331,"NAN","NAN","NAN","NAN",25.08
"2016-05-08 12:20:00",130230,0.14,2.333,"NAN","NAN","NAN","NAN",25.08
"2016-05-08 12:30:00",130231,0.14,2.326,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 12:40:00",130232,0.14,2.319,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 12:50:00",130233,0.14,2.322,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 13:00:00",130234,0.14,2.321,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 13:10:00",130235,0.14,2.321,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 13:20:00",130236,0.14,2.327,"NAN","NAN","NAN","NAN",25.05
"2016-05-08 13:30:00",130237,0.14,2.331,"NAN","NAN","NAN","NAN",25.06
"2016-05-08 13:40:00",130238,0.14,2.331,"NAN","NAN","NAN","NAN",25.06
"2016-05-08 13:50:00",130239,0.14,2.333,"NAN","NAN","NAN","NAN",25.05
"2016-05-08 14:00:00",130240,0.141,2.337,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 14:10:00",130241,0.14,2.336,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 14:20:00",130242,0.14,2.331,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 14:30:00",130243,0.14,2.328,"NAN","NAN","NAN","NAN",25.02
"2016-05-08 14:40:00",130244,0.14,2.322,"NAN","NAN","NAN","NAN",25.02
"2016-05-08 14:50:00",130245,0.14,2.33,"NAN","NAN","NAN","NAN",25.04
"2016-05-08 15:00:00",130246,0.14,2.329,"NAN","NAN","NAN","NAN",25.02
"2016-05-08 15:10:00",130247,0.14,2.323,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 15:20:00",130248,0.14,2.322,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 15:30:00",130249,0.139,2.313,"NAN","NAN","NAN","NAN",25.02
"2016-05-08 15:40:00",130250,0.139,2.312,"NAN","NAN","NAN","NAN",25.05
"2016-05-08 15:50:00",130251,0.139,2.313,"NAN","NAN","NAN","NAN",25.08
"2016-05-08 16:00:00",130252,0.14,2.323,"NAN","NAN","NAN","NAN",25.01
"2016-05-08 16:10:00",130253,0.14,2.333,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 16:20:00",130254,0.141,2.337,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 16:30:00",130255,0.14,2.333,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 16:40:00",130256,0.14,2.335,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 16:50:00",130257,0.141,2.34,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 17:00:00",130258,0.14,2.331,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 17:10:00",130259,0.14,2.33,"NAN","NAN","NAN","NAN",25.03
"2016-05-08 17:20:00",130260,0.141,2.353,"NAN","NAN","NAN","NAN",25.05
"2016-05-08 17:30:00",130261,0.142,2.374,"NAN","NAN","NAN","NAN",25.04
"2016-05-08 17:40:00",130262,0.144,2.412,"NAN","NAN","NAN","NAN",25.04
"2016-05-08 17:50:00",130263,0.144,2.399,"NAN","NAN","NAN","NAN",25.08
"2016-05-08 18:00:00",130264,0.143,2.381,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 18:10:00",130265,0.143,2.388,"NAN","NAN","NAN","NAN",25.08
"2016-05-08 18:20:00",130266,0.143,2.383,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 18:30:00",130267,0.143,2.386,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 18:40:00",130268,0.143,2.383,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 18:50:00",130269,0.143,2.378,"NAN","NAN","NAN","NAN",25.07
"2016-05-08 19:00:00",130270,0.142,2.367,"NAN","NAN","NAN","NAN",25.07
