"TOA5","Station8_wx","CR1000","12863","CR1000.Std.14","CPU:SH_Site8_2_3.CR1","46596","Raw"
"TIMESTAMP","RECORD","SnowPillow_mv_Avg"
"TS","RN","mV"
"","","Avg"
"2016-05-08 11:30:00",239746,-0.197
"2016-05-08 11:40:00",239747,-0.181
"2016-05-08 11:50:00",239748,-0.178
"2016-05-08 12:00:00",239749,-0.208
"2016-05-08 12:10:00",239750,-0.208
"2016-05-08 12:20:00",239751,-0.209
"2016-05-08 12:30:00",239752,-0.217
"2016-05-08 12:40:00",239753,-0.199
"2016-05-08 12:50:00",239754,-0.2
"2016-05-08 13:00:00",239755,-0.188
"2016-05-08 13:10:00",239756,-0.158
"2016-05-08 13:20:00",239757,-0.165
"2016-05-08 13:30:00",239758,-0.167
"2016-05-08 13:40:00",239759,-0.169
"2016-05-08 13:50:00",239760,-0.161
"2016-05-08 14:00:00",239761,-0.155
"2016-05-08 14:10:00",239762,-0.14
"2016-05-08 14:20:00",239763,-0.132
"2016-05-08 14:30:00",239764,-0.13
"2016-05-08 14:40:00",239765,-0.117
"2016-05-08 14:50:00",239766,-0.111
"2016-05-08 15:00:00",239767,-0.1
"2016-05-08 15:10:00",239768,-0.095
"2016-05-08 15:20:00",239769,-0.087
"2016-05-08 15:30:00",239770,-0.096
"2016-05-08 15:40:00",239771,-0.102
"2016-05-08 15:50:00",239772,-0.112
"2016-05-08 16:00:00",239773,-0.125
"2016-05-08 16:10:00",239774,-0.113
"2016-05-08 16:20:00",239775,-0.107
"2016-05-08 16:30:00",239776,-0.108
"2016-05-08 16:40:00",239777,-0.119
"2016-05-08 16:50:00",239778,-0.124
"2016-05-08 17:00:00",239779,-0.135
"2016-05-08 17:10:00",239780,-0.136
"2016-05-08 17:20:00",239781,-0.144
"2016-05-08 17:30:00",239782,-0.159
"2016-05-08 17:40:00",239783,-0.165
"2016-05-08 17:50:00",239784,-0.173
"2016-05-08 18:00:00",239785,-0.18
"2016-05-08 18:10:00",239786,-0.203
"2016-05-08 18:20:00",239787,-0.2
"2016-05-08 18:30:00",239788,-0.211
"2016-05-08 18:40:00",239789,-0.217
"2016-05-08 18:50:00",239790,-0.216
"2016-05-08 19:00:00",239791,-0.218
"2016-05-08 19:10:00",239792,-0.215
"2016-05-08 19:20:00",239793,-0.225
"2016-05-08 19:30:00",239794,-0.224
"2016-05-08 19:40:00",239795,-0.228
"2016-05-08 19:50:00",239796,-0.244
"2016-05-08 20:00:00",239797,-0.244
"2016-05-08 20:10:00",239798,-0.243
