,year,n_wells,n_measurements,start_date,end_date,mean_hour,mean_ground_to_water_cm,std_ground_to_water_cm,median_ground_to_water_cm,min_ground_to_water_cm,max_ground_to_water_cm,max_measurements_per_well,wells_with_max_measurements,pct_wells_with_max_measurements,wells_with_single_measurement,n_before_10am,pct_before_10am,n_after_10am,pct_after_10am,n_after_11am,pct_after_11am,n_after_noon,pct_after_noon,median_hour,earliest_hour,latest_hour
0,2018,37,237,2018-05-31 08:30:00,2018-11-18 16:42:00,8.573839662447257,41.47349694790435,27.51066704365382,41.150000000000006,-9.0,124.75,11,5,13.513513513513514,3,208,87.76371308016878,29,12.236286919831224,29,12.236286919831224,29,12.236286919831224,8.0,6,16
1,2019,48,300,2019-06-02 08:01:00,2019-10-21 02:27:00,8.896666666666667,30.215373655522225,28.96262587297591,26.516666666666673,-35.406333333333336,134.65,11,1,2.083333333333333,1,219,73.0,81,27.0,65,21.666666666666668,54,18.0,8.0,0,19
2,2021,50,422,2021-05-20 06:53:00,2021-11-14 10:14:00,8.27962085308057,53.973366327684836,37.47823973046951,50.576600000000006,-18.175200000000004,194.672,12,1,2.0,0,358,84.83412322274881,64,15.165876777251185,33,7.819905213270142,20,4.739336492890995,8.0,6,20
3,2024,52,535,2024-05-19 07:09:00,2024-11-09 11:51:00,7.942056074766355,42.644415887850464,35.89107626578069,39.45,-30.5625,189.49,13,21,40.38461538461539,0,481,89.90654205607477,54,10.093457943925234,18,3.364485981308411,1,0.1869158878504673,8.0,6,13
4,2025,23,92,2025-05-29 08:06:00,2025-10-31 16:31:00,14.478260869565217,48.3059375,34.2626680899739,41.685,-5.899999999999999,141.9,5,11,47.82608695652174,0,11,11.956521739130435,81,88.04347826086956,81,88.04347826086956,79,85.86956521739131,15.0,8,18
