well_id,Date,Temp_canopy_C
EER-1,2025-07-11,31.311206928309105
EER-1,2025-07-29,31.007941260634254
EER-1,2025-08-10,28.453264751137567
EER-1,2025-08-23,28.359415061178936
EER-1,2025-09-04,26.348940354619856
EER-1,2025-09-21,22.876898833975304
EER-1,2025-10-19,21.838459851950347
EER-1,2025-10-31,14.45957248559489
EET-1,2025-07-11,32.06518061518892
EET-1,2025-07-29,28.83536950888049
EET-1,2025-08-10,31.703801494295192
EET-1,2025-08-23,32.29967205528362
EET-1,2025-09-04,27.07976661986936
EET-1,2025-09-21,23.745603988115988
EET-1,2025-10-19,20.787936426861506
EET-1,2025-10-31,18.67274094523907
EET-2,2025-07-11,43.00366121439896
EET-2,2025-07-29,37.7631367924148
EET-2,2025-08-10,41.26037845122147
EET-2,2025-08-23,39.29136305941245
EET-2,2025-09-04,30.50632226535629
EET-2,2025-09-21,19.62867862922161
EET-2,2025-10-19,18.862998686004858
EET-2,2025-10-31,21.456611391870013
EHR-1,2025-07-11,27.323196277948796
EHR-1,2025-07-29,30.331438137749558
EHR-1,2025-08-10,29.34513533195326
EHR-1,2025-08-23,30.20469046656973
EHR-1,2025-09-04,26.0872117265028
EHR-1,2025-09-21,22.90071389893609
EHR-1,2025-10-19,14.914607202328511
EHR-1,2025-10-31,15.811954674026651
EHT-XA5S,2025-07-11,39.13333865023037
EHT-XA5S,2025-07-29,37.045331193207744
EHT-XA5S,2025-08-10,39.60307886615408
EHT-XA5S,2025-08-23,42.06666766654371
EHT-XA5S,2025-09-04,35.399089820530946
EHT-XA5S,2025-09-21,21.286467700285016
EHT-XA5S,2025-10-19,25.714361237276933
EHT-XA5S,2025-10-31,24.179297834430088
EHT-XC5S,2025-07-11,41.080216103439795
EHT-XC5S,2025-07-29,38.057383546004246
EHT-XC5S,2025-08-10,36.36664804953426
EHT-XC5S,2025-08-23,37.40227409689004
EHT-XC5S,2025-09-04,31.129439711206373
EHT-XC5S,2025-09-21,31.8759934367518
EHT-XC5S,2025-10-19,26.2666996502968
EHT-XC5S,2025-10-31,19.741664220254393
EWR-1,2025-07-11,25.378737322766995
EWR-1,2025-07-29,20.05871357992754
EWR-1,2025-08-10,21.622073041449426
EWR-1,2025-08-23,23.132396847374878
EWR-1,2025-09-04,21.77708225650855
EWR-1,2025-09-21,17.24147567693859
EWR-1,2025-10-19,370.5642711937287
EWT-1,2025-07-11,31.87546238380105
EWT-1,2025-07-29,22.557885337104153
EWT-1,2025-08-10,27.55455952144922
EWT-1,2025-08-23,28.325356698433552
EWT-1,2025-09-04,23.53481622020746
EWT-1,2025-09-21,23.015174277373546
EWT-2,2025-07-11,28.40076876553013
EWT-2,2025-07-29,25.628800942726855
