



California (PST) SNOTEL Site Independence Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Nov 26 21:19:46 GMT-08:00 2024. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,WTEQ.I-2 (in) ,
541,2021-10-01,,     0.0,    15.4,
541,2021-10-02,,     0.0,    15.3,
541,2021-10-03,,     0.0,    15.6,
541,2021-10-04,,     0.0,    14.9,
541,2021-10-05,,     0.0,    16.2,
541,2021-10-06,,     0.0,    16.4,
541,2021-10-07,,     0.0,    16.5,
541,2021-10-08,,     0.0,    18.0,
541,2021-10-09,,     0.0,  -270.1,
541,2021-10-10,,     0.0,   -77.7,
541,2021-10-11,,     0.0,    11.5,
541,2021-10-12,,     0.2,  -333.9,
541,2021-10-13,,     0.3,  -659.3,
541,2021-10-14,,     0.5,  -508.8,
541,2021-10-15,,     0.6,  -310.4,
541,2021-10-16,,     0.6,  -170.2,
541,2021-10-17,,     0.4,    11.0,
541,2021-10-18,,     0.9,    78.8,
541,2021-10-19,,     1.1,    88.3,
541,2021-10-20,,     1.1,    95.8,
541,2021-10-21,,     1.3,    76.0,
541,2021-10-22,,     0.6,    13.4,
541,2021-10-23,,     0.8,    85.1,
541,2021-10-24,,     1.2,    90.7,
541,2021-10-25,,     4.1,   298.9,
541,2021-10-26,,     6.2,   490.5,
541,2021-10-27,,     6.3,   496.2,
541,2021-10-28,,     6.3,   481.5,
541,2021-10-29,,     6.3,   489.9,
541,2021-10-30,,     6.2,   504.2,
541,2021-10-31,,     6.1,   523.9,
541,2021-11-01,,     6.0,   533.9,
541,2021-11-02,,     5.9,   534.6,
541,2021-11-03,,     5.9,   532.9,
541,2021-11-04,,     5.8,   520.7,
541,2021-11-05,,     5.8,   497.3,
541,2021-11-06,,     5.8,   456.3,
541,2021-11-07,,     5.8,   434.2,
541,2021-11-08,,     5.8,   366.1,
541,2021-11-09,,     6.2,   307.3,
541,2021-11-10,,     6.8,   360.3,
541,2021-11-11,,     6.9,   290.0,
541,2021-11-12,,     6.9,   299.1,
541,2021-11-13,,     6.9,   330.3,
541,2021-11-14,,     6.9,   354.8,
541,2021-11-15,,     6.9,   409.0,
541,2021-11-16,,     6.9,   423.6,
541,2021-11-17,,     6.9,   421.8,
541,2021-11-18,,     6.9,   385.3,
541,2021-11-19,,     6.9,   410.2,
541,2021-11-20,,     7.2,   421.8,
541,2021-11-21,,     7.4,   325.8,
541,2021-11-22,,     7.4,   137.3,
541,2021-11-23,,     7.4,    70.2,
541,2021-11-24,,     7.4,   -38.1,
541,2021-11-25,,     7.4,  -159.1,
541,2021-11-26,,     7.4,  -115.7,
541,2021-11-27,,     7.4,   -18.5,
541,2021-11-28,,     7.4,    37.2,
541,2021-11-29,,     7.4,    91.1,
541,2021-11-30,,     7.4,   144.4,
541,2021-12-01,,     7.4,   143.4,
541,2021-12-02,,     7.4,   117.5,
541,2021-12-03,,     7.4,   104.4,
541,2021-12-04,,     7.4,    95.2,
541,2021-12-05,,     7.4,    82.7,
541,2021-12-06,,     7.4,    61.8,
541,2021-12-07,,     7.5,    76.8,
