



California (PST) SNOTEL Site Independence Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Nov 26 21:19:49 GMT-08:00 2024. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,WTEQ.I-2 (in) ,
541,2023-10-01,,     0.0,     1.9,
541,2023-10-02,,     0.0,     1.4,
541,2023-10-03,,     0.0,     1.4,
541,2023-10-04,,     0.0,     2.1,
541,2023-10-05,,     0.0,     1.8,
541,2023-10-06,,     0.0,     2.0,
541,2023-10-07,,     0.0,     3.0,
541,2023-10-08,,     0.0,     2.9,
541,2023-10-09,,     0.0,     2.7,
541,2023-10-10,,     0.0,     1.3,
541,2023-10-11,,     0.0,     1.2,
541,2023-10-12,,     0.0,    -1.3,
541,2023-10-13,,     0.0,     0.4,
541,2023-10-14,,     0.0,     0.9,
541,2023-10-15,,     0.0,     1.0,
541,2023-10-16,,     0.0,     0.3,
541,2023-10-17,,     0.0,    -0.8,
541,2023-10-18,,     0.0,     0.3,
541,2023-10-19,,     0.0,     0.8,
541,2023-10-20,,     0.0,     1.0,
541,2023-10-21,,     0.0,     1.6,
541,2023-10-22,,     0.0,     1.9,
541,2023-10-23,,     0.0,     1.6,
541,2023-10-24,,     0.0,     0.8,
541,2023-10-25,,     0.0,     0.9,
541,2023-10-26,,     0.4,-99.9,
541,2023-10-27,,     0.5,-99.9,
541,2023-10-28,,     0.5,-99.9,
541,2023-10-29,,     0.5,-99.9,
541,2023-10-30,,     0.6,-99.9,
541,2023-10-31,,     0.7,-99.9,
541,2023-11-01,,     0.7,-99.9,
541,2023-11-02,,     0.5,-99.9,
541,2023-11-03,,     0.4,-99.9,
541,2023-11-04,,     0.0,     0.0,
541,2023-11-05,,     0.0,     0.3,
541,2023-11-06,,     0.0,     2.4,
541,2023-11-07,,     0.9,-99.9,
