"TOA5","Station4_wx","CR1000","12861","CR1000.Std.28","CPU:SH_Site4_2_7.CR1","54124","Public"
"TIMESTAMP","RECORD","Batt_Volt","PanelT","WS_ms_25ft","WindDir_25ft","WS_ms_100ft","WindDir_100ft","AirTC_25ft","RH_25ft","AirTC_100ft","RH_100ft","BP_mbar","SlrkW","SlrMJ","SnowPillow_mv","SnowPillow_in","A0","A1","SP_offset","FullBR(1)","FullBR(2)","FullBR(3)","JUDD_AT","JUDD_Depth","Judd_offset","Flag(1)","Flag(2)","Flag(3)","Flag(4)","Flag(5)","Flag(6)","Flag(7)","Flag(8)","ppt_mass_mv","ppt_inches","wb_trans_mult","Year","Month","Date","Hour","Minute","Second","uSecond","WeekDay","Day_of_Year"
"TS","RN","Volts","","meters/second","Degrees","meters/second","Degrees","Deg C","%","Deg C","%","mbar","kW/m²","MJ/m²","mV","H2O inches","","","","","","","Deg C","inches","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-12-17 07:17:41.24",72841020,12.27624,-1.651737,5.096,209.2542,6.86,187.2843,-3.848507,88.50183,-6.925949,115.1505,755.6875,0.002797556,1.398778E-05,0.05403749,-6.60764,30.0582,-3.03191,5.2,0,0,0,-3.402527,255.434,255.9,0,0,0,0,0,0,0,0,27.79844,27.79844,1,2020,12,17,717,17,41,0,5,352
