Serial_number:,,,,,,,,,,
2091639,,,,,,,,,,
Project ID:,,,,,,,,,,
ISEECI,,,,,,,,,,
Location:,,,,,,,,,,
4,,,,,,,,,,
LEVEL,,,,,,,,,,
UNIT: m,,,,,,,,,,
Offset: 0.000000 m,,,,,,,,,,
TEMPERATURE,,,,,,,,,,
UNIT: °C,,,GW [m],,,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,Baro [Pa] (from baro data),GW+Baro [m] (from EEF-1 data),Baro (m),rho (using baro P/z),GW [kPa] (using table conversion),rho (using table conversion)
7/27/18,3:00:00 PM,0,-0.0176,30.531,81136.8,,,,,
7/27/18,3:10:00 PM,0,0.4678,12.791,81153.7,,,,,
7/27/18,3:20:00 PM,0,0.4799,12.235,81172.1,,,,,
7/27/18,3:30:00 PM,0,0.4833,12.028,81179.4,,,,,
7/27/18,3:40:00 PM,0,0.4804,11.916,81192.7,,,,,
7/27/18,3:50:00 PM,0,0.4775,11.846,81181.9,,,,,
7/27/18,4:00:00 PM,0,0.4741,11.799,81166.7,,,,,
7/27/18,4:10:00 PM,0,0.4718,11.766,81148.6,,,,,
7/27/18,4:20:00 PM,0,0.4706,11.742,81121,,,,,
7/27/18,4:30:00 PM,0,0.4688,11.724,81117.6,,,,,
7/27/18,4:40:00 PM,0,0.4651,11.71,81124.1,8.7366,8.2715,999.7619647,4.561055976,999.6547992
7/27/18,4:50:00 PM,0,0.4631,11.699,81121.3,8.7343,8.2712,999.7637184,4.541442749,999.654799
7/27/18,5:00:00 PM,0,0.462,11.691,81116.6,8.7327,8.2707,999.7662308,4.530655474,999.654799
7/27/18,5:10:00 PM,0,0.4614,11.684,81106.1,8.731,8.2696,999.7697867,4.524771506,999.654799
7/27/18,5:20:00 PM,0,0.4604,11.678,81105,8.7299,8.2695,999.7683171,4.514964892,999.654799
7/27/18,5:30:00 PM,0,0.4598,11.672,81098.1,8.7286,8.2688,999.7678906,4.509080924,999.654799
7/27/18,5:40:00 PM,0,0.4602,11.667,81084.4,8.7276,8.2674,999.7682705,4.51300357,999.654799
7/27/18,5:50:00 PM,0,0.459,11.664,81083.3,8.7263,8.2673,999.7668004,4.501235633,999.654799
7/27/18,6:00:00 PM,0,0.4595,11.66,81072.9,8.7257,8.2662,999.7715911,4.50613894,999.654799
7/27/18,6:10:00 PM,0,0.4579,11.658,81075.9,8.7245,8.2666,999.7602082,4.490448358,999.654799
7/27/18,6:20:00 PM,0,0.4577,11.655,81076.5,8.7243,8.2666,999.7676069,4.488487036,999.654799
7/27/18,6:30:00 PM,0,0.4573,11.652,81075.4,8.7238,8.2665,999.7661366,4.48456439,999.654799
7/27/18,6:40:00 PM,0,0.4574,11.65,81075.6,8.7239,8.2665,999.7686029,4.485545052,999.654799
7/27/18,6:50:00 PM,0,0.4571,11.648,81082.4,8.7243,8.2672,999.7677964,4.482603068,999.654799
7/27/18,7:00:00 PM,0,0.4572,11.646,81081.9,8.7244,8.2672,999.7616312,4.483583729,999.654799
7/27/18,7:10:00 PM,0,0.4588,11.643,81082.1,8.726,8.2672,999.7640973,4.499274311,999.654799
7/27/18,7:20:00 PM,0,0.4598,11.639,81090.4,8.7278,8.268,999.7696929,4.509080924,999.6547992
7/27/18,7:30:00 PM,0,0.4621,11.637,81093.2,8.7304,8.2683,999.7679382,4.531636135,999.6547992
7/27/18,7:40:00 PM,0,0.4636,11.633,81099,8.7325,8.2689,999.7668949,4.546346056,999.6547992
7/27/18,7:50:00 PM,0,0.4659,11.63,81099.4,8.7349,8.269,999.7597354,4.568901267,999.6547992
7/27/18,8:00:00 PM,0,0.4676,11.628,81105,8.7371,8.2695,999.7683171,4.58557251,999.6547992
7/27/18,8:10:00 PM,0,0.4685,11.625,81116.5,8.7392,8.2707,999.7649983,4.594398462,999.6547992
7/27/18,8:20:00 PM,0,0.47,11.623,81125.2,8.7416,8.2716,999.7634341,4.609108383,999.6547992
7/27/18,8:30:00 PM,0,0.4707,11.621,81137.9,8.7436,8.2729,999.7628182,4.615973012,999.6547992
7/27/18,8:40:00 PM,0,0.4714,11.62,81150.7,8.7456,8.2742,999.7634345,4.622837642,999.6547992
7/27/18,8:50:00 PM,0,0.4719,11.619,81165.3,8.7476,8.2757,999.7620608,4.627740948,999.6547992
7/27/18,9:00:00 PM,0,0.4731,11.618,81173.5,8.7496,8.2765,999.7664192,4.639508885,999.6547992
7/27/18,9:10:00 PM,0,0.4735,11.616,81185,8.7512,8.2777,999.7631035,4.64343153,999.6547992
7/27/18,9:20:00 PM,0,0.4745,11.616,81198.5,8.7536,8.2791,999.7602624,4.653238144,999.6547992
7/27/18,9:30:00 PM,0,0.4757,11.615,81204.8,8.7554,8.2797,999.7653768,4.66500608,
7/27/18,9:40:00 PM,0,0.4777,11.615,81204.7,8.7574,8.2797,999.7641456,4.684619307,
7/27/18,9:50:00 PM,0,0.4784,11.614,81211.2,8.7588,8.2804,999.7596476,4.691483937,
7/27/18,10:00:00 PM,0,0.4798,11.614,81215.7,8.7606,8.2808,999.7667498,4.705213196,
7/27/18,10:10:00 PM,0,0.4799,11.613,81224.5,8.7616,8.2817,999.7664182,4.706193857,
7/27/18,10:20:00 PM,0,0.4812,11.613,81231.4,8.7636,8.2824,999.7668441,4.718942455,
7/27/18,10:30:00 PM,0,0.4824,11.612,81241.2,8.7658,8.2834,999.7667491,4.730710391,
7/27/18,10:40:00 PM,0,0.4832,11.612,81245,8.767,8.2838,999.7652345,4.738555682,
7/27/18,10:50:00 PM,0,0.4851,11.612,81240.5,8.7685,8.2834,999.7581348,4.757188248,
7/27/18,11:00:00 PM,0,0.4861,11.612,81241.1,8.7695,8.2834,999.7655185,4.766994861,
7/27/18,11:10:00 PM,0,0.4879,11.611,81235.1,8.7707,8.2828,999.7640985,4.784646766,
7/27/18,11:20:00 PM,0,0.4889,11.611,81234.9,8.7717,8.2828,999.7616371,4.794453379,
7/27/18,11:30:00 PM,0,0.4898,11.611,81234.2,8.7725,8.2827,999.7650926,4.803279332,
7/27/18,11:40:00 PM,0,0.4911,11.611,81230.3,8.7734,8.2823,999.7653766,4.816027929,
7/27/18,11:50:00 PM,0,0.492,11.611,81231.8,8.7745,8.2825,999.7596962,4.824853881,
7/28/18,12:00:00 AM,0,0.4931,11.611,81227.5,8.7751,8.282,999.7671282,4.835641156,
7/28/18,12:10:00 AM,0,0.4942,11.611,81224.1,8.7759,8.2817,999.7614947,4.846428431,
7/28/18,12:20:00 AM,0,0.4951,11.611,81225.6,8.7769,8.2818,999.7678857,4.855254384,
7/28/18,12:30:00 AM,0,0.4951,11.611,81234.5,8.7778,8.2827,999.7687847,4.855254384,
7/28/18,12:40:00 AM,0,0.4965,11.611,81236.8,8.7795,8.283,999.7608799,4.868983643,
7/28/18,12:50:00 AM,0,0.4973,11.611,81233.6,8.78,8.2827,999.7577083,4.876828933,
7/28/18,1:00:00 AM,0,0.4989,11.611,81227.4,8.7809,8.282,999.7658974,4.892519515,
7/28/18,1:10:00 AM,0,0.5001,11.611,81219.4,8.7813,8.2812,999.7640037,4.904287451,
7/28/18,1:20:00 AM,0,0.5008,11.612,81219.4,8.782,8.2812,999.7640037,4.911152081,
7/28/18,1:30:00 AM,0,0.5023,11.611,81215.3,8.7831,8.2808,999.7618258,4.925862001,
7/28/18,1:40:00 AM,0,0.5024,11.612,81220,8.7837,8.2813,999.7593167,4.926842663,
7/28/18,1:50:00 AM,0,0.5034,11.612,81226.4,8.7853,8.2819,999.7656607,4.936649276,
7/28/18,2:00:00 AM,0,0.5041,11.612,81224.8,8.7859,8.2818,999.7580389,4.943513906,
7/28/18,2:10:00 AM,0,0.5052,11.612,81225.6,8.787,8.2818,999.7678857,4.954301181,
7/28/18,2:20:00 AM,0,0.5052,11.612,81233.8,8.7879,8.2827,999.7601697,4.954301181,
7/28/18,2:30:00 AM,0,0.5065,11.612,81236.3,8.7894,8.2829,999.7667966,4.967049778,
7/28/18,2:40:00 AM,0,0.5074,11.612,81237,8.7904,8.283,999.7633412,4.975875731,
7/28/18,2:50:00 AM,0,0.509,11.613,81236.1,8.7919,8.2829,999.7643352,4.991566312,
7/28/18,3:00:00 AM,0,0.5093,11.613,81234.6,8.7921,8.2828,999.757945,4.994508296,
7/28/18,3:10:00 AM,0,0.5109,11.613,81230.6,8.7932,8.2823,999.769069,5.010198878,
7/28/18,3:20:00 AM,0,0.5112,11.613,81237.2,8.7942,8.283,999.7658026,5.013140862,
7/28/18,3:30:00 AM,0,0.5121,11.613,81238.2,8.7952,8.2831,999.7660392,5.021966814,
7/28/18,3:40:00 AM,0,0.5131,11.614,81238.9,8.7963,8.2832,999.7625839,5.031773428,
7/28/18,3:50:00 AM,0,0.5138,11.614,81242.3,8.7973,8.2835,999.7682164,5.038638058,
7/28/18,4:00:00 AM,0,0.515,11.614,81243.8,8.7987,8.2837,999.7625367,5.050405994,
7/28/18,4:10:00 AM,0,0.5155,11.614,81247.2,8.7995,8.284,999.7681688,5.055309301,
7/28/18,4:20:00 AM,0,0.5159,11.615,81250.8,8.8003,8.2844,999.7641933,5.059231946,
7/28/18,4:30:00 AM,0,0.5174,11.615,81251.6,8.8019,8.2845,999.7619691,5.073941866,
7/28/18,4:40:00 AM,0,0.5178,11.615,81254.7,8.8026,8.2848,999.7639094,5.077864512,
7/28/18,4:50:00 AM,0,0.519,11.615,81256,8.8039,8.2849,999.7678372,5.089632448,
7/28/18,5:00:00 AM,0,0.5204,11.616,81252.4,8.805,8.2846,999.7597448,5.103361707,
7/28/18,5:10:00 AM,0,0.5214,11.616,81250.7,8.8058,8.2844,999.7629629,5.113168321,
7/28/18,5:20:00 AM,0,0.5222,11.617,81249.3,8.8065,8.2843,999.7578043,5.121013612,
7/28/18,5:30:00 AM,0,0.5229,11.616,81248.2,8.807,8.2841,999.7684054,5.127878241,
7/28/18,5:40:00 AM,0,0.5245,11.617,81242.8,8.8081,8.2836,999.7623001,5.143568823,
7/28/18,5:50:00 AM,0,0.5249,11.617,81244.8,8.8087,8.2838,999.7627734,5.147491468,
7/28/18,6:00:00 AM,0,0.5252,11.617,81250,8.8095,8.2843,999.7664177,5.150433452,
7/28/18,6:10:00 AM,0,0.5266,11.617,81254.2,8.8114,8.2848,999.7577574,5.164162711,
7/28/18,6:20:00 AM,0,0.5267,11.618,81259.9,8.812,8.2853,999.7675531,5.165143373,
7/28/18,6:30:00 AM,0,0.5272,11.618,81264,8.813,8.2858,999.7576636,5.170046679,
7/28/18,6:40:00 AM,0,0.528,11.618,81272.5,8.8146,8.2866,999.7657075,5.17789197,
7/28/18,6:50:00 AM,0,0.5289,11.618,81274.2,8.8157,8.2868,999.7624903,5.186717923,
7/28/18,7:00:00 AM,0,0.5303,11.619,81274.6,8.8171,8.2868,999.7674107,5.200447182,
7/28/18,7:10:00 AM,0,0.5313,11.619,81271.1,8.8178,8.2865,999.7605503,5.210253795,
7/28/18,7:20:00 AM,0,0.5328,11.619,81261.6,8.8183,8.2855,999.7643354,5.224963716,
7/28/18,7:30:00 AM,0,0.5338,11.62,81262.6,8.8194,8.2856,999.764572,5.234770329,
7/28/18,7:40:00 AM,0,0.5349,11.621,81262.4,8.8205,8.2856,999.7621114,5.245557604,
7/28/18,7:50:00 AM,0,0.5359,11.621,81259,8.8211,8.2852,999.7685469,5.255364218,
7/28/18,8:00:00 AM,0,0.5368,11.621,81258.1,8.822,8.2852,999.7574738,5.26419017,
7/28/18,8:10:00 AM,0,0.5385,11.622,81255.6,8.8234,8.2849,999.7629156,5.280861413,
7/28/18,8:20:00 AM,0,0.5407,11.623,81243.4,8.8244,8.2837,999.7576145,5.302435963,
7/28/18,8:30:00 AM,0,0.5416,11.623,81243.9,8.8253,8.2837,999.7637673,5.311261915,
7/28/18,8:40:00 AM,0,0.5436,11.624,81232.1,8.8261,8.2825,999.7633885,5.330875142,
7/28/18,8:50:00 AM,0,0.5448,11.624,81230.8,8.8272,8.2824,999.7594595,5.342643078,
7/28/18,9:00:00 AM,0,0.546,11.625,81227.4,8.828,8.282,999.7658974,5.354411015,
7/28/18,9:10:00 AM,0,0.5464,11.626,81228.5,8.8285,8.2821,999.7673649,5.35833366,
7/28/18,9:20:00 AM,0,0.5463,11.627,81235,8.8291,8.2828,999.7628678,5.357352999,
7/28/18,9:30:00 AM,0,0.5461,11.628,81243.2,8.8297,8.2836,999.7672224,5.355391676,
7/28/18,9:40:00 AM,0,0.546,11.628,81250.3,8.8304,8.2844,999.758041,5.354411015,
7/28/18,9:50:00 AM,0,0.5449,11.629,81261.1,8.8304,8.2855,999.7581838,5.34362374,
7/28/18,10:00:00 AM,0,0.545,11.629,81269.4,8.8313,8.2863,999.7637676,5.344604401,
7/28/18,10:10:00 AM,0,0.5439,11.63,81276,8.8309,8.287,999.7605033,5.333817126,
7/28/18,10:20:00 AM,0,0.5436,11.631,81278.3,8.8308,8.2872,999.7646666,5.330875142,
7/28/18,10:30:00 AM,0,0.542,11.631,81286.1,8.83,8.288,999.764099,5.31518456,
7/28/18,10:40:00 AM,0,0.5412,11.632,81288.7,8.8295,8.2883,999.759889,5.30733927,
7/28/18,10:50:00 AM,0,0.5398,11.632,81291.6,8.8284,8.2886,999.7593688,5.293610011,
7/28/18,11:00:00 AM,0,0.5382,11.633,81293.6,8.827,8.2888,999.759842,5.277919429,
7/28/18,11:10:00 AM,0,0.5364,11.634,81295.2,8.8253,8.2889,999.7674573,5.260267524,
7/28/18,11:20:00 AM,0,0.5344,11.634,81295.4,8.8234,8.289,999.7578555,5.240654297,
7/28/18,11:30:00 AM,0,0.5321,11.634,81298,8.8213,8.2892,999.7657072,5.218099086,
7/28/18,11:40:00 AM,0,0.5303,11.635,81287.6,8.8185,8.2882,999.7584225,5.200447182,
7/28/18,11:50:00 AM,0,0.5278,11.635,81282.2,8.8154,8.2876,999.7643828,5.175930648,
7/28/18,12:00:00 PM,0,0.5249,11.636,81287.3,8.813,8.2881,999.7667953,5.147491468,
7/28/18,12:10:00 PM,0,0.5226,11.636,81283.6,8.8103,8.2877,999.7695392,5.124936257,
