deploy_end,deploy_start,deployment_id,deploy_year,well_id,DT,Date,Time,raw_Level_m,TEMPERATURE,end_date_x,cut_start,cut_end,temp_threshold,end_date_y,Rate of Change
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 16:20:00,7/26/2018,04:20:00 pm,8.2771,8.837,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 16:30:00,7/26/2018,04:30:00 pm,8.2767,8.837,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 16:40:00,7/26/2018,04:40:00 pm,8.276,8.837,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 16:50:00,7/26/2018,04:50:00 pm,8.2752,8.838,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,9.999999999994457e-05
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 17:00:00,7/26/2018,05:00:00 pm,8.2743,8.839,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.00010000000000012221
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 17:10:00,7/26/2018,05:10:00 pm,8.2738,8.839,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 17:20:00,7/26/2018,05:20:00 pm,8.2735,8.839,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 17:30:00,7/26/2018,05:30:00 pm,8.2733,8.839,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 17:40:00,7/26/2018,05:40:00 pm,8.273,8.838,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.00010000000000012221
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 17:50:00,7/26/2018,05:50:00 pm,8.2723,8.838,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 18:00:00,7/26/2018,06:00:00 pm,8.272,8.838,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 18:10:00,7/26/2018,06:10:00 pm,8.2715,8.838,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 18:20:00,7/26/2018,06:20:00 pm,8.2708,8.838,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
2018-07-27 23:59:00,2018-07-25,KWF-1_2018_0725_0727,2018,KWF-1,2018-07-26 18:30:00,7/26/2018,06:30:00 pm,8.2704,8.838,2018-07-27,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2018-07-27,0.0
