well_id,Date,Time,ms,DT,raw_Level_m,TEMPERATURE,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Rate of Change
KET-1,9/4/19,9:00:00 AM,0,2019-09-04 09:00:00,9.0989,11.336,,,,,,,,,,,0.0
KET-1,9/4/19,9:10:00 AM,0,2019-09-04 09:10:00,9.0992,11.336,,,,,,,,,,,0.0
KET-1,9/4/19,9:20:00 AM,0,2019-09-04 09:20:00,9.0987,11.336,,,,,,,,,,,9.999999999994457e-05
KET-1,9/4/19,9:30:00 AM,0,2019-09-04 09:30:00,9.0986,11.335,,,,,,,,,,,0.0
KET-1,9/4/19,9:40:00 AM,0,2019-09-04 09:40:00,9.0982,11.335,,,,,,,,,,,0.0
KET-1,9/4/19,9:50:00 AM,0,2019-09-04 09:50:00,9.0974,11.335,,,,,,,,,,,0.00010000000000012221
KET-1,9/4/19,10:00:00 AM,0,2019-09-04 10:00:00,9.0965,11.334,,,,,,,,,,,0.00010000000000012221
KET-1,9/4/19,10:10:00 AM,0,2019-09-04 10:10:00,9.096,11.335,,,,,,,,,,,0.0
KET-1,9/4/19,10:20:00 AM,0,2019-09-04 10:20:00,9.095,11.335,,,,,,,,,,,0.0
KET-1,9/4/19,10:30:00 AM,0,2019-09-04 10:30:00,9.0937,11.335,,,,,,,,,,,0.00010000000000012221
KET-1,9/4/19,10:40:00 AM,0,2019-09-04 10:40:00,9.092,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,10:50:00 AM,0,2019-09-04 10:50:00,9.0911,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,11:00:00 AM,0,2019-09-04 11:00:00,9.0892,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,11:10:00 AM,0,2019-09-04 11:10:00,9.0874,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,11:20:00 AM,0,2019-09-04 11:20:00,9.0859,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,11:30:00 AM,0,2019-09-04 11:30:00,9.0843,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,11:40:00 AM,0,2019-09-04 11:40:00,9.0826,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,11:50:00 AM,0,2019-09-04 11:50:00,9.0809,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,12:00:00 PM,0,2019-09-04 12:00:00,9.0783,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,12:10:00 PM,0,2019-09-04 12:10:00,9.0758,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,12:20:00 PM,0,2019-09-04 12:20:00,9.0727,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,12:30:00 PM,0,2019-09-04 12:30:00,9.07,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,12:40:00 PM,0,2019-09-04 12:40:00,9.0663,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,12:50:00 PM,0,2019-09-04 12:50:00,9.063,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,1:00:00 PM,0,2019-09-04 13:00:00,9.0602,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,1:10:00 PM,0,2019-09-04 13:10:00,9.0581,11.334,,,,,,,,,,,0.0
KET-1,9/4/19,1:20:00 PM,0,2019-09-04 13:20:00,9.0561,11.334,,,,,,,,,,,9.999999999994457e-05
KET-1,9/4/19,1:30:00 PM,0,2019-09-04 13:30:00,9.0537,11.333,,,,,,,,,,,9.999999999994457e-05
KET-1,9/4/19,1:40:00 PM,0,2019-09-04 13:40:00,9.0521,11.334,,,,,,,,,,,9.999999999994457e-05
KET-1,9/4/19,1:50:00 PM,0,2019-09-04 13:50:00,9.05,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,2:00:00 PM,0,2019-09-04 14:00:00,9.0484,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,2:10:00 PM,0,2019-09-04 14:10:00,9.0509,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,2:20:00 PM,0,2019-09-04 14:20:00,9.0494,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,2:30:00 PM,0,2019-09-04 14:30:00,9.0478,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,2:40:00 PM,0,2019-09-04 14:40:00,9.0468,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,2:50:00 PM,0,2019-09-04 14:50:00,9.0458,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,3:00:00 PM,0,2019-09-04 15:00:00,9.0445,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,3:10:00 PM,0,2019-09-04 15:10:00,9.0448,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,3:20:00 PM,0,2019-09-04 15:20:00,9.0449,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,3:30:00 PM,0,2019-09-04 15:30:00,9.0425,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,3:40:00 PM,0,2019-09-04 15:40:00,9.0419,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,3:50:00 PM,0,2019-09-04 15:50:00,9.0405,11.333,,,,,,,,,,,0.0
KET-1,9/4/19,4:00:00 PM,0,2019-09-04 16:00:00,9.0464,11.333,,,,,,,,,,,9.999999999994457e-05
KET-1,9/4/19,4:10:00 PM,0,2019-09-04 16:10:00,9.0446,11.332,,,,,,,,,,,0.0
KET-1,9/4/19,4:20:00 PM,0,2019-09-04 16:20:00,9.045,11.332,,,,,,,,,,,0.0
KET-1,9/4/19,4:30:00 PM,0,2019-09-04 16:30:00,9.0453,11.332,,,,,,,,,,,0.0
KET-1,9/4/19,4:40:00 PM,0,2019-09-04 16:40:00,9.0448,11.332,,,,,,,,,,,9.999999999994457e-05
KET-1,9/4/19,4:50:00 PM,0,2019-09-04 16:50:00,9.0466,11.333,,,,,,,,,,,0.0
