well_id,timestamp,welltop_to_ground,total_well_length,meter_id
B6S,8/7/20,19.7,153.5,
B6S,8/7/20,20.5,152.7,
B6S,8/7/20,23,152.5,
B6S,8/7/20,22.2,,
EEF-1,6/1/18 7:45,59.3725,,
EEF-1,6/18/18 8:32,59.69,,
EEF-1,6/30/18 8:55,59.4525,,
EEF-1,7/16/18 8:40,59.8,,
EEF-1,8/24/18 8:39,58.6,,
EEF-1,8/7/20 0:00,,154.4,
EEF-1,8/7/20 0:00,,154.3,
EEF-1,8/7/20 0:00,,154.3,
EER-1,5/31/18 8:40,78.4352,,
EER-1,5/31/18 8:40,77.47,,
EER-1,5/31/18 8:40,78.105,,
EER-1,6/30/18 8:20,78.42168,,
EER-1,7/25/18 7:25,78.9,,
EER-1,8/24/18 8:00,78.5,,
EET-1,6/1/18 7:56,57.4675,147.85,
EET-1,6/18/18 8:38,57.15,,
EET-1,7/16/18 8:47,58.5,,
EET-1,7/25/18 8:25,58,149,v2
EET-1,8/7/20 0:00,62.1,148.2,
EET-1,8/7/20 0:00,62,147.7,
EET-1,8/7/20 0:00,60.9,147.6,
EET-1,8/7/20 0:00,59,,
EFF-XA2N,5/31/18 8:55,45.72,,
EFF-XA2N,5/31/18 8:55,43.815,,
EFF-XA2N,6/30/18 8:31,44.353,,
EFF-XA2N,7/16/18 8:10,44.2,,
EFF-XA2N,7/25/18 7:36,44.8,,
EFF-XA2N,8/24/18 8:13,44.5,,
EFF-XB7S,8/7/20,49.8,153.3,
EFF-XB7S,8/7/20,51.3,153.1,
EFF-XB7S,8/7/20,51.5,153,
EFF-XB7S,8/7/20,50,,
EFR-XB1S,6/1/18 7:40,86.6775,,
EFR-XB1S,6/18/18 7:56,96.2025,,
EFR-XB1S,6/30/18 9:10,90.896,,
EFR-XB1S,7/16/18 8:54,88,,
EFR-XB1S,7/25/18 8:41,87.5,,
EFR-XB1S,8/24/18 8:51,96.1,,
EFR-XB1S,8/7/20 0:00,,153.2,
EFR-XB1S,8/7/20 0:00,,153.1,
EFR-XB1S,8/7/20 0:00,,153,
EFR-XB2N,7/16/18 9:19,34,,
EFR-XB2N,7/25/18 8:50,34.5,,
EFR-XB2N,7/6/19 9:26,34.25,,
EFR-XB2N,8/7/20 0:00,,156.3,
EFR-XB2N,8/7/20 0:00,,156.2,
EFR-XB2N,8/7/20 0:00,,156,
EFR-XB2S,7/16/18 7:57,,116,
EFR-XB2S,7/6/19 9:19,,117,
EFR-XB2S,7/26/19 8:05,,116.66,
EFR-XB2S,10/20/19 15:07,,116.3,
EFR-XB2S,8/7/20 0:00,96.9,,
EFR-XB2S,8/7/20 0:00,98,,
EFR-XB2S,8/7/20 0:00,96.6,,
EFR-XB2S,8/7/20 0:00,96.9,,
EFR-XB3N,7/16/18 9:21,49.5,,
