"TOA5","Station3_wx","CR1000","6585","CR1000.Std.28","CPU:SH_Site3_2_8.CR1","30608","TenMin"
"TIMESTAMP","RECORD","Day_of_Year","Hour","WS_ms_25ft","res_WS_25ft","WindDir_25ft","SD_WindDir_25ft","WS_ms_25ft_Max","AirTC_25ft_Max","AirTC_25ft_Min","AirTC_25ft_Avg","RH_25ft_Max","RH_25ft_Min","RH_25ft","SnowPillow_in_Avg","Batt_Volt_Avg","Batt_Volt_Max","Batt_Volt_Min","BP_mbar_Avg","SlrkW_Avg","SlrMJ_Tot","ETos","Rso","WS_ms_100ft","res_WS_100ft","WindDir_100ft","SD_WindDir_100ft","WS_ms_100ft_Max","AirTC_100ft_Max","AirTC_100ft_Min","AirTC_100ft_Avg","RH_100ft_Max","RH_100ft_Min","RH_100ft","Snow_Depth_in_Avg","PanelT_Avg","Temp_C_Avg(1)","Temp_C_Avg(2)","Temp_C_Avg(3)","SoilCond_tc_Avg(1)","SoilCond_tc_Avg(2)","SoilCond_tc_Avg(3)","wfv_Avg(1)","wfv_Avg(2)","wfv_Avg(3)","ppt_mass_mv_Avg","ppt_inches_Avg"
"TS","RN","","","meters/second","meters/second","Degrees","Deg","meters/second","Deg C","Deg C","Deg C","%","%","%","H2O inches","Volts","Volts","Volts","mbar","kW/m","MJ/m","mm","MJ/m^2","meters/second","meters/second","Degrees","Deg","meters/second","Deg C","Deg C","Deg C","%","%","%","","","Deg C","Deg C","Deg C","S/m","S/m","S/m","pct by vol","pct by vol","pct by vol","","0.01 in"
"","","Smp","Smp","WVc","WVc","WVc","WVc","Max","Max","Min","Avg","Max","Min","Smp","Avg","Avg","Max","Min","Avg","Avg","Tot","ETos","Rso","WVc","WVc","WVc","WVc","Max","Max","Min","Avg","Max","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-07-19 05:30:00",34640,201,530,0.716,0.541,200.7,38.65,1.901,10.36,10.05,10.24,46.57,43.97,43.97,-9.937849,12.48,12.48,12.47,793.5,0.021,0.006161156,0.02,0.203,3.165,3.021,165.1,17.3,5.449,11.62,11.31,11.45,41.79,38.89,38.89,"NAN",8.11,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,1.804,1.757
"2016-07-19 05:40:00",34641,201,540,0.522,0.228,210.6,57.66,1.862,10.7,10.36,10.58,44.35,42.47,43.36,-9.937849,12.49,12.49,12.48,793.5,0.089,0.02667565,0.019,0.302,3.153,2.949,167.7,20.61,6.733,11.76,11.59,11.68,39.98,38.34,39.98,"NAN",8.27,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,1.807,1.76
"2016-07-19 05:50:00",34642,201,550,0.664,0.35,194.5,53.32,2.087,11.31,10.63,10.91,43.36,41.14,42.06,-9.933734,12.5,12.51,12.49,793.5,0.133,0.03982278,0.026,0.41,2.581,2.302,160.3,26.63,4.841,11.93,11.69,11.83,39.98,38.65,39.02,"NAN",8.56,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,1.799,1.752
"2016-07-19 06:00:00",34643,201,600,0.933,0.514,187.4,53.38,2.901,11.92,11.31,11.63,43.29,38.95,40.79,-9.937849,12.51,12.52,12.51,793.5,0.161,0.04830268,0.035,0.524,3.239,2.95,170.9,24.21,7.203,12.23,11.86,12,39.05,37.04,37.04,"NAN",9.13,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,1.793,1.747
"2016-07-19 06:10:00",34644,201,610,0.687,0.316,133.1,54.35,2.862,12.46,11.92,12.13,40.79,37.58,37.58,-9.924362,12.53,12.54,12.52,793.5,0.19,0.05687461,0.031,0.642,2.563,2.232,165.2,29.11,6.047,12.53,12.16,12.33,38.88,37,37,"NAN",9.86,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,1.796,1.75
"2016-07-19 06:20:00",34645,201,620,0.792,0.413,140.7,53.64,3.136,12.83,12.46,12.66,39.76,36.21,36.21,-9.87354,12.55,12.57,12.54,793.5,0.22,0.06599589,0.037,0.763,3.408,3.129,167.3,23.19,6.007,12.7,12.39,12.54,38.33,36.45,36.59,"NAN",10.66,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,1.802,1.755
"2016-07-19 06:30:00",34646,201,630,1.164,0.621,185,54.86,4.498,13.1,12.83,12.99,38.84,35.49,35.49,-9.910658,12.57,12.59,12.56,793.5,0.252,0.07551628,0.05,0.887,3.573,3.316,171.4,21.75,6.625,12.9,12.59,12.73,38.19,36.07,36.28,"NAN",11.46,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,1.799,1.752
"2016-07-19 06:40:00",34647,201,640,1.245,0.654,154.3,54.37,3.41,13.24,13.07,13.16,37.68,35.49,36.45,-9.884381,12.6,12.62,12.58,793.5,0.2,0.05993077,0.05,1.012,3.916,3.596,178.2,23.14,7.811,13.1,12.86,13,37.23,34.91,34.91,"NAN",12.24,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,1.8,1.753
