"TOA5","Station4_wx","CR1000","12861","CR1000.Std.28","CPU:SH_Site4_2_7.CR1","54124","Public2"
"TIMESTAMP","RECORD","Batt_Volt","PanelT","WS_ms_25ft","WindDir_25ft","WS_ms_100ft","WindDir_100ft","AirTC_25ft","RH_25ft","AirTC_100ft","RH_100ft","BP_mbar","SlrkW","SlrMJ","SnowPillow_mv","SnowPillow_in","A0","A1","SP_offset","FullBR(1)","FullBR(2)","FullBR(3)","JUDD_AT","JUDD_Depth","Judd_offset","Flag(1)","Flag(2)","Flag(3)","Flag(4)","Flag(5)","Flag(6)","Flag(7)","Flag(8)","ppt_mass_mv","ppt_inches","wb_trans_mult","Year","Month","Date","Hour","Minute","Second","uSecond","WeekDay","Day_of_Year"
"TS","RN","Volts","","meters/second","Degrees","meters/second","Degrees","Deg C","%","Deg C","%","mbar","kW/m²","MJ/m²","mV","H2O inches","","","","","","","Deg C","inches","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-22 09:43:06.89",60722765,14.25977,20.93399,0.882,116.2342,1.96,99.64988,18.80065,42.83469,12.58979,36.4888,765.6437,0.8582511,0.004291255,0.05336038,-6.627993,30.0582,-3.03191,5.2,0,0,0,19.99179,255.3684,255.9,0,0,0,0,0,0,0,0,27.13887,27.13887,1,2020,7,22,943,43,6,0,4,204
