"TOA5","Station2_wx","CR1000","6588","CR1000.Std.10","CPU:#2_cardout.CR1","19097","Table2"
"TIMESTAMP","RECORD","Batt_Volt_Min"
"TS","RN","Volts"
"","","Min"
"2008-01-31 00:00:00",186,12.29
"2008-02-01 00:00:00",187,12.35
"2008-02-02 00:00:00",188,12.35
"2008-02-03 00:00:00",189,12.27
"2008-02-04 00:00:00",190,12.38
"2008-02-05 00:00:00",191,12.26
"2008-02-06 00:00:00",192,12.2
"2008-02-07 00:00:00",193,12.35
"2008-02-08 00:00:00",194,12.41
"2008-02-09 00:00:00",195,12.35
"2008-02-10 00:00:00",196,12.35
"2008-02-11 00:00:00",197,12.37
"2008-02-12 00:00:00",198,12.42
"2008-02-13 00:00:00",199,12.39
"2008-02-14 00:00:00",200,12.45
"2008-02-15 00:00:00",201,12.36
"2008-02-16 00:00:00",202,12.34
"2008-02-17 00:00:00",203,12.36
"2008-02-18 00:00:00",204,12.39
"2008-02-19 00:00:00",205,12.38
"2008-02-20 00:00:00",206,12.4
"2008-02-21 00:00:00",207,12.43
"2008-02-22 00:00:00",208,12.38
"2008-02-23 00:00:00",209,12.42
"2008-02-24 00:00:00",210,12.32
"2008-02-25 00:00:00",211,12.32
"2008-02-26 00:00:00",212,12.23
"2008-02-27 00:00:00",213,12.51
"2008-02-28 00:00:00",214,12.49
"2008-02-29 00:00:00",215,12.49
"2008-03-01 00:00:00",216,12.46
"2008-03-02 00:00:00",217,12.51
"2008-03-03 00:00:00",218,12.41
"2008-03-04 00:00:00",219,12.39
"2008-03-05 00:00:00",220,12.42
"2008-03-06 00:00:00",221,12.39
"2008-03-07 00:00:00",222,12.37
"2008-03-08 00:00:00",223,12.4
"2008-03-09 00:00:00",224,12.45
"2008-03-10 00:00:00",225,12.41
"2008-03-11 00:00:00",226,12.44
"2008-03-12 00:00:00",227,12.46
"2008-03-13 00:00:00",228,12.45
"2008-03-14 00:00:00",229,12.49
"2008-03-15 00:00:00",230,12.42
"2008-03-16 00:00:00",231,12.4
"2008-03-17 00:00:00",232,12.39
"2008-03-18 00:00:00",233,12.35
"2008-03-19 00:00:00",234,12.44
"2008-03-20 00:00:00",235,12.44
"2008-03-21 00:00:00",236,12.43
"2008-03-22 00:00:00",237,12.41
"2008-03-23 00:00:00",238,12.42
"2008-03-24 00:00:00",239,12.43
"2008-03-25 00:00:00",240,12.45
"2008-03-26 00:00:00",241,12.5
