"TOA5","Station3_wx","CR1000","6585","CR1000.Std.15","CPU:SH_Site3_1_4.CR1","33193","daily"
"TIMESTAMP","RECORD","Batt_Volt_Min","WS_ms_25ft_Max","WS_ms_25ft_TMx","AirTC_25ft_Min","AirTC_25ft_TMn","AirTC_25ft_Max","AirTC_25ft_TMx","WS_ms_100ft_Max","WS_ms_100ft_TMx","AirTC_100ft_Min","AirTC_100ft_TMn","AirTC_100ft_Max","AirTC_100ft_TMx"
"TS","RN","Volts","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C"
"","","Min","Max","TMx","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx"
"2009-03-11 00:00:00",0,12.48,1.48,"2009-03-10 19:21:00",-8.34,"2009-03-10 23:32:00",1.953,"2009-03-10 16:52:00",3.42,"2009-03-10 22:01:10",-5.128,"2009-03-10 23:11:00",3.455,"2009-03-10 16:52:00"
"2009-03-12 00:00:00",1,12.36,3.851,"2009-03-11 14:26:10",-10.62,"2009-03-11 06:42:00",6.709,"2009-03-11 13:32:00",5.351,"2009-03-11 14:25:40",-6.655,"2009-03-11 04:40:00",5.212,"2009-03-11 13:11:00"
"2009-03-13 00:00:00",2,12.38,3.802,"2009-03-12 12:17:40",-10.11,"2009-03-12 06:24:00",5.999,"2009-03-12 14:44:00",5.88,"2009-03-12 16:45:50",-6.108,"2009-03-12 06:23:00",4.975,"2009-03-12 15:02:00"
"2009-03-14 00:00:00",3,12.37,3.94,"2009-03-13 10:38:20",-9.39,"2009-03-13 05:01:00",11.5,"2009-03-13 15:26:00",6.429,"2009-03-13 12:18:00",-4.3,"2009-03-13 04:31:00",11.09,"2009-03-13 15:34:00"
"2009-03-15 00:00:00",4,12.4,6.546,"2009-03-14 19:08:00",-4.314,"2009-03-14 00:39:00",5.597,"2009-03-14 12:24:00",12.47,"2009-03-14 14:58:10",-3.021,"2009-03-14 22:58:00",4.027,"2009-03-14 12:14:00"
"2009-03-16 00:00:00",5,12.42,7.997,"2009-03-15 10:06:40",-4.155,"2009-03-15 04:00:00",2.643,"2009-03-15 11:37:00",14.37,"2009-03-15 20:19:30",-3.813,"2009-03-15 03:58:00",1.769,"2009-03-15 18:22:00"
"2009-03-17 00:00:00",6,12.42,9.25,"2009-03-16 05:42:20",0.335,"2009-03-16 00:40:00",2.923,"2009-03-16 11:07:00",19.51,"2009-03-16 09:46:20",0.984,"2009-03-16 00:38:00",2.745,"2009-03-16 13:48:00"
"2009-03-18 00:00:00",7,12.43,6.919,"2009-03-17 03:39:50",-2.242,"2009-03-17 22:54:00",9.33,"2009-03-17 15:03:00",11.69,"2009-03-17 00:12:30",0.99,"2009-03-17 06:11:00",8.54,"2009-03-17 15:11:00"
"2009-03-19 00:00:00",8,12.44,3.636,"2009-03-18 13:10:40",-3.602,"2009-03-18 05:52:00",14.32,"2009-03-18 13:47:00",6.733,"2009-03-18 13:10:50",0.493,"2009-03-18 05:15:00",12.41,"2009-03-18 13:49:00"
