"TOA5","Station4_wx","CR1000","12861","CR1000.Std.15","CPU:SH_Site4_1_3.CR1","46675","daily"
"TIMESTAMP","RECORD","Batt_Volt_Min","WS_ms_25ft_Max","WS_ms_25ft_TMx","AirTC_25ft_Min","AirTC_25ft_TMn","AirTC_25ft_Max","AirTC_25ft_TMx","WS_ms_100ft_Max","WS_ms_100ft_TMx","AirTC_100ft_Min","AirTC_100ft_TMn","AirTC_100ft_Max","AirTC_100ft_TMx"
"TS","RN","Volts","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C"
"","","Min","Max","TMx","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx"
"2009-03-10 00:00:00",0,12.98,9.02,"2009-03-09 16:41:08",-10.45,"2009-03-09 20:49:00",-4.567,"2009-03-09 14:36:00",11.27,"2009-03-09 18:22:21",-9.67,"2009-03-09 20:14:00",-6.328,"2009-03-09 15:14:00"
"2009-03-11 00:00:00",1,12.83,3.136,"2009-03-10 13:54:15",-9.32,"2009-03-10 00:01:00",5.702,"2009-03-10 13:24:00",4.312,"2009-03-10 18:11:17",-8.34,"2009-03-10 00:01:00",4.101,"2009-03-10 14:09:00"
"2009-03-12 00:00:00",2,12.86,3.92,"2009-03-11 02:07:29",-4.535,"2009-03-11 23:42:00",5.042,"2009-03-11 12:08:00",6.37,"2009-03-11 15:07:49",-3.79,"2009-03-11 23:59:00",3.155,"2009-03-11 14:27:00"
"2009-03-13 00:00:00",3,12.84,5.782,"2009-03-12 08:53:40",-5.887,"2009-03-12 05:52:00",3.776,"2009-03-12 15:07:00",7.154,"2009-03-12 09:22:33",-5.11,"2009-03-12 05:45:00",2.696,"2009-03-12 15:07:00"
"2009-03-14 00:00:00",4,12.83,7.742,"2009-03-13 08:57:41",-4.365,"2009-03-13 02:20:00",9.76,"2009-03-13 15:30:00",10.19,"2009-03-13 08:23:10",-2.843,"2009-03-13 00:59:00",8.62,"2009-03-13 15:32:00"
"2009-03-15 00:00:00",5,12.85,14.41,"2009-03-14 14:35:41",-5.325,"2009-03-14 23:52:00",1.501,"2009-03-14 13:22:00",19.01,"2009-03-14 16:41:13",-5.054,"2009-03-14 23:51:00",1.753,"2009-03-14 00:12:00"
"2009-03-16 00:00:00",6,12.85,19.4,"2009-03-15 19:21:58",-5.765,"2009-03-15 03:00:00",-0.18,"2009-03-15 16:33:00",21.27,"2009-03-15 19:40:10",-5.63,"2009-03-15 02:55:00",0.162,"2009-03-15 17:26:00"
"2009-03-17 00:00:00",7,12.84,18.42,"2009-03-16 09:48:19",-0.85,"2009-03-16 07:54:00",0.358,"2009-03-16 13:42:00",22.83,"2009-03-16 13:38:52",-0.61,"2009-03-16 23:55:00",0.663,"2009-03-16 13:43:00"
"2009-03-18 00:00:00",8,12.84,14.99,"2009-03-17 01:02:39",-1.285,"2009-03-17 02:20:00",6.31,"2009-03-17 15:10:00",16.76,"2009-03-17 02:16:39",-1.25,"2009-03-17 02:24:00",5.128,"2009-03-17 14:57:00"
