term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg
"R.(Y1,Y1)",609.9564836,275.5768288,69.83582416,1150.077143,,0.005673008,2218.891708,162.9027338,-0.385791172,7.700940154,1.640438947
"R.(Y2,Y2)",1263.213327,820.2842798,-344.5143184,2870.940973,,,,,,,
"R.(Y3,Y3)",0.018762193,9.336526146,-18.28049279,18.31801718,,,,,,,
"R.(Y4,Y4)",0.027469613,13.24726644,-25.9366955,25.99163472,,,,,,,
"R.(Y5,Y5)",0.007497182,10.90966091,-21.37504528,21.39003965,,,,,,,
"R.(Y6,Y6)",0.006726498,11.41684124,-22.36987115,22.38332415,,,,,,,
"R.(Y7,Y7)",573.7416231,276.1565138,32.48480192,1114.998444,,,,,,,
"R.(Y8,Y8)",0.010364505,9.39908858,-18.4115106,18.43223961,,,,,,,
"R.(Y9,Y9)",0.009487278,10.6487047,-20.86159041,20.88056497,,,,,,,
"R.(Y10,Y10)",0.006269372,11.67717622,-22.88057546,22.8931142,,,,,,,
"R.(Y11,Y11)",0.011827906,9.994477426,-19.57698789,19.6006437,,,,,,,
"R.(Y12,Y12)",0.010347281,11.51106378,-22.55092315,22.57161771,,,,,,,
"R.(Y13,Y13)",0.008666093,10.40065497,-20.37624306,20.39357524,,,,,,,
"R.(Y14,Y14)",0.007778838,10.54522189,-20.66047628,20.67603396,,,,,,,
"R.(Y15,Y15)",702.7405677,315.1843355,84.99062161,1320.490514,,,,,,,
"R.(Y16,Y16)",0.006283667,11.78787615,-23.09752903,23.11009637,,,,,,,
"R.(Y17,Y17)",22.97477289,32.39195811,-40.51229839,86.46184416,,,,,,,
"R.(Y18,Y18)",0.01403814,9.107501269,-17.83633634,17.86441262,,,,,,,
"R.(Y19,Y19)",0.010878587,11.88354263,-23.28043697,23.30219415,,,,,,,
"R.(Y20,Y20)",0.008257422,10.90030921,-21.35595605,21.3724709,,,,,,,
"R.(Y21,Y21)",0.007131022,11.16105735,-21.86813942,21.88240147,,,,,,,
"R.(Y22,Y22)",0.005673008,12.13348665,-23.77552384,23.78686985,,,,,,,
"R.(Y23,Y23)",0.021941955,8.07828616,-15.81120798,15.85509189,,,,,,,
"R.(Y24,Y24)",0.011764354,10.82173757,-21.19845153,21.22198023,,,,,,,
"R.(Y25,Y25)",0.010294798,9.966346568,-19.52338553,19.54397513,,,,,,,
"R.(Y26,Y26)",0.009249522,14.88638816,-29.16753513,29.18603417,,,,,,,
"R.(Y27,Y27)",0.053563142,7.911805538,-15.45329076,15.56041705,,,,,,,
"R.(Y28,Y28)",18.87420845,16.57068147,-13.60373043,51.35214733,,,,,,,
"R.(Y29,Y29)",0.013788282,8.876253393,-17.38334869,17.41092525,,,,,,,
"R.(Y30,Y30)",0.014121858,8.835473388,-17.30308777,17.33133148,,,,,,,
"R.(Y31,Y31)",0.006178808,12.05328324,-23.61782223,23.63017984,,,,,,,
"R.(Y32,Y32)",668.7797461,453.3297907,-219.7303168,1557.289809,,,,,,,
"R.(Y33,Y33)",0.007859771,11.71184968,-22.94694379,22.96266333,,,,,,,
"R.(Y34,Y34)",0.008487342,11.53648045,-22.60259885,22.61957353,,,,,,,
"R.(Y35,Y35)",2218.891708,1054.952192,151.2234061,4286.560009,,,,,,,
"R.(Y36,Y36)",5.947277334,11.03257776,-15.67617774,27.57073241,,,,,,,
"R.(Y37,Y37)",104.8325372,58.45788815,-9.74281817,219.4078926,,,,,,,
"R.(Y38,Y38)",0.016926113,10.41815275,-20.40227806,20.43613028,,,,,,,
U.X.Y1,-0.21522184,1.430569895,-3.019087312,2.588643631,,,,,,,
U.X.Y2,1.78566576,1.813058357,-1.767863323,5.339194842,,,,,,,
U.X.Y3,1.183730316,1.056540559,-0.887051127,3.254511759,,,,,,,
U.X.Y4,0.79241447,1.077480567,-1.319408635,2.904237575,,,,,,,
U.X.Y5,0.231601672,1.057504874,-1.841069795,2.304273138,,,,,,,
U.X.Y6,1.097171102,1.056301829,-0.97314244,3.167484645,,,,,,,
U.X.Y7,-0.385791172,1.410997864,-3.151296168,2.379713823,,,,,,,
U.X.Y8,1.243555243,1.05966198,-0.833344074,3.320454559,,,,,,,
U.X.Y9,0.524417636,1.062041452,-1.557145359,2.605980631,,,,,,,
U.X.Y10,0.333594957,1.056185967,-1.7364915,2.403681414,,,,,,,
U.X.Y11,0.381959358,1.059892528,-1.695391823,2.45931054,,,,,,,
U.X.Y12,0.938730367,1.058402656,-1.13570072,3.013161454,,,,,,,
U.X.Y13,0.32078591,1.056592769,-1.750097864,2.391669684,,,,,,,
U.X.Y14,1.023971746,1.058059421,-1.049786614,3.097730105,,,,,,,
U.X.Y15,0.853078331,1.478463964,-2.04465779,3.750814452,,,,,,,
U.X.Y16,0.239996475,1.0556328,-1.829005795,2.308998745,,,,,,,
U.X.Y17,7.700940154,1.785463708,4.20149559,11.20038472,,,,,,,
U.X.Y18,2.780155126,1.060902713,0.700824017,4.859486236,,,,,,,
U.X.Y19,0.15955207,1.100700304,-1.997780884,2.316885024,,,,,,,
U.X.Y20,1.468429611,1.057279935,-0.603800984,3.540660206,,,,,,,
U.X.Y21,1.26396914,1.056989695,-0.807692594,3.335630874,,,,,,,
U.X.Y22,0.060798094,1.055648226,-2.00823441,2.129830598,,,,,,,
U.X.Y23,0.499959366,1.056764492,-1.571260978,2.571179711,,,,,,,
U.X.Y24,3.291732758,1.06775807,1.198965397,5.384500118,,,,,,,
U.X.Y25,2.214700837,1.05706167,0.142898034,4.28650364,,,,,,,
U.X.Y26,0.24050625,1.21158589,-2.134158459,2.61517096,,,,,,,
U.X.Y27,7.559356409,1.075968388,5.450497119,9.668215699,,,,,,,
U.X.Y28,1.447050554,1.08250551,-0.674621259,3.568722368,,,,,,,
U.X.Y29,2.35611894,1.06098765,0.276621358,4.435616522,,,,,,,
U.X.Y30,2.484552836,1.061936337,0.403195862,4.565909809,,,,,,,
U.X.Y31,0.130005453,1.055907533,-1.939535283,2.199546189,,,,,,,
U.X.Y32,4.566658949,1.681168346,1.271629538,7.861688359,,,,,,,
U.X.Y33,1.788389821,1.058132903,-0.285512559,3.862292202,,,,,,,
U.X.Y34,1.227783187,1.102664449,-0.933399421,3.388965794,,,,,,,
U.X.Y35,2.55998376,2.255493956,-1.860703162,6.980670681,,,,,,,
U.X.Y36,2.720567685,1.124544682,0.51650061,4.92463476,,,,,,,
U.X.Y37,3.446598576,1.221604043,1.052298648,5.840898503,,,,,,,
U.X.Y38,2.019210072,1.110848884,-0.158013733,4.196433877,,,,,,,
Q.diag,27.85804072,3.412023262,21.17059801,34.54548343,,,,,,,
x0.X.Y1,33.27192461,45.30514967,-55.52453706,122.0683863,,,,,,,
x0.X.Y2,-19.6328399,56.4696957,-130.3114097,91.04572989,,,,,,,
x0.X.Y3,-32.66676061,31.6815532,-94.76146385,29.42794264,,,,,,,
x0.X.Y4,-10.10136611,31.96278754,-72.74727853,52.54454632,,,,,,,
x0.X.Y5,-1.146274253,31.69395796,-63.26529038,60.97274187,,,,,,,
x0.X.Y6,-5.637299522,31.67787457,-67.72479278,56.45019374,,,,,,,
x0.X.Y7,31.06550486,44.61400473,-56.37633761,118.5073473,,,,,,,
x0.X.Y8,-17.1131619,31.72288274,-79.28886955,45.06254575,,,,,,,
x0.X.Y9,20.32826954,31.75466077,-41.9097219,82.56626098,,,,,,,
x0.X.Y10,0.718552909,31.67631044,-61.36587471,62.80298053,,,,,,,
